frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
41579,19.937500,19.538457,19.559373,0.000000,0.000542,0.000000,0.000000,0.075625,0.015250,0.971667,2123,8107046,140040,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
41580,20.411958,20.011122,20.015279,0.000000,0.000418,0.000000,0.000000,0.065917,0.016041,1.272125,2147,8107263,144776,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41581,19.427125,19.027609,19.070991,0.000000,0.000500,0.000000,0.000000,0.064750,0.017500,1.251833,2149,8107263,141463,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41582,19.512542,19.101744,19.134579,0.000000,0.000666,0.000000,0.000000,0.068958,0.016375,1.257833,2134,8107101,141227,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
41583,19.617333,19.229128,19.270947,0.000000,0.000541,0.000000,0.000000,0.054500,0.015333,0.641209,2125,8107204,144126,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41584,19.674042,19.267232,19.299181,0.000000,0.000373,0.000000,0.000000,0.066041,0.018042,1.271083,2184,8107303,142444,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41585,19.048541,18.656201,18.700038,0.000000,0.000459,0.000000,0.000000,0.056500,0.013750,0.930417,2109,8106992,139163,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
41586,19.931084,19.544453,19.575488,0.000000,0.000334,0.000000,0.000000,0.061791,0.020625,1.278375,2150,8107295,146171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41587,19.601541,19.199743,19.240614,0.000000,0.000335,0.000000,0.000000,0.058250,0.014250,1.247916,2167,8107269,141811,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41588,19.079750,18.688938,18.729071,0.000000,0.000375,0.000000,0.000000,0.061667,0.018208,1.248208,2108,8106969,139421,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
