frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.765834,0.044250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,46.624125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250750,0.033584,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,39.049959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.390416,0.063292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,39.770458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.425083,0.029375,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,40.505833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262584,0.033583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,42.603250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200500,0.070792,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,34.249417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211042,0.036708,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,42.259833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197167,0.032833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,33.918167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.273500,0.036750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,41.221958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.485250,0.031125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,34.720375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.294084,0.025250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,43.408875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338959,0.044208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,42.909834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.423125,0.030125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,36.775541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.327417,0.024333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,38.064625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237584,0.043250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,39.529875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218084,0.037958,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,43.350292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363667,0.033958,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,43.531375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204208,0.069750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,42.691792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.225875,0.042458,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,42.578541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248292,0.074917,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,40.739959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142250,0.027916,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,43.241291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213292,0.030875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,41.657209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228500,0.039833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,43.365458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.229292,0.040125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,40.436708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150042,0.027292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,40.634625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200500,0.040084,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,40.840625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145292,0.066083,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,35.665667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230458,0.036750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,39.340583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151292,0.108750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,43.062750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.215167,0.034792,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,33.905000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.207542,0.034333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,42.216209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.144875,0.027291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,43.249125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.220416,0.035542,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,40.260583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.231042,0.040083,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,34.486333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153750,0.026667,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,35.132667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222208,0.042542,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,43.239625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159292,0.093083,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
