frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.742500,0.027000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3211.329667,2983.222993,1673.830866,0.628271,1375.173084,1293.050026,82.117601,0.326583,0.482833,84.378588,124675,1318898046,18789045,0,348,14,334,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.245208,18.125061,2.733544,0.013679,15.405458,12.301125,3.104125,0.049083,0.019959,0.610875,632,971859,16103,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1652.728667,1641.119691,864.655269,0.009086,807.088335,748.521821,58.564763,0.085583,0.066250,45.695873,62842,796541259,4604337,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,14.904375,14.797670,3.206570,0.009628,11.549000,10.692040,0.856834,0.478791,0.015959,0.291584,653,2103964,14497,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,16.207791,16.097203,15.880541,0.001793,1.711542,1.711123,0.000419,0.054459,0.380916,0.294500,658,6992261,33149,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,18.277292,18.168670,3.599705,0.009573,14.556127,11.732916,2.823043,0.069917,0.016166,0.587833,658,2030839,13739,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,15.103417,14.992787,14.995747,0.001707,0.740251,0.739680,0.000404,0.068041,0.344209,0.590042,659,7268787,34313,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,18.713750,18.605688,3.488639,0.010038,15.105957,12.801082,2.304709,0.058583,0.016417,0.304625,653,2014717,13828,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,14.738416,14.628914,14.626019,0.001626,0.238500,0.238167,0.000000,0.063459,0.284833,0.602333,667,7316609,34020,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,18.398292,18.268089,3.644379,0.009798,14.498918,11.693082,2.805377,0.102167,0.035833,0.305916,651,2055269,14129,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,22.836167,22.708869,15.734403,0.001292,0.000832,0.000000,0.000000,0.057750,0.020666,0.906583,667,7414531,34707,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,10.034583,9.927447,3.311964,0.008960,6.588124,5.407347,1.180361,0.064792,0.015000,0.000000,658,2008614,13576,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,15.493833,15.366254,15.274342,0.001207,0.203416,0.202707,0.000251,0.096834,0.258500,0.599708,655,7565927,35171,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,16.701167,16.585026,4.162788,0.009826,12.852834,12.730082,0.122502,0.081500,0.190417,0.609458,652,1966829,13474,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,16.534625,16.425788,16.314500,0.001167,1.766458,1.764874,0.001584,0.066583,0.359709,0.296291,669,7549328,34883,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,18.378042,18.270626,3.409416,0.009953,14.820792,12.274707,2.545876,0.069958,0.021750,0.586292,649,2007273,13773,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,15.901583,15.783865,15.361598,0.001294,0.000792,0.000000,0.000000,0.099750,0.027250,0.293958,659,7477389,34564,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,16.569125,16.450202,4.244625,0.010800,11.902666,10.779291,1.123042,0.093708,0.016792,0.591625,659,1991598,13448,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,17.220375,17.077706,16.382876,0.001126,0.000750,0.000000,0.000000,0.082750,0.017167,0.288458,659,7530223,34927,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,17.245083,17.133206,3.389511,0.010950,13.686667,11.153499,2.532918,0.073459,0.026708,0.604292,659,1919550,13022,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,15.374084,15.259818,15.097716,0.001333,0.000665,0.000000,0.000000,0.072041,0.021500,0.301875,661,7501416,34652,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,16.153833,16.019467,3.359998,0.010249,12.830125,11.563373,1.266668,0.064833,0.305125,0.597542,650,1960290,13423,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,16.936708,16.799791,16.286211,0.001375,0.463250,0.453194,0.009639,0.085750,0.026875,0.587042,664,7429816,34027,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,17.561459,17.451763,3.262421,0.010046,14.153249,11.655666,2.497417,0.170208,0.059083,0.298541,651,1952038,13362,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,15.627833,15.495707,15.329995,0.001209,0.193501,0.193083,0.000042,0.075208,0.217042,0.590416,658,7470202,34516,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,18.808667,18.695178,3.528004,0.009921,15.213709,13.057082,2.156418,0.070750,0.020458,0.299291,658,1871488,12556,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,15.164291,15.037312,14.933170,0.001705,0.000666,0.000000,0.000000,0.069459,0.015916,0.584625,661,7454306,34439,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,17.479125,17.370426,3.084458,0.008664,14.289667,11.538499,2.750918,0.074334,0.022083,0.583958,652,1912807,13069,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,24.241125,24.121470,15.421536,0.001871,0.000959,0.000000,0.000000,0.074542,0.021458,0.597792,665,7385283,33723,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,7.648959,7.537689,3.215369,0.009630,4.659042,4.658347,0.000445,0.075041,0.292917,0.292250,654,1896348,12951,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,16.638208,16.526753,15.753949,0.001127,1.679126,1.562915,0.116211,0.073792,0.353166,0.292000,657,7422809,34189,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,16.757583,16.653004,3.890805,0.009179,13.626750,12.505498,1.121252,0.059750,0.267000,0.582917,657,1824341,12204,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,16.603625,16.481045,16.456291,0.001165,1.197000,1.196332,0.000668,0.054875,0.348417,0.291208,663,7406441,34111,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,18.033167,17.916215,3.209895,0.010673,14.721417,11.844957,2.876293,0.036458,0.010042,0.596959,650,1864838,12715,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,15.884250,15.761157,15.753963,0.001374,0.000292,0.000000,0.000000,0.054958,0.012000,0.298250,664,7334286,33371,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,17.540167,17.424608,2.829262,0.010323,14.609958,11.771291,2.838459,0.028958,0.007833,0.582333,652,1848975,12598,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,15.698916,15.579229,15.584766,0.001374,0.000209,0.000000,0.000000,0.027667,0.008250,0.581084,658,7375022,33862,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,17.766375,17.643427,2.800699,0.010297,14.854750,11.935790,2.918793,0.027292,0.007792,0.301833,658,1776474,11851,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,15.574500,15.452457,15.459634,0.001502,0.000165,0.000000,0.000000,0.026000,0.007750,0.580417,662,7358617,33783,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,16.386000,16.262374,3.452052,0.010677,13.612543,12.099041,1.513418,0.053209,0.251583,0.296208,650,1816530,12359,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,16.644375,16.530206,16.528049,0.001250,1.332541,1.332039,0.000502,0.031125,0.309250,0.584667,666,7291127,32892,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,339,18.729792,18.611411,3.505199,0.009545,15.631999,13.492832,2.138959,0.031458,0.009875,0.296667,652,1801333,12246,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,340,15.692583,15.572154,15.577626,0.001292,0.000250,0.000000,0.000000,0.028459,0.008125,0.594041,660,7343190,33470,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,341,17.222250,17.102453,2.759612,0.010629,14.352874,11.600582,2.752167,0.028167,0.007375,0.591500,659,1728554,11496,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,342,15.599875,15.479587,15.483837,0.001333,0.000292,0.000000,0.000000,0.027375,0.006375,0.292000,660,7315324,33325,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,343,16.193459,16.070131,2.704462,0.010459,13.661291,12.088081,1.573126,0.029333,0.290292,0.587208,651,1769382,12007,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,344,16.656708,16.534296,16.498673,0.001295,0.988626,0.988262,0.000322,0.029000,0.316958,0.290375,666,7242879,32587,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
