present_frame,emulated_frame,previous_pc,pc
1,1,00000000,8000522c
1,1,80342cf0,8034a738
1,1,80342cf0,8034a738
1,1,8034ad28,803441a8
1,1,80344cf0,8034ace8
1,1,80003194,80003194
1,1,80003194,80003194
1,2,80003194,80003194
1,2,80003194,80003194
1,2,80003194,80003194
1,2,80344cf0,8034adc4
1,7,80349494,80349494
1,13,80349494,80349494
1,20,80349494,80349494
1,26,80349494,80349494
1,33,80349494,80349494
1,37,80321c24,80336268
1,38,80342eac,8034f78c
1,38,80321c24,80336268
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80345738,80338234
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,38,803382ac,800191c0
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,800191c0,8001920c
1,38,8001920c,8001cc04
1,38,8001cc04,8001956c
1,38,8001956c,80386c7c
1,38,80386c7c,80019550
1,38,80019550,8033821c
1,38,8033821c,80345738
1,38,80345738,80338234
1,38,80338234,80345738
1,38,80345738,80338290
1,38,80338290,80345760
1,38,80345760,803382a4
1,38,803382a4,80345760
1,38,80345760,803382ac
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,80003100,8034beb4
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,39,80345760,803382a4
1,39,803382a4,80345760
1,39,80345760,803382ac
1,39,803382ac,800191c0
1,39,800191c0,8001920c
1,39,8001920c,8001cc04
1,39,8001cc04,8001956c
1,39,8001956c,80386c7c
1,39,80386c7c,80019550
1,39,80019550,8033821c
1,39,8033821c,80345738
1,39,80345738,80338234
1,39,80338234,80345738
1,39,80345738,80338290
1,39,80338290,80345760
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,8035ab70,8035ab70
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,80338234,80345738
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338290,80345760
1,40,80345760,803382a4
1,40,803382a4,80345760
1,40,80345760,803382ac
1,40,803382ac,800191c0
1,40,800191c0,8001920c
1,40,8001920c,8001cc04
1,40,8001cc04,8001956c
1,40,8001956c,80386c7c
1,40,80386c7c,80019550
1,40,80019550,8033821c
1,40,8033821c,80345738
1,40,80345738,80338234
1,40,80338234,80345738
1,40,80345738,80338290
1,40,80338234,80345738
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80345738,80338234
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,41,8001cc04,8001956c
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,8001956c,80386c7c
1,41,80386c7c,80019550
1,41,80019550,8033821c
1,41,8033821c,80345738
1,41,80345738,80338234
1,41,80338234,80345738
1,41,80345738,80338290
1,41,80338290,80345760
1,41,80345760,803382a4
1,41,803382a4,80345760
1,41,80345760,803382ac
1,41,803382ac,800191c0
1,41,800191c0,8001920c
1,41,8001920c,8001cc04
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,80386c7c,80019550
1,42,80019550,8033821c
1,42,8033821c,80345738
1,42,80345738,80338234
1,42,80338234,80345738
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,80386c7c,80019550
1,42,80019550,8033821c
1,42,8033821c,80345738
1,42,80345738,80338234
1,42,80338234,80345738
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,80338234,80345738
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,80386c7c,80019550
1,42,80019550,8033821c
1,42,8033821c,80345738
1,42,80345738,80338234
1,42,80338234,80345738
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,80386c7c,80019550
1,42,80019550,8033821c
1,42,8033821c,80345738
1,42,80345738,80338234
1,42,80338234,80345738
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,803382ac,800191c0
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,80386c7c,80019550
1,42,80019550,8033821c
1,42,8033821c,80345738
1,42,80345738,80338234
1,42,80338234,80345738
1,42,80345738,80338290
1,42,80338290,80345760
1,42,80345760,803382a4
1,42,803382a4,80345760
1,42,80345760,803382ac
1,42,803382ac,800191c0
1,42,800191c0,8001920c
1,42,8001920c,8001cc04
1,42,8001cc04,8001956c
1,42,8001956c,80386c7c
1,42,80386c7c,80019550
1,42,80019550,8033821c
1,42,8033821c,80345738
