frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
1454,48123,17.596875,17.227728,12.086945,0.006992,0.000417,0.000000,0.000000,4.587000,0.014333,0.624333,2057,3426799,109066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1455,48124,16.518875,16.138481,11.619407,0.007250,0.000251,0.000000,0.000000,4.193833,0.014334,0.462708,2086,3376482,106726,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1456,48125,15.848042,15.473599,11.362810,0.007337,0.000292,0.000000,0.000000,5.690041,0.012709,0.956916,2007,3392258,104882,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1457,48126,17.639458,17.268284,11.657438,0.006451,0.000377,0.000000,0.000000,4.480625,0.012292,1.135750,2075,3418852,108448,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1458,48127,16.073042,15.700698,11.313506,0.007125,0.000250,0.000000,0.000000,4.645750,0.021500,0.297375,2079,3361165,106241,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1459,48128,16.106166,15.749832,11.190587,0.006920,0.000457,0.000000,0.000000,5.233334,0.012583,0.950500,2015,3410536,106110,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1460,48129,16.693167,16.332426,11.194098,0.007042,0.000374,0.000000,0.000000,5.680167,0.025416,0.340625,2028,3374454,106285,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1461,48130,17.326708,16.947159,11.355627,0.007254,0.000250,0.000000,0.000000,4.496042,0.011042,0.964001,2119,3390620,107206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1462,48131,16.168709,15.798638,11.397658,0.006794,0.000334,0.000000,0.000000,5.625291,0.037875,0.623125,2040,3414413,106284,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1463,48132,17.317875,16.934862,11.363000,0.007207,0.000210,0.000000,0.000000,4.800583,0.016333,1.005000,2046,3362487,106026,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1464,48133,16.083000,15.722353,11.044977,0.007960,0.000333,0.000000,0.000000,4.988750,0.013208,0.301583,2035,3351939,104236,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
