frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
3434,48123,17.447250,17.070506,12.472754,0.006165,0.000293,0.000000,0.000000,3.867542,0.014125,0.490375,2074,3426816,120274,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3435,48124,16.308959,15.928767,12.146273,0.006796,0.000500,0.000000,0.000000,4.209458,0.029292,0.616375,2108,3376482,117934,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3436,48125,16.771458,16.404056,12.243212,0.006876,0.000375,0.000000,0.000000,4.108833,0.052084,0.678750,2023,3392258,116090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3437,48126,16.476833,16.109393,12.071149,0.006830,0.000418,0.000000,0.000000,4.173375,0.021750,1.045208,2098,3418863,119765,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3438,48127,16.048125,15.681447,11.608044,0.007625,0.000291,0.000000,0.000000,4.859709,0.013333,0.651167,2095,3361171,117394,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3439,48128,16.795792,16.444727,11.649189,0.007293,0.000332,0.000000,0.000000,4.754042,0.012583,0.631957,2032,3410536,117264,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3440,48129,16.850083,16.484291,11.800469,0.007785,0.000376,0.000000,0.000000,4.631834,0.029416,0.646083,2049,3374450,117494,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3441,48130,16.575000,16.201428,11.654011,0.007663,0.006416,0.000000,0.000000,4.655334,0.028125,0.307333,2131,3390620,118508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3442,48131,16.907334,16.546298,11.941178,0.007615,0.000415,0.000000,0.000000,4.415125,0.016958,0.666250,2062,3414417,117492,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3443,48132,17.545583,17.170937,12.907542,0.008174,0.000501,0.000000,0.000000,3.499875,0.025458,0.310000,2061,3362454,117302,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3444,48133,16.738583,16.355971,12.988685,0.010198,0.000584,0.000000,0.000000,3.586250,0.019625,0.710042,2056,3351972,115283,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
3445,48134,17.770209,17.390404,13.761631,0.007499,0.000665,0.000000,0.000000,2.483666,0.017792,0.294250,2086,3463602,120626,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
3446,48135,15.585625,15.211514,12.838668,0.007672,0.000499,0.000000,0.000000,3.365333,0.014625,0.951793,2052,3363110,117392,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3447,48136,15.701416,15.322422,12.070881,0.008262,0.000542,0.000000,0.000000,4.232375,0.013584,0.664708,2062,3357518,115095,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3448,48137,17.021334,16.629339,12.488159,0.007205,0.000290,0.000000,0.000000,4.150708,0.023667,1.241500,2069,3417712,119046,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3449,48138,16.668458,16.288868,12.222638,0.007198,0.000541,0.000000,0.000000,3.951667,0.013333,0.646834,2062,3398899,118631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3450,48139,16.159750,15.793884,11.926697,0.007588,0.000375,0.000000,0.000000,4.605500,0.014292,0.300792,2036,3376159,115443,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3451,48140,16.773375,16.411577,11.910353,0.014617,0.000627,0.000000,0.000000,4.439708,0.021084,0.596417,2084,3418768,119707,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3452,48141,16.332292,15.975043,11.641271,0.007331,0.000375,0.000000,0.000000,4.733791,0.014042,0.636750,2013,3351292,116398,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3453,48142,16.710416,16.328738,11.715732,0.006456,0.000293,0.000000,0.000000,4.598750,0.029417,0.794292,2038,3386765,116366,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3454,48143,16.809959,16.437981,11.897462,0.007036,0.000374,0.000000,0.000000,4.521125,0.013875,0.307000,2079,3405623,118817,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
