frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.894875,0.021333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,183,2939.602792,2703.913390,1712.354456,0.674003,1025.054032,989.384046,35.663983,0.320791,0.042584,110.988502,113698,1188257272,86080736,0,312,14,298,0,0,0,0,0,0,979232,512,568015,410620,85
2,188,83.272208,82.695118,62.630151,0.012785,24.427295,23.295405,1.131640,0.107500,0.198583,3.013207,3456,32645229,2885045,0,10,0,10,0,0,0,0,0,0,30634,0,19890,10744,0
3,189,16.504625,16.383783,1.973247,0.011385,14.456458,12.429957,2.026293,0.529583,0.011292,0.625000,706,451734,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4,190,16.620167,16.497114,2.117670,0.011458,14.783334,13.172372,1.610878,0.048041,0.508417,0.669000,708,452113,5683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,191,18.905750,18.780673,2.067772,0.011324,16.588416,14.336915,2.251335,0.052291,0.014417,0.999709,713,507951,5971,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
6,192,15.947583,15.829342,1.536186,0.012121,14.292834,11.558957,2.733668,0.043708,0.007500,1.037791,710,451743,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7,193,16.601708,16.477545,1.510221,0.012340,14.980418,11.993915,2.986377,0.037959,0.018500,0.300792,707,451306,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
8,194,15.246209,15.124072,1.690283,0.015377,14.074334,14.049956,0.024337,0.037208,0.520833,0.598709,719,508824,5972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
9,195,16.603083,16.484416,2.149752,0.011244,15.102916,15.086498,0.016335,0.032458,0.603334,0.300042,707,451851,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,196,18.893292,18.777505,2.127201,0.010918,16.689124,14.465914,2.223085,0.033666,0.017459,1.145875,707,452079,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,197,14.534541,14.422321,2.105056,0.011004,13.407835,12.232164,1.175587,0.038292,0.535125,0.560333,715,508777,5972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12,198,18.323459,18.202741,1.895088,0.011874,16.228167,13.617082,2.610876,0.034541,0.006959,0.605833,706,451826,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,199,16.497333,16.380287,1.465165,0.011496,14.922626,11.963415,2.959086,0.042208,0.016292,0.306292,707,452371,5683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
14,200,16.034750,15.903412,1.540817,0.010866,14.378042,12.087373,2.290502,0.035250,0.007000,0.964584,711,508785,5981,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
15,201,16.990958,16.876479,1.475377,0.012408,15.407583,12.298790,3.108626,0.034750,0.013000,1.290375,707,452643,5684,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,202,18.521125,18.329660,3.026048,0.012751,15.288460,12.218790,3.069294,0.091292,0.006833,0.399083,716,452101,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,203,17.563084,17.445376,3.538323,0.016214,13.863084,11.261665,2.601169,0.036416,0.006834,0.603958,712,507919,5971,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
18,204,15.344291,15.131213,3.840389,0.018542,11.304000,9.926040,1.377793,0.028834,0.009250,0.300959,706,452343,5683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,205,17.416917,17.188915,3.780995,0.018621,13.371084,10.937582,2.433335,0.030167,0.034916,0.601125,706,452076,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
20,206,15.155583,14.940457,3.907003,0.017376,11.359042,10.898373,0.460543,0.036542,0.013167,0.301417,712,507645,5970,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,207,17.496709,17.241084,3.824919,0.027749,13.410292,10.958791,2.451168,0.108875,0.026250,0.619125,709,452094,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22,208,15.622958,15.327287,4.667126,0.029793,10.922709,10.416040,0.506252,0.118917,0.023916,0.590542,705,451324,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,209,18.216500,17.933965,4.574706,0.026163,13.397833,11.624456,1.772835,0.134583,0.024542,0.307917,716,507663,5970,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24,210,14.490750,14.333112,2.785245,0.014164,11.677249,11.665832,0.010959,0.141708,0.029459,0.606124,708,452723,5685,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,211,18.697500,18.484384,3.656712,0.017370,14.813543,11.898165,2.915211,0.054625,0.011042,0.638375,715,476787,5807,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
26,212,17.466458,17.321082,3.023835,0.011920,14.342750,12.165165,2.177294,0.029125,0.005834,0.602833,708,482968,5845,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
27,213,16.668625,16.396407,4.112116,0.020132,12.266916,10.545582,1.720751,0.134417,0.026917,0.673917,706,451566,5680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
28,214,15.131084,14.974131,4.052325,0.012994,11.375042,11.208081,0.166544,0.099000,0.016458,0.305583,716,508002,5949,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
29,215,15.836833,15.640164,4.097225,0.018661,12.091668,10.861290,1.229669,0.033917,0.014375,0.312917,706,451476,5702,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,216,17.265917,17.052499,3.771133,0.021294,13.277083,11.294582,1.982168,0.040666,0.009667,0.667500,707,452373,5683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,217,18.309583,18.043080,4.412551,0.019839,13.498126,11.247623,2.249794,0.120875,0.022875,0.677041,711,507730,5970,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
32,218,17.034833,16.816014,3.642030,0.017671,13.156041,10.909165,2.246210,0.130667,0.024917,0.303667,707,452065,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33,219,16.568042,16.250027,3.753283,0.019576,12.498625,10.314957,2.183251,0.120000,0.017708,0.611833,706,452133,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
34,220,14.933417,14.772166,3.390248,0.012502,11.400249,10.925706,0.474043,0.104541,0.045542,0.311041,714,509633,5984,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
35,221,15.879416,15.701650,4.372991,0.018532,12.170542,11.444415,0.725919,0.049125,0.014209,0.623917,706,452023,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
36,222,18.784584,18.535424,3.715579,0.019246,14.808458,13.047457,1.760543,0.112583,0.026708,0.621875,705,451332,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,223,15.879291,15.657264,3.949005,0.019255,11.702290,10.460331,1.241835,0.028667,0.005625,0.367708,715,507477,5969,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38,224,15.388542,15.187345,3.849125,0.018036,11.870833,10.705873,1.164752,0.038208,0.009500,0.607459,709,451264,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
39,225,18.046000,17.754251,4.126035,0.021954,13.617541,11.098957,2.518043,0.125875,0.025458,0.375167,708,451073,5678,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
40,226,16.775208,16.478749,4.450204,0.031052,12.039916,10.480581,1.559085,0.036500,0.013459,0.600958,716,507231,5968,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
41,227,17.118125,16.871786,3.948994,0.019284,12.954750,10.677332,2.277002,0.114875,0.018167,0.307958,706,451003,5678,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
42,228,16.741709,16.438542,5.421831,0.028781,11.463958,10.459582,1.003460,0.186750,0.028041,0.597083,705,450606,5676,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,229,17.629458,17.407877,4.861129,0.021713,12.358082,10.228498,2.128835,0.248125,0.030375,0.597708,713,507510,5969,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
44,230,14.536958,14.263291,4.788533,0.023293,9.407084,9.392206,0.013877,0.267709,0.054500,0.304542,707,451606,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
45,231,19.370625,19.034961,5.584162,0.025290,12.765915,10.960457,1.804834,0.168334,0.034083,0.649667,706,451872,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46,232,16.456792,16.229290,4.919109,0.024312,11.680375,9.501998,2.178085,0.052083,0.012542,0.300667,712,507762,5970,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
47,233,16.286542,15.996501,4.041632,0.026239,11.763207,9.862706,1.899460,0.151708,0.028000,0.588417,707,452122,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
48,234,17.356916,17.061712,4.190276,0.018925,12.650834,10.459416,2.190501,0.106542,0.047458,0.316083,704,451353,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,235,16.226000,15.848251,6.134054,0.037217,9.609252,8.919957,0.688794,0.087625,0.024167,0.605791,716,508488,5973,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
50,236,14.546792,14.240705,4.494439,0.025169,10.488333,10.012415,0.475543,0.095833,0.026834,0.303792,706,451471,5680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
51,237,16.295750,16.045341,3.176862,0.029667,12.843958,10.583749,2.260043,0.046333,0.011500,0.913459,705,451542,5680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
52,238,18.450792,18.173408,5.232402,0.021700,12.888335,11.147582,1.740086,0.170791,0.035417,0.671876,713,508230,5972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
53,239,13.754750,13.523081,4.348923,0.025331,10.047416,9.856538,0.190795,0.047000,0.118000,0.322334,707,451740,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
54,240,19.549208,19.229674,5.453005,0.026203,14.416916,13.533082,0.883210,0.114542,0.029208,0.670167,706,452951,5692,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,241,13.713042,13.444501,3.532706,0.034462,10.416583,10.307747,0.108752,0.041833,0.237792,0.650500,715,508227,5972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
56,242,18.764041,18.524963,5.246886,0.021081,13.400332,12.615956,0.784001,0.046542,0.011208,0.599959,710,452500,5684,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57,243,16.545542,16.264886,4.436094,0.022076,11.809250,10.687374,1.121460,0.044583,0.010292,0.308334,707,451590,5680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
58,244,17.987542,17.620755,5.193664,0.024342,12.126709,10.769498,1.356627,0.092125,0.023916,0.666417,714,508487,5973,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
59,245,16.886458,16.728462,3.937245,0.021421,12.646876,10.450874,2.195377,0.039292,0.010416,0.621375,707,452005,5682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
60,246,18.284042,17.992371,4.844321,0.019159,13.176874,11.014623,2.161752,0.159125,0.014416,0.329041,707,451575,5680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,247,11.851958,11.677801,3.893577,0.023631,8.741375,8.740581,0.000669,0.044542,0.009875,0.307709,713,508550,5971,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
62,248,18.849958,18.562595,5.098497,0.022500,13.417167,13.414957,0.001710,0.198709,0.038750,0.634000,706,452647,5684,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
63,249,18.025417,17.617920,5.595356,0.040335,11.963791,9.992041,1.971084,0.058375,0.027250,0.670291,705,451311,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
64,250,15.515583,15.201547,6.017912,0.026885,9.891833,9.885498,0.005627,0.096292,0.025375,0.307334,715,508838,5973,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
65,251,18.001334,17.755053,4.525920,0.025174,13.117916,10.763165,2.353876,0.207000,0.046541,0.614791,703,451312,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
66,252,16.270333,15.928169,5.852984,0.028088,10.541917,9.334749,1.206584,0.092792,0.023875,0.685916,707,451842,5681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,253,17.453208,17.118466,5.727147,0.040536,11.295625,9.418123,1.877210,0.042750,0.008667,0.326459,712,507694,5970,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
68,254,16.308834,16.019559,4.228970,0.021386,11.748958,9.842790,1.905210,0.196208,0.034458,0.634750,708,452350,5683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
69,255,15.764875,15.352036,5.979345,0.039352,9.896875,8.742332,1.153501,0.203083,0.028667,0.316750,716,451581,5680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
70,256,17.900083,17.441985,5.691585,0.041052,11.630376,9.767915,1.861919,0.053833,0.016000,0.638000,713,507685,5970,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
71,257,15.758875,15.528455,4.565677,0.037413,11.097124,9.207581,1.889168,0.042792,0.008875,0.305834,710,452365,5683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
72,258,16.614542,16.375000,4.019906,0.017749,12.369918,10.888041,1.481252,0.198291,0.031834,0.620251,709,451367,5679,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
73,259,17.809541,17.434465,6.317220,0.048450,10.884208,9.181748,1.702127,0.045917,0.009500,0.640667,715,508452,5973,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
