frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
24489,18.411500,18.266676,18.141304,0.000000,0.000417,0.000000,0.000000,0.059708,0.013000,0.972625,631,8107234,136752,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24490,18.778667,18.564425,18.462704,0.000000,0.000917,0.000000,0.000000,0.091416,0.018625,0.333542,631,8091822,132175,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24491,19.017333,18.977769,18.793051,0.000000,0.000542,0.000000,0.000000,0.078625,0.018833,0.638958,640,8122508,132879,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24492,19.745125,19.575288,19.464294,0.000000,0.000334,0.000000,0.000000,0.083125,0.015917,0.622834,633,8107366,135885,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24493,18.308958,18.193579,18.108545,0.000000,0.000543,0.000000,0.000000,0.067375,0.015292,0.949708,631,8107141,133098,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24494,18.514750,18.331206,18.279593,0.000000,0.000833,0.000000,0.000000,0.069000,0.014709,0.660125,643,8138197,131932,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24495,19.311750,19.177428,19.147452,0.000000,0.000625,0.000000,0.000000,0.066750,0.015209,0.947375,632,8078160,136919,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24496,18.541167,18.373905,18.361595,0.000000,0.000626,0.000000,0.000000,0.076792,0.015041,1.024291,631,8105214,132857,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24497,17.677375,17.547265,17.446660,0.000000,0.000417,0.000000,0.000000,0.089208,0.032625,1.000916,642,8107020,131495,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24498,18.688917,18.458577,18.387803,0.000000,0.000501,0.000000,0.000000,0.082500,0.017500,0.339500,632,8091820,134434,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
