frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
33072,16.366208,16.187256,16.138067,0.000000,0.383500,0.383153,0.000097,0.058584,0.029708,0.360209,629,8062051,136174,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33073,16.604542,16.407288,16.284367,0.000000,1.020958,1.020278,0.000222,0.071792,0.014666,0.714125,632,8091814,133110,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33074,16.589917,16.594640,16.525863,0.000000,0.875042,0.874320,0.000263,0.078041,0.023334,0.444875,639,8122488,133331,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33075,16.917750,16.776664,16.677231,0.000000,0.914667,0.914070,0.000180,0.065541,0.015709,0.911249,631,8107284,136322,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33076,16.757416,16.600686,16.282550,0.000000,1.170583,1.170236,0.000056,0.063334,0.013166,0.446166,632,8107241,133908,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33077,16.378750,16.258378,16.232689,0.000000,0.117792,0.111070,0.006263,0.068459,0.016583,0.673291,639,8107039,131723,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33078,17.059834,16.915918,16.851399,0.000000,0.549585,0.549195,0.000264,0.062708,0.022083,0.454791,629,8107273,136905,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33079,16.649166,16.537273,16.473492,0.000000,0.629751,0.629153,0.000181,0.094375,0.014959,0.607834,632,8107236,133617,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33080,16.452959,16.332586,16.310918,0.000000,0.254500,0.254028,0.000097,0.085208,0.015917,0.615333,641,8107061,130565,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33081,16.699333,16.610224,16.580231,0.000000,0.314292,0.313653,0.000139,0.085750,0.023000,0.474167,631,8107401,135439,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33082,16.850417,16.660462,16.611871,0.000000,0.423333,0.422944,0.000139,0.081125,0.015083,0.603041,633,8107125,134709,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33083,16.338708,16.244874,16.124593,0.000000,1.034624,1.034320,0.000138,0.069750,0.015333,0.466458,639,8107053,131734,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33084,16.157250,15.983216,15.920551,0.000000,0.591375,0.590653,0.000264,0.064333,0.015000,0.793792,635,8107107,133917,0,2,0,2,0,0,0,0,0,0,5863,0,3510,2353,0
33085,17.272000,17.140487,17.111302,0.000000,0.309959,0.309528,0.000181,0.061292,0.013541,0.320042,633,8107228,141071,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33086,16.644833,16.585912,16.322586,0.000000,1.187375,1.186945,0.000263,0.077750,0.014709,1.250875,642,8122625,134742,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33087,17.019750,16.865695,16.790831,0.000000,0.762626,0.762278,0.000139,0.080792,0.022500,1.283666,630,8091790,136619,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33088,16.900625,16.774329,16.707791,0.000000,0.425166,0.424611,0.000222,0.060709,0.019083,0.547542,633,8107148,134159,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33089,16.804917,16.645739,16.658596,0.000000,0.000334,0.000000,0.000000,0.064250,0.018667,0.951875,642,8122487,132330,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33090,16.996958,16.864763,16.876171,0.000000,0.000499,0.000000,0.000000,0.076292,0.015458,0.473375,630,8091919,136258,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33091,16.162500,16.037260,16.011618,0.000000,0.000208,0.000000,0.000000,0.069417,0.016792,0.790334,632,8107185,133988,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33092,16.936417,16.802199,16.797570,0.000000,0.000333,0.000000,0.000000,0.056208,0.013334,0.464125,641,8107028,130727,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33093,16.561583,16.349078,16.354520,0.000000,0.000208,0.000000,0.000000,0.068375,0.014750,0.765125,630,8091801,135204,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33094,16.710000,16.659185,16.661704,0.000000,0.000333,0.000000,0.000000,0.057542,0.033500,0.903708,631,8122750,134894,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33095,16.458542,16.332799,16.348412,0.000000,0.000376,0.000000,0.000000,0.060667,0.029500,0.479959,640,8107074,131499,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
