frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,541710.309761917,541710.310738500,541710.310813792,0.000000000
1,541710.826099708,541710.826535333,541710.826715708,541710.855491750
2,541712.231260208,541712.231309542,541712.231567167,0.000000000
3,541712.351544208,541712.351596542,541712.351956375,541712.372156583
4,541712.381707750,541712.381747667,541712.381819917,541712.405489833
5,541712.399118167,541712.399156500,541712.399200500,541712.422156458
6,541712.414718333,541712.414755292,541712.414798250,541712.438823125
7,541712.431246208,541712.431288875,541712.431346417,541712.455489708
8,541712.445964625,541712.445994625,541712.446041917,541712.472156375
9,541712.460427917,541712.460459958,541712.460503792,541712.488823042
10,541712.475279583,541712.475309250,541712.475349875,541712.505489667
11,541712.489443833,541712.490685667,541712.490727208,541712.522156208
12,541712.504868667,541712.504910625,541712.504960583,541712.538822833
13,541712.519976667,541712.520019958,541712.520066792,541712.555489458
14,541712.535931833,541712.535972458,541712.536027042,541712.572156167
15,541712.551172500,541712.551213667,541712.551267542,541712.588822792
16,541712.566243042,541712.566290083,541712.566337458,541712.605489458
17,541712.581268875,541712.581302792,541712.581354833,541712.622156083
18,541712.596625583,541712.596661458,541712.596703917,541712.638822708
19,541712.611863792,541712.611897750,541712.611943458,541712.655489375
20,541712.626967625,541712.627004625,541712.627047417,541712.672156042
21,541712.642478750,541712.642515958,541712.642557292,541712.688822625
22,541712.657885792,541712.657918083,541712.657966958,541712.705489250
23,541712.672656667,541712.673827000,541712.673874375,541712.722155834
24,541712.689315167,541712.690503833,541712.690546792,541712.738822500
25,541712.705376250,541712.707236750,541712.707284917,541712.755489125
26,541712.721993292,541712.723899334,541712.723947000,541712.772155792
27,541712.739416000,541712.740462167,541712.740509000,541712.788822458
28,541712.755533208,541712.757165417,541712.757210833,541712.805489083
29,541712.772255458,541712.773796958,541712.773844458,541712.822155750
30,541712.789210125,541712.790611458,541712.790657917,541712.838822333
31,541712.805993792,541712.806665125,541712.806709833,541712.855489000
32,541712.821872083,541712.823891375,541712.823950750,541712.872155583
33,541712.839808792,541712.840501833,541712.840556250,541712.888822292
34,541712.856504333,541712.857150375,541712.857201833,541712.905488917
35,541712.871950917,541712.873794417,541712.873839708,541712.922155500
36,541712.889038625,541712.890505833,541712.890547583,541712.938822125
37,541712.905401792,541712.906757000,541712.906798375,541712.955488792
38,541712.921984583,541712.923721083,541712.923762208,541712.972155375
39,541712.938898042,541712.940407208,541712.940450833,541712.988822042
40,541712.955621208,541712.957158542,541712.957205875,541713.005488625
41,541712.971925333,541712.973794250,541712.973839292,541713.022155292
42,541712.989249458,541712.990475208,541712.990521458,541713.038821917
43,541713.005142333,541713.007158875,541713.007200917,541713.055488583
44,541713.024172667,541713.024205167,541713.024255000,541713.072155250
45,541713.040217917,541713.040454709,541713.040504250,541713.088821833
46,541713.056422167,541713.057170667,541713.057217000,541713.105488542
47,541713.072403875,541713.073786958,541713.073836458,541713.122155125
48,541713.089188250,541713.090528000,541713.090574708,541713.138821709
49,541713.105409125,541713.107150458,541713.107196708,541713.155488417
50,541713.121978084,541713.123804250,541713.123848833,541713.172155042
51,541713.139180375,541713.140483125,541713.140526459,541713.188821708
52,541713.155658500,541713.157171250,541713.157219417,541713.205488333
53,541713.171692333,541713.173980708,541713.174028833,541713.222154917
54,541713.189413833,541713.190375958,541713.190422792,541713.238821625
55,541713.205389167,541713.207185708,541713.207231833,541713.255488250
56,541713.221786958,541713.223917958,541713.223973917,541713.272154833
57,541713.239235708,541713.240553958,541713.240599625,541713.288821458
58,541713.255602042,541713.257147000,541713.257193750,541713.305488125
59,541713.272138417,541713.273828708,541713.273880708,541713.322154792
60,541713.289094000,541713.290487083,541713.290540083,541713.338821375
61,541713.305997792,541713.307255958,541713.307306167,541713.355488000
62,541713.321906458,541713.323890000,541713.323938042,541713.372154625
63,541713.339790583,541713.340482875,541713.340530792,541713.388821209
64,541713.356252834,541713.357176458,541713.357230000,541713.405487875
65,541713.372720167,541713.373822375,541713.373880375,541713.422154458
66,541713.389611375,541713.390499000,541713.390553584,541713.438821208
67,541713.406684708,541713.407158917,541713.407208292,541713.455487750
68,541713.422551250,541713.423846042,541713.423889625,541713.472154375
69,541713.438871833,541713.440491542,541713.440540042,541713.488821125
70,541713.455762542,541713.457166417,541713.457209625,541713.505487708
71,541713.472466250,541713.473824917,541713.473872583,541713.522154333
72,541713.488856208,541713.490539625,541713.490585042,541713.538820958
73,541713.505280542,541713.507180208,541713.507220125,541713.555487584
74,541713.522501667,541713.523872167,541713.523914417,541713.572154250
75,541713.538962042,541713.540497083,541713.540537750,541713.588820875
76,541713.555466750,541713.557191625,541713.557237667,541713.605487500
77,541713.572305667,541713.573933708,541713.573976375,541713.622154167
78,541713.589072417,541713.590582542,541713.590626625,541713.638820833
79,541713.606371333,541713.607171417,541713.607221292,541713.655487417
80,541713.623297000,541713.623788875,541713.623838709,541713.672154042
81,541713.639303583,541713.640504125,541713.640555958,541713.688820708
82,541713.656181625,541713.657243875,541713.657296375,541713.705487292
83,541713.672870583,541713.673797542,541713.673840542,541713.722153958
84,541713.688769833,541713.690500458,541713.690543250,541713.738820583
85,541713.705159250,541713.707227833,541713.707277417,541713.755487250
86,541713.722591000,541713.723821583,541713.723868334,541713.772153833
87,541713.738749208,541713.740451875,541713.740495750,541713.788820500
88,541713.755165208,541713.757121334,541713.757167500,541713.805487084
89,541713.773076792,541713.773830875,541713.773882500,541713.822153750
90,541713.789204250,541713.790484917,541713.790530667,541713.838820375
91,541713.805230959,541713.807175708,541713.807224000,541713.855487000
92,541713.822555208,541713.823844208,541713.823890250,541713.872153667
93,541713.838773792,541713.840499458,541713.840551834,541713.888820250
94,541713.854990417,541713.857241875,541713.857293167,541713.905486875
95,541713.871989792,541713.873886875,541713.873933625,541713.922153542
96,541713.888706792,541713.890498875,541713.890551833,541713.938820208
97,541713.904747208,541713.907156917,541713.907210792,541713.955486792
98,541713.922469083,541713.923871583,541713.923916667,541713.972153375
99,541713.938910125,541713.940560500,541713.940604083,541713.988820042
100,541713.955518375,541713.957192209,541713.957234167,541714.005486667
101,541713.972355625,541713.973809292,541713.973852792,541714.022153333
102,541713.989096334,541713.990526750,541713.990573125,541714.038819958
103,541714.005432250,541714.006768292,541714.006830083,541714.055486542
104,541714.022318667,541714.023879833,541714.023923208,541714.072153250
105,541714.038743583,541714.040493250,541714.040536250,541714.088819833
106,541714.055653542,541714.057168875,541714.057215458,541714.105486500
107,541714.072328125,541714.073820500,541714.073862250,541714.122153167
108,541714.089057917,541714.090489625,541714.090539083,541714.138819792
109,541714.105089625,541714.107146083,541714.107193125,541714.155486458
110,541714.122724417,541714.123831917,541714.123877083,541714.172153000
111,541714.138687458,541714.140560292,541714.140602708,541714.188819625
112,541714.155295250,541714.157134875,541714.157182292,541714.205486250
113,541714.171878708,541714.173919417,541714.173964667,541714.222152833
114,541714.189480459,541714.190514417,541714.190566917,541714.238819500
115,541714.206072917,541714.207133958,541714.207173500,541714.255486125
116,541714.226340458,541714.226366167,541714.226437292,541714.272152792
117,541714.245036792,541714.245073375,541714.245120833,541714.288819417
118,541714.261355542,541714.261405250,541714.261440084,541714.305486042
119,541714.277385750,541714.277419292,541714.277453875,541714.322152750
120,541714.293320375,541714.293355875,541714.293396625,541714.338819292
121,541714.309646167,541714.309679917,541714.309724292,541714.355485917
122,541714.325664542,541714.325700292,541714.325731375,541714.372152583
123,541714.341335750,541714.341367125,541714.341400750,541714.388819208
124,541714.356686083,541714.357138125,541714.357169583,541714.405485875
125,541714.372148542,541714.373838750,541714.373871750,541714.422152458
126,541714.389049833,541714.390547250,541714.390601125,541714.438819125
127,541714.406652708,541714.407188625,541714.407221792,541714.455485750
128,541714.422321167,541714.423826875,541714.423859417,541714.472152333
129,541714.438688667,541714.440532000,541714.440562458,541714.488818958
130,541714.456226792,541714.457177042,541714.457208375,541714.505485625
131,541714.474323417,541714.474352125,541714.474386042,541714.522152250
132,541714.489344417,541714.490723500,541714.490764042,541714.538818833
133,541714.506892500,541714.507176917,541714.507212625,541714.555485500
134,541714.523041333,541714.523804292,541714.523841083,541714.572152167
135,541714.538410125,541714.540521042,541714.540549750,541714.588818750
136,541714.557918917,541714.557954042,541714.557992250,541714.605485375
137,541714.572947125,541714.573779167,541714.573811334,541714.622151958
138,541714.588250625,541714.590357917,541714.590414458,541714.638818667
139,541714.607473292,541714.607504708,541714.607544208,541714.655485292
140,541714.622481625,541714.623813333,541714.623848625,541714.672151917
141,541714.638427584,541714.640471292,541714.640503667,541714.688818542
142,541714.655098417,541714.657181375,541714.657210458,541714.705485167
143,541714.673523458,541714.673870167,541714.673899625,541714.722151792
144,541714.688673125,541714.690517084,541714.690548583,541714.738818417
145,541714.705766542,541714.707204667,541714.707243125,541714.755485042
146,541714.722441125,541714.723911250,541714.723942458,541714.772151625
147,541714.738768875,541714.740493000,541714.740529875,541714.788818333
148,541714.755678000,541714.757194875,541714.757227875,541714.805484917
149,541714.772438833,541714.773897833,541714.773932333,541714.822151542
150,541714.788708417,541714.790452208,541714.790488708,541714.838818167
151,541714.806845833,541714.806878375,541714.806916583,541714.855484792
152,541714.822444500,541714.823509667,541714.823545625,541714.872151417
153,541714.838468959,541714.840285583,541714.840317208,541714.888818083
154,541714.854993875,541714.857278792,541714.857307875,541714.905484708
155,541714.873539583,541714.873875375,541714.873908125,541714.922151292
156,541714.892923375,541714.892957459,541714.892992125,541714.938818042
157,541714.908671958,541714.908704125,541714.908736500,541714.955484625
158,541714.924040625,541714.924074875,541714.924107000,541714.972151208
159,541714.939750000,541714.940509750,541714.940546000,541714.988817875
160,541714.956565042,541714.957175500,541714.957209042,541715.005484500
161,541714.972572500,541714.973869042,541714.973900250,541715.022151042
162,541714.988959792,541714.990511167,541714.990543625,541715.038817667
163,541715.006122708,541715.007194542,541715.007228417,541715.055484250
164,541715.022838334,541715.023923417,541715.023958333,541715.072150958
165,541715.038654833,541715.040522959,541715.040556333,541715.088817583
166,541715.056335667,541715.057120167,541715.057152042,541715.105484250
167,541715.072159042,541715.073844667,541715.073880167,541715.122150875
168,541715.088581292,541715.090790208,541715.090826250,541715.138817500
169,541715.106914417,541715.107088000,541715.107125458,541715.155484083
170,541715.122654375,541715.123889167,541715.123935500,541715.172150709
171,541715.139546458,541715.140543208,541715.140583708,541715.188817375
172,541715.156752875,541715.157108958,541715.157154792,541715.205484042
173,541715.171878625,541715.173998875,541715.174029917,541715.222150583
174,541715.190421167,541715.190605167,541715.190634750,541715.238817208
175,541715.205480750,541715.207165208,541715.207194917,541715.255483875
176,541715.222039125,541715.223889583,541715.223929375,541715.272150500
177,541715.239566750,541715.240124875,541715.240172833,541715.288817125
178,541715.255255583,541715.257193917,541715.257237333,541715.305483750
179,541715.271124042,541715.273786542,541715.273816417,541715.322150375
180,541715.287040542,541715.290451875,541715.290476708,541715.338817000
181,541715.306177875,541715.307135917,541715.307163708,541715.355483708
182,541715.321067292,541715.323768750,541715.323795542,541715.372150250
183,541715.338444667,541715.340414458,541715.340441875,541715.388816875
184,541715.354512500,541715.357090583,541715.357116167,541715.405483542
185,541715.371038583,541715.373790625,541715.373816083,541715.422150083
186,541715.388534542,541715.390405625,541715.390432000,541715.438816750
187,541715.405482375,541715.407157333,541715.407186792,541715.455483333
188,541715.421674500,541715.423649958,541715.423683375,541715.472149958
189,541715.438197750,541715.440527167,541715.440562333,541715.488816667
190,541715.454847625,541715.457178667,541715.457207750,541715.505483208
191,541715.471359958,541715.473879083,541715.473930125,541715.522149834
192,541715.488696000,541715.490592667,541715.490624542,541715.538816542
193,541715.504540625,541715.507210750,541715.507242792,541715.555483083
194,541715.521600958,541715.523892750,541715.523921083,541715.572149792
195,541715.538597208,541715.540552917,541715.540583750,541715.588816333
196,541715.554839833,541715.557215625,541715.557243458,541715.605482958
197,541715.570938708,541715.573879792,541715.573909250,541715.622149625
198,541715.588479167,541715.590570333,541715.590598625,541715.638816250
199,541715.604516500,541715.607194542,541715.607223000,541715.655482875
200,541715.621140833,541715.623857125,541715.623887333,541715.672149500
201,541715.638502458,541715.640506750,541715.640537333,541715.688816125
202,541715.654992125,541715.657169875,541715.657197833,541715.705482750
203,541715.670928583,541715.673840250,541715.673866958,541715.722149333
204,541715.688441417,541715.690499625,541715.690527542,541715.738816000
205,541715.704526625,541715.707196833,541715.707224917,541715.755482667
206,541715.721253625,541715.723841333,541715.723868542,541715.772149208
207,541715.738330500,541715.740472542,541715.740506167,541715.788815875
