frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,541637.814029833,541637.814941208,541637.815009917,0.000000000
1,541638.373613375,541638.374154292,541638.374706708,541638.405585875
2,541639.716748417,541639.716789625,541639.717050792,0.000000000
3,541639.881573250,541639.881614125,541639.881884000,541639.905583667
4,541639.921154375,541639.921195459,541639.921263833,541639.955583500
5,541639.940076042,541639.941087625,541639.941137500,541639.972250208
6,541639.957883125,541639.957914000,541639.957962000,541639.988916833
7,541639.975593792,541639.975639083,541639.975694917,541640.005583458
8,541639.992250958,541639.992285125,541639.992334583,541640.022250042
9,541640.008992042,541640.009035042,541640.009087000,541640.038916708
10,541640.025558375,541640.025596458,541640.025643708,541640.055583375
11,541640.041383875,541640.041420542,541640.041463917,541640.072250000
12,541640.056835750,541640.056864792,541640.056911417,541640.088916583
13,541640.072475292,541640.072521000,541640.072568208,541640.105583250
14,541640.088235500,541640.088278417,541640.088322750,541640.122249875
15,541640.103539375,541640.103590167,541640.103630042,541640.138916542
16,541640.118715542,541640.118753000,541640.118796375,541640.155583083
17,541640.133753750,541640.133789833,541640.133834667,541640.172249833
18,541640.149228583,541640.149281083,541640.149325958,541640.188916417
19,541640.164466000,541640.164497875,541640.164536917,541640.205583042
20,541640.179706958,541640.179761000,541640.179814417,541640.222249708
21,541640.195161417,541640.195196958,541640.195241875,541640.238916292
22,541640.210630625,541640.210663958,541640.210705125,541640.255582917
23,541640.225562583,541640.225597875,541640.225638792,541640.272249542
24,541640.240927833,541640.240956000,541640.240994125,541640.288916167
25,541640.256015500,541640.257263250,541640.257306958,541640.305582792
26,541640.272320167,541640.273891792,541640.273944792,541640.322249458
27,541640.289474250,541640.290620792,541640.290663958,541640.338916083
28,541640.306029875,541640.307295167,541640.307344417,541640.355582708
29,541640.323053208,541640.323983708,541640.324034458,541640.372249375
30,541640.339567292,541640.340425250,541640.340467375,541640.388916042
31,541640.354759209,541640.356945250,541640.356985708,541640.405582584
32,541640.371197417,541640.373553083,541640.373597750,541640.422249292
33,541640.389057083,541640.390767125,541640.390829250,541640.438915917
34,541640.407652250,541640.407685167,541640.407729708,541640.455582542
35,541640.423347458,541640.423974917,541640.424027083,541640.472249167
36,541640.440173917,541640.440578958,541640.440624875,541640.488915750
37,541640.455751542,541640.457303000,541640.457349000,541640.505582417
38,541640.472595500,541640.473906584,541640.473949375,541640.522249084
39,541640.489300167,541640.490606167,541640.490649958,541640.538915667
40,541640.505923333,541640.507255542,541640.507297958,541640.555582333
41,541640.522143375,541640.523919292,541640.523963625,541640.572248958
42,541640.539422708,541640.540669417,541640.540715500,541640.588915542
43,541640.556635292,541640.557149375,541640.557187625,541640.605582250
44,541640.573466958,541640.574129958,541640.574180000,541640.622248792
45,541640.590330625,541640.590593459,541640.590648500,541640.638915417
46,541640.606720583,541640.607459875,541640.607514333,541640.655582084
47,541640.623184458,541640.623497250,541640.623569375,541640.672248708
48,541640.639878625,541640.640193792,541640.640261208,541640.688915333
49,541640.655144625,541640.657257917,541640.657312167,541640.705582042
50,541640.672369333,541640.673849583,541640.673897333,541640.722248625
51,541640.688892500,541640.690550625,541640.690592750,541640.738915250
52,541640.704939417,541640.707207709,541640.707248458,541640.755581833
53,541640.721415958,541640.723908625,541640.723957292,541640.772248500
54,541640.738966417,541640.740460542,541640.740500667,541640.788915125
55,541640.754685542,541640.757158542,541640.757204250,541640.805581792
56,541640.771720542,541640.773973792,541640.774017500,541640.822248417
57,541640.788672333,541640.790462833,541640.790508792,541640.838915042
58,541640.805049583,541640.807161583,541640.807198750,541640.855581708
59,541640.821291709,541640.823923958,541640.823964708,541640.872248292
60,541640.839696417,541640.840460458,541640.840499458,541640.888914917
61,541640.854667000,541640.857270125,541640.857310750,541640.905581584
62,541640.871306292,541640.873857667,541640.873895417,541640.922248167
63,541640.889752292,541640.890470792,541640.890513542,541640.938914792
64,541640.904876917,541640.907205875,541640.907245458,541640.955581500
65,541640.921371000,541640.923855208,541640.923892000,541640.972248125
66,541640.938503000,541640.940487292,541640.940526875,541640.988914750
67,541640.954798125,541640.957181500,541640.957218500,541641.005581292
68,541640.971713875,541640.973859625,541640.973896042,541641.022247917
69,541640.988304292,541640.990490667,541640.990527875,541641.038914584
70,541641.005252000,541641.007157458,541641.007198167,541641.055581250
71,541641.022080000,541641.023886292,541641.023923292,541641.072247833
72,541641.038400750,541641.040530792,541641.040569333,541641.088914417
73,541641.054689417,541641.057181292,541641.057219458,541641.105581125
74,541641.072063167,541641.073889500,541641.073927917,541641.122247750
75,541641.088189417,541641.090497500,541641.090534208,541641.138914333
76,541641.105087333,541641.106842000,541641.106917750,541641.155581042
77,541641.122525167,541641.123829708,541641.123894375,541641.172247583
78,541641.139086500,541641.140477542,541641.140523000,541641.188914250
79,541641.155675375,541641.157282083,541641.157325042,541641.205580875
80,541641.171775125,541641.173534833,541641.173578125,541641.222247500
81,541641.188737583,541641.190688459,541641.190745708,541641.238914125
82,541641.206365583,541641.206852083,541641.206913708,541641.255580750
83,541641.222746958,541641.224000458,541641.224046417,541641.272247375
84,541641.239211208,541641.240173208,541641.240220000,541641.288914042
85,541641.255192875,541641.257290167,541641.257334625,541641.305580625
86,541641.272979000,541641.273877000,541641.273919792,541641.322247292
87,541641.288814917,541641.290615375,541641.290653667,541641.338913917
88,541641.305458500,541641.307323208,541641.307369167,541641.355580542
89,541641.323264500,541641.323922042,541641.323964333,541641.372247167
90,541641.339116583,541641.340559250,541641.340609000,541641.388913792
91,541641.355349750,541641.357281250,541641.357327042,541641.405580417
92,541641.372918833,541641.373909917,541641.373955542,541641.422247042
93,541641.388641333,541641.390217542,541641.390288958,541641.438913667
94,541641.405802958,541641.406837000,541641.406888875,541641.455580250
95,541641.422069875,541641.423540417,541641.423594375,541641.472246958
96,541641.439125708,541641.440550500,541641.440598208,541641.488913500
97,541641.454990792,541641.457090958,541641.457142334,541641.505580125
98,541641.472715125,541641.473948875,541641.473995833,541641.522246792
99,541641.489173375,541641.490660792,541641.490709167,541641.538913375
100,541641.505818583,541641.507224667,541641.507267000,541641.555580083
