frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,541897.118653542,541897.119542458,541897.119605042,0.000000000
1,541897.710180375,541897.710544417,541897.710776583,541897.737352542
2,541899.048649583,541899.048681250,541899.048938333,0.000000000
3,541899.174674209,541899.174703458,541899.175009042,541899.183762292
4,541899.206002458,541899.206027583,541899.206092833,541899.211069542
5,541899.222834125,541899.222856208,541899.222903000,541899.227015917
6,541899.238536042,541899.238559042,541899.238601958,541899.243108417
7,541899.254939667,541899.254960125,541899.255004958,541899.258468125
8,541899.269850208,541899.269870917,541899.269913542,541899.273419042
9,541899.284399750,541899.284416625,541899.284451208,541899.288021042
10,541899.299372875,541899.299393042,541899.299436959,541899.302925333
11,541899.313825792,541899.313852250,541899.313889458,541899.317353292
12,541899.328049542,541899.328069167,541899.328107125,541899.331625375
13,541899.342503417,541899.342523500,541899.342565959,541899.346010125
14,541899.356951000,541899.356970375,541899.357005125,541899.360424833
15,541899.371032417,541899.371049459,541899.371082208,541899.374474458
16,541899.385219958,541899.385238917,541899.385275792,541899.388764375
17,541899.400981042,541899.401008292,541899.401051375,541899.408805292
18,541899.415458167,541899.415477959,541899.415519084,541899.419051167
19,541899.429865750,541899.429883583,541899.429919708,541899.433393125
20,541899.444313750,541899.444336667,541899.444373917,541899.447837625
21,541899.458726375,541899.458746167,541899.458784208,541899.462240667
22,541899.473157500,541899.473176459,541899.473214417,541899.476689667
23,541899.487119667,541899.487138750,541899.487174042,541899.490692000
24,541899.501507625,541899.501526750,541899.501563375,541899.504948208
25,541899.515512375,541899.515528958,541899.515567000,541899.519112750
26,541899.529852042,541899.529872208,541899.529912417,541899.533371250
27,541899.544305708,541899.544327292,541899.544368042,541899.547857500
28,541899.558769458,541899.558789708,541899.558827542,541899.562276458
29,541899.572777500,541899.572795417,541899.572829750,541899.576337167
30,541899.587268750,541899.587290208,541899.587329000,541899.590925708
31,541899.602134042,541899.602159625,541899.602206083,541899.605654625
32,541899.616445208,541899.616463375,541899.616501917,541899.619944917
33,541899.630764125,541899.630780417,541899.630814458,541899.634252417
34,541899.645540083,541899.645563125,541899.645603292,541899.649122083
35,541899.659881333,541899.659899875,541899.659937250,541899.663558625
36,541899.674403667,541899.674422917,541899.674461417,541899.677911583
37,541899.688544542,541899.688562500,541899.688599583,541899.692093125
38,541899.702801458,541899.702820375,541899.702856042,541899.706294125
39,541899.716995750,541899.717013125,541899.717047417,541899.720470750
40,541899.731117875,541899.731135708,541899.731171042,541899.734699583
41,541899.744977959,541899.744995333,541899.745029083,541899.748425792
42,541899.759640250,541899.759660333,541899.759699250,541899.774776625
43,541899.773641042,541899.773674083,541899.773752917,541899.780002458
44,541899.789268417,541899.789287417,541899.789327458,541899.792874417
45,541899.804539084,541899.804564167,541899.804603583,541899.808083583
46,541899.818917250,541899.818937542,541899.818974750,541899.822465250
47,541899.832926792,541899.832945333,541899.832983542,541899.836432792
48,541899.847442292,541899.847462167,541899.847500208,541899.851020708
49,541899.864268542,541899.864287250,541899.864323000,541899.867743875
50,541899.880709208,541899.880726667,541899.880763333,541899.884216667
51,541899.897496000,541899.897513417,541899.897549125,541899.900985292
52,541899.914193583,541899.914210500,541899.914243917,541899.917810083
53,541899.930749833,541899.930767042,541899.930800375,541899.934212125
54,541899.947616375,541899.947635000,541899.947669417,541899.951131083
