frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,541934.072004625,541934.072986250,541934.073061334,0.000000000
1,541934.613991708,541934.614533750,541934.614770167,541934.637130167
2,541935.994808625,541935.994841167,541935.995096417,0.000000000
3,541936.144606458,541936.144642917,541936.144932792,541936.154438458
4,541936.177844583,541936.177873750,541936.177946750,541936.184472792
5,541936.195695250,541936.195721250,541936.195778250,541936.200327333
6,541936.212667333,541936.212691750,541936.212744000,541936.217550833
7,541936.230496500,541936.230523833,541936.230580417,541936.234473833
8,541936.246646583,541936.246671292,541936.246731167,541936.250507583
9,541936.262503083,541936.262525000,541936.262570917,541936.266391500
10,541936.278722542,541936.278749208,541936.278798958,541936.282964292
11,541936.293915667,541936.293939500,541936.293981458,541936.297558833
12,541936.308889334,541936.308912667,541936.308966208,541936.313020583
13,541936.324145125,541936.324170667,541936.324218042,541936.327897000
14,541936.339612125,541936.339637375,541936.339688708,541936.344004333
15,541936.354605209,541936.354629875,541936.354674459,541936.358324584
16,541936.369494042,541936.369519167,541936.369563458,541936.373355458
17,541936.384232208,541936.384254167,541936.384300208,541936.387831208
18,541936.400144500,541936.400167792,541936.400210750,541936.409767792
19,541936.415271333,541936.415290084,541936.415347167,541936.418999333
20,541936.430244667,541936.430269917,541936.430314208,541936.434222208
21,541936.445451917,541936.445473333,541936.445513958,541936.449093542
22,541936.460531583,541936.460554417,541936.460598208,541936.464270792
23,541936.475156625,541936.475178958,541936.475222917,541936.479854208
24,541936.490447417,541936.490470625,541936.490515917,541936.493990167
25,541936.505281208,541936.505305500,541936.505352417,541936.509706042
26,541936.520161833,541936.520185042,541936.520229833,541936.523778292
27,541936.535158875,541936.535183417,541936.535225917,541936.539433417
28,541936.550212250,541936.550233792,541936.550280292,541936.553859542
29,541936.564976083,541936.564997792,541936.565044583,541936.568631167
30,541936.580959875,541936.580988084,541936.581036875,541936.584756834
31,541936.596232208,541936.596257458,541936.596309750,541936.600119500
32,541936.611538042,541936.611563792,541936.611618833,541936.615275958
33,541936.627011583,541936.627035375,541936.627077583,541936.631038167
34,541936.642147792,541936.642172542,541936.642215583,541936.645901208
35,541936.656786917,541936.656807792,541936.656848875,541936.660539208
36,541936.671856334,541936.671884167,541936.671927583,541936.676661792
37,541936.686480833,541936.686504042,541936.686546250,541936.690207625
38,541936.701336500,541936.701359917,541936.701404625,541936.705211792
39,541936.716471875,541936.716495875,541936.716538375,541936.720207125
40,541936.731298250,541936.731319167,541936.731360750,541936.734981208
41,541936.745928917,541936.745951750,541936.745997542,541936.750541458
42,541936.761115375,541936.761137500,541936.761178833,541936.764787083
43,541936.776267500,541936.776287333,541936.776330083,541936.779856083
44,541936.792054542,541936.792077708,541936.792124708,541936.795774375
45,541936.808350250,541936.808375583,541936.808426959,541936.812084542
46,541936.824032750,541936.824057708,541936.824111833,541936.827753958
47,541936.839317625,541936.839342167,541936.839403958,541936.842852417
48,541936.854827125,541936.854849333,541936.854892583,541936.858808375
49,541936.869494000,541936.869521917,541936.869580625,541936.873309250
50,541936.885524750,541936.885557625,541936.885636542,541936.889680792
51,541936.901909792,541936.901937875,541936.901994500,541936.905794083
52,541936.917381875,541936.917407834,541936.917459917,541936.925573250
53,541936.932472958,541936.932488375,541936.932536875,541936.936289334
54,541936.948323542,541936.948348958,541936.948397667,541936.952067167
55,541936.963434042,541936.963461750,541936.963506833,541936.967206333
56,541936.978063417,541936.978093583,541936.978141250,541936.982946959
57,541936.993168625,541936.993192125,541936.993236750,541936.996978500
58,541937.008656375,541937.008683042,541937.008743125,541937.012411334
59,541937.023541834,541937.023560500,541937.023619500,541937.027292292
60,541937.039192667,541937.039216500,541937.039264000,541937.050226458
61,541937.054562792,541937.054587958,541937.054636292,541937.058366333
62,541937.069722667,541937.069747167,541937.069791167,541937.073459625
63,541937.086007583,541937.086031958,541937.086076375,541937.090405625
64,541937.101228375,541937.101252375,541937.101300167,541937.104899500
65,541937.116420792,541937.116444958,541937.116494458,541937.120530125
66,541937.132275208,541937.132300458,541937.132346417,541937.135806417
67,541937.147078875,541937.147101000,541937.147145083,541937.151789208
68,541937.161959208,541937.161979583,541937.162019417,541937.165544250
69,541937.176721500,541937.176747042,541937.176790167,541937.180453792
70,541937.191657750,541937.191680833,541937.191723000,541937.195221667
71,541937.206491708,541937.206514625,541937.206556125,541937.210022083
72,541937.221850458,541937.221876083,541937.221921792,541937.226496500
73,541937.238274583,541937.238296250,541937.238340875,541937.242478375
74,541937.255116917,541937.255138417,541937.255180833,541937.258791083
75,541937.271785083,541937.271809125,541937.271848792,541937.275465042
76,541937.288335375,541937.288356500,541937.288406333,541937.291889958
77,541937.305208083,541937.305244167,541937.305286583,541937.310213875
78,541937.321945667,541937.321977542,541937.322017208,541937.326539500
79,541937.339291292,541937.339314333,541937.339360083,541937.343098167
80,541937.355386417,541937.355413708,541937.355462792,541937.359213333
81,541937.372016875,541937.372041375,541937.372089958,541937.375727333
82,541937.388609667,541937.388634625,541937.388692583,541937.392564375
83,541937.405403500,541937.405427833,541937.405475917,541937.419476792
84,541937.422112375,541937.422138542,541937.422188667,541937.426668625
