frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,538972.352946125,538972.353913042,538972.353993250,0.000000000
1,538973.760325500,538973.760961750,538973.761712167,0.000000000
2,538973.804942500,538973.805045792,538973.806029417,538973.833171458
3,538973.849142708,538973.849269417,538973.849602958,538973.866504792
4,538973.883078708,538973.883196792,538973.883518208,538973.916504750
5,538973.926003750,538973.926072667,538973.926391333,538973.949838125
6,538973.968077875,538973.968153333,538973.968281542,538973.999838167
7,538974.008303875,538974.008370167,538974.008693542,538974.033171500
8,538974.049640625,538974.049726125,538974.049854167,538974.083171500
9,538974.092231667,538974.092298583,538974.092410667,538974.116504833
10,538974.132310000,538974.132371958,538974.132491958,538974.166504875
11,538974.166482250,538974.166551875,538974.166728333,538974.199838167
12,538974.203845958,538974.203911667,538974.204029000,538974.233171500
13,538974.241556500,538974.241614250,538974.241722875,538974.266504875
14,538974.279898500,538974.279953750,538974.280046833,538974.299838167
15,538974.322588583,538974.322635458,538974.322711000,538974.349838125
16,538974.365672792,538974.365793667,538974.366187917,538974.399838083
17,538974.409411417,538974.409454000,538974.409679584,538974.433171500
18,538974.452781542,538974.452828333,538974.453014542,538974.483171458
19,538974.496117000,538974.496208958,538974.496337542,538974.516504750
20,538974.539430750,538974.539517875,538974.539649625,538974.566504750
21,538974.579242708,538974.579283750,538974.579350167,538974.599838083
22,538974.622457833,538974.622511042,538974.622581667,538974.649838042
23,538974.658557167,538974.658665375,538974.658786708,538974.683171375
24,538974.700615167,538974.700657917,538974.700728042,538974.733171333
25,538974.734682792,538974.734716167,538974.734785167,538974.766504625
26,538974.776381250,538974.776467792,538974.776656292,538974.799837875
27,538974.812334292,538974.812418167,538974.812540542,538974.833171167
28,538974.850249292,538974.850467958,538974.850537375,538974.883171167
29,538974.893635667,538974.893719167,538974.893847750,538974.916504417
30,538974.935792167,538974.935847083,538974.935918459,538974.966504417
31,538974.970121167,538974.970170417,538974.970242000,538974.999837708
32,538975.008244833,538975.008322333,538975.008438167,538975.033171000
33,538975.049875417,538975.049955708,538975.050076625,538975.083170917
34,538975.084828417,538975.084889125,538975.085009750,538975.116504250
35,538975.119814208,538975.119848750,538975.119917959,538975.149837417
36,538975.159551583,538975.159629833,538975.159746583,538975.183170750
37,538975.202199625,538975.202274333,538975.202387208,538975.233170667
38,538975.241355625,538975.241400583,538975.241467833,538975.266503917
39,538975.284575458,538975.284626125,538975.284697917,538975.316503917
40,538975.326351708,538975.326416583,538975.326533667,538975.349837167
