frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,539597.410609333,539597.411690625,539597.411777333,0.000000000
1,539598.817218917,539598.818017333,539598.819385042,0.000000000
2,539598.862667625,539598.862789333,539598.863800792,539598.896287542
3,539598.906881625,539598.906952375,539598.907065375,539598.929620792
4,539598.946354042,539598.946423167,539598.946738083,539598.979620667
5,539598.988033375,539598.988095208,539598.988398792,539599.012953875
6,539599.030186083,539599.030254000,539599.030367250,539599.062953708
7,539599.066848792,539599.066911500,539599.067027292,539599.096287000
8,539599.101588500,539599.101653917,539599.101768250,539599.129620208
9,539599.140053167,539599.140105417,539599.140319875,539599.162953417
10,539599.179128125,539599.179211042,539599.179346375,539599.212953292
11,539599.214499625,539599.214568959,539599.214880375,539599.246286542
12,539599.256542667,539599.256591417,539599.256828667,539599.279619708
13,539599.291185375,539599.291228458,539599.291389708,539599.312952875
14,539599.326465250,539599.326622833,539599.326700250,539599.346286208
15,539599.363228250,539599.363314333,539599.363444500,539599.396286000
16,539599.401377958,539599.401436375,539599.401540917,539599.429619208
17,539599.440185292,539599.440234500,539599.440463875,539599.462952375
18,539599.483551000,539599.483653375,539599.483840292,539599.512952250
19,539599.526900083,539599.526958084,539599.527025917,539599.546285417
20,539599.562026917,539599.562084334,539599.562165375,539599.579618708
21,539599.605252583,539599.605320750,539599.605435917,539599.629618458
22,539599.639601750,539599.639689250,539599.639815042,539599.662951667
23,539599.679510083,539599.679592958,539599.679714792,539599.712951458
24,539599.721922375,539599.721966750,539599.722034667,539599.746284625
25,539599.765252417,539599.765333708,539599.765459083,539599.796284417
26,539599.806697458,539599.806759625,539599.806848500,539599.829617625
27,539599.841315333,539599.841416625,539599.841706084,539599.862950875
28,539599.877894875,539599.877937333,539599.878002333,539599.896284000
29,539599.921154958,539599.921232125,539599.921371375,539599.946283833
30,539599.963029542,539599.963077875,539599.963152458,539599.996283625
31,539600.006216042,539600.006271667,539600.006344458,539600.029616750
32,539600.044678875,539600.044758625,539600.044879708,539600.062949958
33,539600.082866833,539600.082965292,539600.083076208,539600.112949750
34,539600.126163292,539600.126212875,539600.126286458,539600.146282875
35,539600.163905958,539600.163991917,539600.164121917,539600.196282667
36,539600.197404250,539600.197478958,539600.197595667,539600.229615833
37,539600.238896833,539600.238946417,539600.239018375,539600.262948958
38,539600.279955542,539600.280043750,539600.280165250,539600.312948708
