frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,539929.753492583,539929.754434625,539929.754504542,0.000000000
1,539930.302772000,539930.303354875,539930.303837583,539930.327448583
2,539931.682404417,539931.682450125,539931.682717333,0.000000000
3,539931.801626542,539931.801675583,539931.801994000,539931.827447792
4,539931.831994167,539931.832035208,539931.832181584,539931.860781083
5,539931.843940333,539931.844376417,539931.844430500,539931.877447709
6,539931.853717125,539931.853767208,539931.853828250,539931.894114417
7,539931.863598958,539931.863634042,539931.863710417,539931.910781042
8,539931.872721042,539931.879102250,539931.879175875,539931.927447667
9,539931.883176917,539931.895677375,539931.895751584,539931.944114375
10,539931.899690458,539931.912340042,539931.912386417,539931.960781000
11,539931.916063542,539931.929110958,539931.929149125,539931.977447625
12,539931.932957125,539931.945658917,539931.945703792,539931.994114292
13,539931.949547375,539931.962314083,539931.962354250,539932.010780917
14,539931.966163083,539931.979069208,539931.979103792,539932.027447542
15,539931.982674792,539931.995652792,539931.995697375,539932.044114250
16,539931.999395917,539932.012341292,539932.012394250,539932.060780875
17,539932.016153333,539932.029019958,539932.029058500,539932.077447500
18,539932.032813875,539932.045788292,539932.045843583,539932.094114125
19,539932.049759458,539932.062327000,539932.062364292,539932.110780792
20,539932.066021167,539932.079044542,539932.079078292,539932.127447458
21,539932.082692375,539932.095731792,539932.095766458,539932.144114125
22,539932.099567375,539932.112370208,539932.112407208,539932.160780750
23,539932.116876083,539932.129031583,539932.129072458,539932.177447375
24,539932.132723250,539932.145681917,539932.145725333,539932.194114042
25,539932.149289000,539932.162427250,539932.162467625,539932.210780708
26,539932.166132500,539932.178799792,539932.178849958,539932.227447333
27,539932.182899333,539932.195782042,539932.195849667,539932.244114000
28,539932.199807917,539932.212423625,539932.212472167,539932.260780625
29,539932.216259417,539932.229083833,539932.229139875,539932.277447250
30,539932.233070667,539932.245554625,539932.245614167,539932.294113917
31,539932.249580042,539932.262436917,539932.262510417,539932.310780583
32,539932.266089958,539932.279088917,539932.279149458,539932.327447208
33,539932.282618000,539932.295763500,539932.295820208,539932.344113875
34,539932.299377250,539932.312200917,539932.312256583,539932.360780583
35,539932.315697458,539932.329066833,539932.329114792,539932.377447167
36,539932.332624833,539932.345733917,539932.345786542,539932.394113792
37,539932.349270500,539932.362454833,539932.362512875,539932.410780417
38,539932.366040917,539932.379071417,539932.379119750,539932.427447042
39,539932.382706375,539932.395336792,539932.395389375,539932.444113750
40,539932.399082208,539932.411995958,539932.412055542,539932.460780417
41,539932.415519625,539932.429094833,539932.429156708,539932.477447000
42,539932.432775208,539932.445702250,539932.445756292,539932.494113667
43,539932.450627167,539932.462614167,539932.462684708,539932.510780250
44,539932.466378292,539932.479327750,539932.479382125,539932.527446958
45,539932.483015250,539932.495904500,539932.495961958,539932.544113542
46,539932.499596792,539932.512506625,539932.512561375,539932.560780167
47,539932.516063167,539932.529098083,539932.529149958,539932.577446875
48,539932.532785750,539932.545728750,539932.545779708,539932.594113542
49,539932.549285667,539932.562414708,539932.562465625,539932.610780125
50,539932.566002833,539932.579076792,539932.579134833,539932.627446792
51,539932.582679042,539932.595744625,539932.595797417,539932.644113500
52,539932.599445667,539932.612496458,539932.612548833,539932.660780084
53,539932.616033833,539932.629024417,539932.629077458,539932.677446750
54,539932.632666667,539932.645436125,539932.645501583,539932.694113375
55,539932.649082167,539932.662515583,539932.662574958,539932.710780083
56,539932.665957833,539932.679069375,539932.679124250,539932.727446667
57,539932.682695417,539932.695710083,539932.695766750,539932.744113333
58,539932.699389667,539932.712424833,539932.712482209,539932.760780000
59,539932.715967500,539932.729100250,539932.729160500,539932.777446708
60,539932.732765167,539932.745660208,539932.745709917,539932.794113292
61,539932.749293875,539932.762392708,539932.762444667,539932.810779875
62,539932.765920625,539932.779106958,539932.779168917,539932.827446542
63,539932.783197583,539932.795808000,539932.795860333,539932.844113167
64,539932.799391875,539932.812503750,539932.812555250,539932.860779875
65,539932.816058083,539932.829173250,539932.829222458,539932.877446500
66,539932.832752458,539932.845755583,539932.845817917,539932.894113167
67,539932.849382583,539932.862387958,539932.862440167,539932.910779750
68,539932.865845542,539932.879057375,539932.879110750,539932.927446375
69,539932.882554167,539932.895880958,539932.895946583,539932.944113083
70,539932.899404750,539932.912416875,539932.912474583,539932.960779667
71,539932.915971250,539932.929080958,539932.929123958,539932.977446292
72,539932.932580208,539932.945732792,539932.945782625,539932.994112958
73,539932.949119625,539932.962399917,539932.962459667,539933.010779625
74,539932.965888208,539932.979052458,539932.979112750,539933.027446250
75,539932.982667584,539932.995805583,539932.995849292,539933.044112917
76,539932.999327833,539933.012467083,539933.012529083,539933.060779542
77,539933.016203708,539933.029054917,539933.029106708,539933.077446208
78,539933.032562875,539933.045750375,539933.045804875,539933.094112833
79,539933.050490167,539933.062487500,539933.062541417,539933.110779500
80,539933.066542833,539933.079130125,539933.079190292,539933.127446167
81,539933.082723167,539933.095800042,539933.095848667,539933.144112833
82,539933.099372458,539933.112531417,539933.112591667,539933.160779500
83,539933.116118250,539933.129032292,539933.129085792,539933.177446083
84,539933.132468167,539933.145763250,539933.145819458,539933.194112750
85,539933.149202583,539933.161977667,539933.162032167,539933.210779375
86,539933.165803833,539933.179051500,539933.179098708,539933.227446083
87,539933.182574958,539933.195764292,539933.195823167,539933.244112667
88,539933.199543917,539933.212411917,539933.212466250,539933.260779292
89,539933.216281792,539933.229118167,539933.229168292,539933.277446000
90,539933.233047333,539933.245733250,539933.245779250,539933.294112584
91,539933.249558167,539933.262412708,539933.262475208,539933.310779250
92,539933.266128292,539933.279109042,539933.279162917,539933.327445875
93,539933.282982625,539933.295731208,539933.295793584,539933.344112500
94,539933.299284750,539933.312387333,539933.312442292,539933.360779125
95,539933.315985125,539933.329044042,539933.329089667,539933.377445792
96,539933.332586292,539933.345709333,539933.345762583,539933.394112458
97,539933.349059792,539933.362403958,539933.362453333,539933.410779042
98,539933.365916042,539933.379076500,539933.379126250,539933.427445750
99,539933.382456583,539933.395328333,539933.395381250,539933.444112417
100,539933.398978125,539933.412430458,539933.412499667,539933.460779042
101,539933.415993417,539933.429072250,539933.429123083,539933.477445667
102,539933.432641333,539933.445799792,539933.445860958,539933.494112375
103,539933.449218792,539933.462412917,539933.462466250,539933.510778958
104,539933.465881917,539933.479096708,539933.479151125,539933.527445583
105,539933.482528167,539933.495752583,539933.495811000,539933.544112292
106,539933.499346792,539933.512442125,539933.512496042,539933.560778875
107,539933.515909208,539933.529139125,539933.529197250,539933.577445542
108,539933.532624542,539933.546037458,539933.546093333,539933.594112125
109,539933.549344292,539933.562394542,539933.562452125,539933.610778792
110,539933.566120334,539933.579093250,539933.579143625,539933.627445458
111,539933.582515000,539933.595771417,539933.595825958,539933.644112167
112,539933.599293833,539933.612437750,539933.612504750,539933.660778708
113,539933.615894000,539933.629099417,539933.629148208,539933.677445375
114,539933.632912167,539933.645685083,539933.645751625,539933.694112083
115,539933.649460625,539933.662771167,539933.662834083,539933.710778708
116,539933.670636458,539933.679187084,539933.679246333,539933.727445292
117,539933.683692250,539933.696037458,539933.696092792,539933.744111958
118,539933.700337167,539933.712776708,539933.712839792,539933.760778583
119,539933.716535250,539933.729298667,539933.729346458,539933.777445250
120,539933.733132250,539933.745881250,539933.745920750,539933.794111833
121,539933.749581667,539933.762540000,539933.762585417,539933.810778500
