frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.716750,0.020917,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3223.303417,2986.364148,2109.579455,0.616430,967.583595,928.836541,38.736388,0.288958,0.023333,83.003834,124743,1320176475,101377442,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,16.271625,16.150290,2.638910,0.011510,13.383291,13.189332,0.193751,1.046250,0.029250,0.592583,632,971271,61044,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.454833,1640.181084,1123.171254,0.008961,560.659490,560.134785,0.523705,0.075125,0.023125,45.450035,62914,796565277,50950180,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,18.490250,18.364756,4.309575,0.010115,14.066918,11.720790,2.345919,0.039917,0.011583,0.607958,652,2139731,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,17.763500,17.638755,17.646454,0.001877,0.000208,0.000000,0.000000,0.032417,0.012541,0.632251,662,6993979,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.953667,14.845080,4.133538,0.008667,11.098709,9.737332,1.361210,0.030166,0.008500,0.299291,657,2030318,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,17.261416,17.140286,17.147135,0.001540,0.000251,0.000000,0.000000,0.029959,0.011750,0.588875,660,7270244,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,16.781459,16.661472,3.577300,0.009958,13.096751,10.761665,2.334919,0.023833,0.008375,0.297208,652,2014250,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,17.324875,17.208299,17.215337,0.001211,0.000209,0.000000,0.000000,0.028500,0.011041,0.580167,669,7331886,170409,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,16.205875,16.093070,3.728663,0.009331,12.425333,10.258873,2.166127,0.046458,0.013833,0.306292,650,2054986,148578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,17.717916,17.593456,17.598349,0.001207,0.000334,0.000000,0.000000,0.033000,0.012584,0.593084,669,7417077,175271,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,15.678084,15.564201,3.984329,0.009413,11.966374,9.757040,2.209168,0.025125,0.007791,0.594333,659,2017247,140753,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
