frame,presented_time_s
0,0.000000000
1,537965.017985792
2,0.000000000
3,0.000000000
4,0.000000000
5,0.000000000
6,537969.951294292
7,537969.967960875
8,537969.984627458
9,537970.001294042
10,537970.017960625
11,537970.034627208
12,537970.051293792
13,537970.067960417
14,537970.084626958
15,537970.101293583
16,537970.117960167
17,537970.134626667
18,537970.151293292
19,537970.167959917
20,537970.184626458
21,537970.201293000
22,537970.217959625
23,537970.234626208
24,537970.251292750
25,537970.267959333
26,537970.284625917
27,537970.301292500
28,537970.317959083
29,537970.334625667
30,537970.351292292
31,537970.367958833
32,537970.384625417
33,537970.401292000
34,537970.417958583
35,537970.434625208
36,537970.451291750
37,537970.467958375
38,537970.484624958
39,537970.501291542
40,537970.517958125
41,537970.534624750
42,537970.551291292
43,537970.567957875
44,537970.584624458
45,537970.601291042
46,537970.617957583
47,537970.634624167
48,537970.651290792
49,537970.667957333
50,537970.684623917
51,537970.701290542
52,537970.717957125
53,537970.734623667
54,537970.751290292
55,537970.767956875
56,537970.784623417
57,537970.801290000
58,537970.817956625
59,537970.834623167
60,537970.851289750
61,537970.867956333
62,537970.884622917
63,537970.901289459
64,537970.917956083
65,537970.934622667
66,537970.951289292
67,537970.967955875
68,537970.984622417
69,537971.001289042
70,537971.017955625
71,537971.034622125
72,537971.051288750
73,537971.067955375
74,537971.084621958
75,537971.101288500
76,537971.117955125
77,537971.134621667
78,537971.151288292
79,537971.167954833
80,537971.184621375
81,537971.201288042
82,537971.217954625
83,537971.234621167
84,537971.251287708
85,537971.267954375
86,537971.284620917
87,537971.301287500
88,537971.317954125
89,537971.334620667
90,537971.351287250
91,537971.367953875
92,537971.384620417
93,537971.401287000
94,537971.417953542
95,537971.434620125
96,537971.451286792
97,537971.467953292
98,537971.484619917
99,537971.501286500
100,537971.517953125
101,537971.534619708
102,537971.551286208
103,537971.567952875
104,537971.584619458
105,537971.601286000
106,537971.617952625
107,537971.634619125
108,537971.651285792
109,537971.667952375
110,537971.684618959
111,537971.701285542
112,537971.717952083
113,537971.734618667
114,537971.751285292
115,537971.767951917
116,537971.784618417
117,537971.801285000
