frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,540153.130826375,540153.131797125,540153.131860708,0.000000000
1,540153.686836208,540153.687340042,540153.687557917,540153.709130417
2,540155.018252542,540155.018292750,540155.018557708,0.000000000
3,540155.145030500,540155.145083708,540155.145408708,540155.175786917
4,540155.177477125,540155.177513500,540155.177676417,540155.209119958
5,540155.194402667,540155.194455208,540155.194531542,540155.225786542
6,540155.210438084,540155.210480583,540155.210561500,540155.242453042
7,540155.225058000,540155.225647417,540155.225721625,540155.259119583
8,540155.238464875,540155.238509875,540155.238580875,540155.275786125
9,540155.250837542,540155.250884875,540155.250956917,540155.292452708
10,540155.263794958,540155.263837209,540155.263897625,540155.309119167
11,540155.275946125,540155.277546708,540155.277613125,540155.325785750
12,540155.290194209,540155.294256792,540155.294328458,540155.342452292
13,540155.308643417,540155.310932792,540155.311012833,540155.359118875
14,540155.323883500,540155.327527500,540155.327601042,540155.375785375
15,540155.339887167,540155.344114083,540155.344170292,540155.392451875
16,540155.355091125,540155.360746708,540155.360788000,540155.409118542
17,540155.371556750,540155.377451125,540155.377492125,540155.425785042
18,540155.388627958,540155.393797792,540155.393852833,540155.442451583
19,540155.405299708,540155.410814750,540155.410862542,540155.459118167
20,540155.421781750,540155.427439583,540155.427482750,540155.475784667
21,540155.438495875,540155.444077292,540155.444119000,540155.492451208
22,540155.455161458,540155.460797292,540155.460836833,540155.509117750
23,540155.471496125,540155.477419458,540155.477460000,540155.525784292
24,540155.488478042,540155.494076875,540155.494120500,540155.542450875
25,540155.504664500,540155.510893292,540155.510939917,540155.559117417
26,540155.521776792,540155.527422250,540155.527469667,540155.575783917
27,540155.538504167,540155.544330125,540155.544379375,540155.592450417
28,540155.555088000,540155.560784792,540155.560833667,540155.609117042
29,540155.571824417,540155.577543167,540155.577605375,540155.625783542
30,540155.589283750,540155.594197250,540155.594256333,540155.642450125
31,540155.605032833,540155.610809917,540155.610857417,540155.659116667
32,540155.621503958,540155.627385250,540155.627429833,540155.675783167
33,540155.638486583,540155.644179875,540155.644222708,540155.692449750
34,540155.655325125,540155.660883709,540155.660928709,540155.709116250
35,540155.672127959,540155.677480250,540155.677523667,540155.725782792
36,540155.688475917,540155.694124875,540155.694178583,540155.742449333
37,540155.704938250,540155.710785209,540155.710829542,540155.759115917
38,540155.721654625,540155.727554125,540155.727602000,540155.775782500
39,540155.738475167,540155.744100042,540155.744144292,540155.792448917
40,540155.754830417,540155.760753875,540155.760795667,540155.809115458
41,540155.771282250,540155.777428250,540155.777477000,540155.825782083
42,540155.788451625,540155.794107625,540155.794147625,540155.842448625
43,540155.805660167,540155.811073750,540155.811113833,540155.859115167
44,540155.823138334,540155.827457417,540155.827503375,540155.875781667
45,540155.838989000,540155.844168958,540155.844211708,540155.892448167
46,540155.855644958,540155.860844042,540155.860889458,540155.909114792
47,540155.871674250,540155.877451250,540155.877510958,540155.925781292
48,540155.888543708,540155.894151667,540155.894188333,540155.942447875
49,540155.904691333,540155.910843750,540155.910879917,540155.959114417
50,540155.921608167,540155.927475084,540155.927515333,540155.975780958
51,540155.938430125,540155.944131750,540155.944174333,540155.992447458
52,540155.954840042,540155.960992167,540155.961041542,540156.009113958
53,540155.972253667,540155.977577167,540155.977619042,540156.025780583
54,540155.989149667,540155.993719500,540155.993772708,540156.042447125
55,540156.005059750,540156.010989792,540156.011040208,540156.059113667
56,540156.022307375,540156.027615000,540156.027659917,540156.075780167
57,540156.039308583,540156.044143333,540156.044192459,540156.092446750
58,540156.055059250,540156.060811250,540156.060849542,540156.109113250
59,540156.071409375,540156.077127708,540156.077191375,540156.125779792
60,540156.088418000,540156.094068833,540156.094134542,540156.142446333
61,540156.105854208,540156.111077084,540156.111128042,540156.159112833
62,540156.122127333,540156.127444750,540156.127486458,540156.175779417
63,540156.139267583,540156.144223208,540156.144265667,540156.192445958
64,540156.155473417,540156.160871417,540156.160912917,540156.209112458
65,540156.172031042,540156.177504458,540156.177549208,540156.225779042
66,540156.189103708,540156.194221542,540156.194259625,540156.242445625
67,540156.205292208,540156.210816375,540156.210862250,540156.259112125
68,540156.221667250,540156.227543917,540156.227580000,540156.275778667
69,540156.238305833,540156.244168417,540156.244208917,540156.292445167
70,540156.255181375,540156.260910542,540156.260949500,540156.309111750
71,540156.271663583,540156.277438208,540156.277474667,540156.325778292
72,540156.288182625,540156.294190667,540156.294228958,540156.342444792
73,540156.304521708,540156.310554250,540156.310596875,540156.359111375
74,540156.321975458,540156.327488417,540156.327527250,540156.375777875
75,540156.338083125,540156.344104542,540156.344146250,540156.392444375
76,540156.354722500,540156.360815958,540156.360851750,540156.409111000
77,540156.371650875,540156.377429750,540156.377467417,540156.425777458
78,540156.388490333,540156.393734417,540156.393789292,540156.442444083
79,540156.405486500,540156.411028667,540156.411069083,540156.459110542
80,540156.422633250,540156.427378667,540156.427424167,540156.475777167
81,540156.438839833,540156.444209250,540156.444253250,540156.492443625
82,540156.455546458,540156.461035875,540156.461073583,540156.509110167
83,540156.472142708,540156.477468417,540156.477506667,540156.525776792
84,540156.488019250,540156.494196167,540156.494231958,540156.542443208
85,540156.504685083,540156.510854083,540156.510890584,540156.559109792
86,540156.521839208,540156.527422000,540156.527459500,540156.575776333
87,540156.538030208,540156.544215792,540156.544266167,540156.592442875
88,540156.554747667,540156.560762958,540156.560798083,540156.609109417
89,540156.571639500,540156.577195833,540156.577234083,540156.625775917
90,540156.588196167,540156.594117042,540156.594156125,540156.642442458
91,540156.604634542,540156.610884542,540156.610928250,540156.659109042
92,540156.621865958,540156.627455583,540156.627499292,540156.675775542
93,540156.638179000,540156.644060792,540156.644097375,540156.692442083
94,540156.654770500,540156.660789375,540156.660824292,540156.709108583
95,540156.671597250,540156.677511333,540156.677547833,540156.725775167
96,540156.688107333,540156.694187042,540156.694227083,540156.742441708
97,540156.704550292,540156.710813792,540156.710849792,540156.759108250
98,540156.721747625,540156.727550042,540156.727594167,540156.775774833
99,540156.738367417,540156.744198750,540156.744312333,540156.792441292
100,540156.755745250,540156.760759583,540156.760824917,540156.809107833
101,540156.774693875,540156.777831208,540156.777894333,540156.825774417
102,540156.790128917,540156.793798875,540156.793915167,540156.842440917
103,540156.806414542,540156.810987375,540156.811064833,540156.859107500
104,540156.823478750,540156.827131833,540156.827205292,540156.875774000
105,540156.838697917,540156.844444167,540156.844495834,540156.892440542
106,540156.856114792,540156.860967958,540156.861012250,540156.909107167
107,540156.871855084,540156.877351167,540156.877390125,540156.925773583
108,540156.887978708,540156.894135583,540156.894175500,540156.942440125
109,540156.904666583,540156.910832125,540156.910876750,540156.959106667
110,540156.921915958,540156.927441042,540156.927482292,540156.975773250
111,540156.938216333,540156.944090625,540156.944129000,540156.992439750
112,540156.954558542,540156.960868667,540156.960905917,540157.009106250
113,540156.971560583,540156.977577000,540156.977613042,540157.025772792
114,540156.988651083,540156.994241833,540156.994284750,540157.042439333
115,540157.005452875,540157.010337083,540157.010383625,540157.059105875
116,540157.026523792,540157.027008250,540157.027086625,540157.075772500
117,540157.041704292,540157.043713333,540157.043782833,540157.092438917
118,540157.055332292,540157.060811583,540157.060864667,540157.109105542
119,540157.072016625,540157.077441875,540157.077475375,540157.125772042
120,540157.089450042,540157.093724667,540157.093786000,540157.142438500
121,540157.105996250,540157.110910125,540157.110942708,540157.159105125
122,540157.122628375,540157.127497750,540157.127526417,540157.175771583
123,540157.139016334,540157.144235125,540157.144266958,540157.192438167
124,540157.155707333,540157.160814125,540157.160843042,540157.209104708
125,540157.172240917,540157.177560500,540157.177586125,540157.225771250
126,540157.188927250,540157.194124584,540157.194150875,540157.242437792
127,540157.205487708,540157.210881958,540157.210910542,540157.259104333
128,540157.222116875,540157.227517625,540157.227545667,540157.275770875
129,540157.238889958,540157.244214000,540157.244249042,540157.292437417
130,540157.256299458,540157.260852292,540157.260879000,540157.309103958
131,540157.274519000,540157.277206583,540157.277234708,540157.325770500
132,540157.288108583,540157.294220500,540157.294247125,540157.342437000
133,540157.305673875,540157.310765833,540157.310793542,540157.359103583
134,540157.322193667,540157.327565833,540157.327593500,540157.375770083
135,540157.338276042,540157.344185417,540157.344214292,540157.392436500
136,540157.356687750,540157.360831625,540157.360857500,540157.409103125
137,540157.371697667,540157.377480625,540157.377508792,540157.425769667
138,540157.388457542,540157.393845125,540157.393884542,540157.442436167
139,540157.405137958,540157.410845417,540157.410873750,540157.459102750
140,540157.421950042,540157.427477292,540157.427509292,540157.475769292
141,540157.438641708,540157.444192792,540157.444230958,540157.492435792
142,540157.455097958,540157.460866125,540157.460892167,540157.509102333
143,540157.473081250,540157.477509750,540157.477535000,540157.525768875
144,540157.488535917,540157.494119875,540157.494144625,540157.542435417
145,540157.505485875,540157.510822750,540157.510847750,540157.559101917
146,540157.522171167,540157.527495125,540157.527518833,540157.575768500
147,540157.538380250,540157.544223833,540157.544260542,540157.592434958
148,540157.555716833,540157.560778125,540157.560805625,540157.609101583
149,540157.571703375,540157.577131417,540157.577162542,540157.625768042
150,540157.588734417,540157.594082000,540157.594120667,540157.642434542
151,540157.605906542,540157.610698750,540157.610732042,540157.659101125
152,540157.622332167,540157.627372125,540157.627404708,540157.675767625
153,540157.638750292,540157.644117750,540157.644157709,540157.692434208
154,540157.655189458,540157.660769667,540157.660801792,540157.709100708
155,540157.672413042,540157.677428000,540157.677460375,540157.725767250
156,540157.689543833,540157.694172208,540157.694209000,540157.742433875
157,540157.705292042,540157.710730583,540157.710765125,540157.759100333
158,540157.721491000,540157.727556125,540157.727589208,540157.775766917
159,540157.738850458,540157.744112125,540157.744149000,540157.792433458
160,540157.755952375,540157.760744250,540157.760780875,540157.809099917
161,540157.771885833,540157.777420542,540157.777449958,540157.825766458
162,540157.788273125,540157.794051917,540157.794085042,540157.842433000
163,540157.805228958,540157.810752167,540157.810783833,540157.859099500
164,540157.821741417,540157.827411084,540157.827443708,540157.875766083
165,540157.837904042,540157.844204792,540157.844243917,540157.892432583
166,540157.855200625,540157.860853000,540157.860890583,540157.909099125
167,540157.871475583,540157.877454917,540157.877487875,540157.925765667
168,540157.888016250,540157.893656125,540157.893699958,540157.942432167
