frame,presented_time_s
0,0.000000000
1,538101.067555875
2,0.000000000
3,538102.617551167
4,538102.650884375
5,538102.667551000
6,538102.684217584
7,538102.700884125
8,538102.717550792
9,538102.734217458
10,538102.750883958
11,538102.767550583
12,538102.784217209
13,538102.800883833
14,538102.817550417
15,538102.834217000
16,538102.850883625
17,538102.867550208
18,538102.884216833
19,538102.900883458
20,538102.917550083
21,538102.934216625
22,538102.950883292
23,538102.967549875
24,538102.984216458
25,538103.000883125
26,538103.017549667
27,538103.034216292
28,538103.050882875
29,538103.067549542
30,538103.084216083
31,538103.100882667
32,538103.117549292
33,538103.134215917
34,538103.150882542
35,538103.167549209
36,538103.184215708
37,538103.200882292
38,538103.217548958
39,538103.234215542
40,538103.250882125
41,538103.267548792
42,538103.284215375
43,538103.300881958
44,538103.317548583
45,538103.334215167
46,538103.350881792
47,538103.367548375
48,538103.384214958
49,538103.400881583
50,538103.417548208
51,538103.434214833
52,538103.450881375
53,538103.467548000
54,538103.484214583
55,538103.500881250
56,538103.517547834
57,538103.534214333
58,538103.550881042
59,538103.567547583
60,538103.584214208
61,538103.600880833
62,538103.617547417
63,538103.634214000
64,538103.650880625
65,538103.667547208
66,538103.684213833
67,538103.700880417
68,538103.717547084
69,538103.734213667
70,538103.750880250
71,538103.767546875
72,538103.784213458
73,538103.800880083
74,538103.817546625
75,538103.834213250
76,538103.850879917
77,538103.867546542
78,538103.884213042
79,538103.900879667
80,538103.917546250
81,538103.934212833
82,538103.950879458
83,538103.967546083
84,538103.984212667
85,538104.000879208
86,538104.017545875
87,538104.034212458
88,538104.050879083
89,538104.067545667
90,538104.084212292
91,538104.100878917
92,538104.117545417
93,538104.134212042
94,538104.150878667
95,538104.167545334
96,538104.184211917
97,538104.200878542
98,538104.217545083
99,538104.234211708
100,538104.250878250
101,538104.267544917
102,538104.284211500
103,538104.300878125
104,538104.317544708
105,538104.334211292
106,538104.350877875
107,538104.367544458
108,538104.384211042
109,538104.400877667
110,538104.417544292
111,538104.434210875
112,538104.450877417
113,538104.467544083
114,538104.484210625
115,538104.500877250
116,538104.517543917
117,538104.534210458
118,538104.550877083
119,538104.567543625
120,538104.584210292
121,538104.600876875
122,538104.617543500
123,538104.634210083
124,538104.650876667
125,538104.667543292
126,538104.684209917
127,538104.700876542
128,538104.717543125
129,538104.734209750
130,538104.750876250
131,538104.767542875
132,538104.784209417
133,538104.800876083
134,538104.817542667
135,538104.834209292
136,538104.850875875
137,538104.867542417
138,538104.884209083
139,538104.900875667
140,538104.917542292
141,538104.934208917
142,538104.950875458
143,538104.967542167
144,538104.984208708
145,538105.000875250
146,538105.017541917
147,538105.034208458
148,538105.050875125
149,538105.067541667
150,538105.084208250
151,538105.100874958
152,538105.117541458
153,538105.134208084
154,538105.150874708
155,538105.167541292
156,538105.184207958
157,538105.200874500
158,538105.217541125
159,538105.234207709
160,538105.250874292
161,538105.267540875
162,538105.284207500
163,538105.300874125
164,538105.317540708
165,538105.334207250
166,538105.350873917
167,538105.367540500
168,538105.384207125
169,538105.400873750
170,538105.417540333
171,538105.434206917
172,538105.450873542
173,538105.467540167
174,538105.484206750
175,538105.500873333
176,538105.517539958
177,538105.534206542
178,538105.550873167
179,538105.567539750
180,538105.584206334
181,538105.600873042
182,538105.617539500
183,538105.634206042
184,538105.650872708
185,538105.667539292
186,538105.684205917
187,538105.700872500
188,538105.717539125
189,538105.734205708
190,538105.750872333
191,538105.767538917
192,538105.784205500
193,538105.800872083
194,538105.817538708
195,538105.834205250
196,538105.850871875
197,538105.867538542
198,538105.884205125
199,538105.900871708
200,538105.917538333
201,538105.934204958
202,538105.950871500
203,538105.967538167
204,538105.984204750
205,538106.000871292
206,538106.017537875
207,538106.034204500
208,538106.050871042
209,538106.067537750
210,538106.084204292
211,538106.100870917
212,538106.117537500
213,538106.134204125
214,538106.150870708
215,538106.167537292
216,538106.184203917
217,538106.200870500
218,538106.217537083
219,538106.234203667
220,538106.250870292
221,538106.267536917
222,538106.284203500
223,538106.300870084
224,538106.317536667
225,538106.334203250
226,538106.350869875
227,538106.367536458
228,538106.384203042
229,538106.400869667
230,538106.417536250
231,538106.434202917
232,538106.450869458
233,538106.467536083
234,538106.484202625
235,538106.500869167
236,538106.517535792
237,538106.534202375
238,538106.550869000
239,538106.567535625
240,538106.584202208
241,538106.600868792
242,538106.617535375
243,538106.634201958
244,538106.650868583
245,538106.667535167
246,538106.684201833
247,538106.700868375
248,538106.717534959
249,538106.734201542
250,538106.750868125
251,538106.767534792
252,538106.784201375
253,538106.800867917
254,538106.817534584
255,538106.834201167
256,538106.850867792
257,538106.867534333
258,538106.884200834
259,538106.900867458
260,538106.917534083
261,538106.934200750
262,538106.950867292
263,538106.967533917
264,538106.984200500
265,538107.000867083
266,538107.017533708
267,538107.034200292
268,538107.050866875
269,538107.067533458
270,538107.084200042
271,538107.100866667
272,538107.117533250
273,538107.134199792
274,538107.150866458
275,538107.167533042
276,538107.184199667
277,538107.200866250
278,538107.217532875
279,538107.234199375
280,538107.250866000
281,538107.267532542
282,538107.284199167
283,538107.300865750
284,538107.317532375
285,538107.334198958
286,538107.350865542
287,538107.367532125
288,538107.384198667
289,538107.400865334
290,538107.417531917
291,538107.434198542
292,538107.450865125
293,538107.467531667
294,538107.484198292
295,538107.500864875
296,538107.517531500
297,538107.534198083
298,538107.550864667
299,538107.567531292
300,538107.584197792
301,538107.600864458
302,538107.617531042
303,538107.634197583
304,538107.650864250
305,538107.667530792
306,538107.684197417
307,538107.700864000
308,538107.717530542
309,538107.734197125
310,538107.750863708
311,538107.767530292
312,538107.784196958
313,538107.800863500
314,538107.817530125
315,538107.834196667
316,538107.850863250
317,538107.867529875
318,538107.884196459
319,538107.900863042
320,538107.917529625
321,538107.934196250
322,538107.950862792
323,538107.967529375
324,538107.984196000
325,538108.000862542
326,538108.017529167
327,538108.034195792
328,538108.050862334
329,538108.067528958
330,538108.084195542
331,538108.100862125
332,538108.117528750
333,538108.134195292
334,538108.150861875
335,538108.167528458
336,538108.184195042
337,538108.200861708
338,538108.217528292
339,538108.234194792
340,538108.250861375
341,538108.267528000
342,538108.284194625
343,538108.300861250
344,538108.317527792
345,538108.334194333
346,538108.350861000
347,538108.367527542
348,538108.384194167
349,538108.400860750
350,538108.417527333
351,538108.434193958
352,538108.450860500
353,538108.467527125
354,538108.484193708
355,538108.500860292
356,538108.517526917
357,538108.534193459
358,538108.550860000
359,538108.567526667
360,538108.584193250
361,538108.600859792
362,538108.617526417
363,538108.634192958
364,538108.650859542
365,538108.667526125
366,538108.684192750
367,538108.700859375
368,538108.717525958
369,538108.734192583
370,538108.750859083
371,538108.767525750
372,538108.784192333
373,538108.800858833
374,538108.817525500
375,538108.834192125
376,538108.850858667
377,538108.867525250
378,538108.884191875
379,538108.900858458
380,538108.917525042
381,538108.934191625
382,538108.950858250
383,538108.967524708
384,538108.984191417
385,538109.000857958
386,538109.017524583
387,538109.034191125
388,538109.050857708
389,538109.067524292
390,538109.084190917
391,538109.100857458
392,538109.117524083
393,538109.134190833
394,538109.150857333
395,538109.167523875
396,538109.184190500
397,538109.200857083
398,538109.217523625
399,538109.234190250
400,538109.250856792
401,538109.267523458
402,538109.284190000
403,538109.300856583
404,538109.317523208
405,538109.334189792
406,538109.350856375
407,538109.367523000
408,538109.384189500
409,538109.400856125
410,538109.417522708
411,538109.434189333
412,538109.450855875
413,538109.467522417
414,538109.484189042
415,538109.500855583
416,538109.517522292
417,538109.534188875
418,538109.550855417
419,538109.567522042
420,538109.584188583
421,538109.600855208
422,538109.617521792
423,538109.634188333
424,538109.650854958
425,538109.667521542
426,538109.684188125
427,538109.700854708
428,538109.717521250
429,538109.734187875
430,538109.750854500
431,538109.767521000
432,538109.784187667
433,538109.800854208
434,538109.817520750
435,538109.834187375
436,538109.850853958
437,538109.867520583
438,538109.884187083
439,538109.900853750
440,538109.917520292
441,538109.934186917
442,538109.950853500
443,538109.967520083
444,538109.984186708
445,538110.000853250
446,538110.017519833
447,538110.034186458
448,538110.050853000
449,538110.067519667
450,538110.084186208
451,538110.100852750
452,538110.117519333
453,538110.134185917
454,538110.150852542
455,538110.167519125
456,538110.184185708
457,538110.200852292
458,538110.217518792
459,538110.234185458
460,538110.250852000
461,538110.267518625
462,538110.284185167
463,538110.300851708
464,538110.317518333
465,538110.334184917
466,538110.350851500
467,538110.367518125
468,538110.384184708
469,538110.400851250
470,538110.417517833
471,538110.434184458
472,538110.450851042
473,538110.467517625
474,538110.484184292
475,538110.500850833
476,538110.517517375
477,538110.534183958
478,538110.550850458
479,538110.567517167
480,538110.584183667
481,538110.600850208
482,538110.617516875
483,538110.634183458
484,538110.650850083
485,538110.667516583
486,538110.684183209
487,538110.700849792
488,538110.717516333
489,538110.734183000
490,538110.750849542
491,538110.767516083
492,538110.784182708
493,538110.800849292
494,538110.817515917
495,538110.834182417
496,538110.850849000
497,538110.867515625
498,538110.884182125
499,538110.900848750
500,538110.917515334
501,538110.934181958
502,538110.950848500
503,538110.967515083
504,538110.984181667
505,538111.000848250
506,538111.017514792
507,538111.034181417
508,538111.050847958
509,538111.067514500
510,538111.084181125
511,538111.100847708
512,538111.117514292
513,538111.134180875
514,538111.150847417
515,538111.167514042
516,538111.184180625
517,538111.200847250
518,538111.217513792
519,538111.234180375
520,538111.250846917
521,538111.267513542
522,538111.284180083
523,538111.300846667
524,538111.317513292
525,538111.334179833
526,538111.350846375
527,538111.367513042
528,538111.384179542
529,538111.400846167
530,538111.417512750
531,538111.434179375
532,538111.450845958
533,538111.467512500
534,538111.484179083
535,538111.500845584
536,538111.517512250
537,538111.534178833
538,538111.550845375
539,538111.567512000
540,538111.584178500
541,538111.600845125
542,538111.617511708
543,538111.634178250
544,538111.650844875
545,538111.667511459
546,538111.684178083
547,538111.700844667
548,538111.717511208
549,538111.734177833
550,538111.750844375
551,538111.767511000
552,538111.784177542
553,538111.800844125
554,538111.817510708
555,538111.834177292
556,538111.850843875
557,538111.867510375
558,538111.884177000
559,538111.900843583
560,538111.917510208
561,538111.934176750
562,538111.950843333
563,538111.967509917
564,538111.984176500
565,538112.000843042
566,538112.017509667
567,538112.034176250
568,538112.050842833
569,538112.067509417
570,538112.084176000
571,538112.100842583
572,538112.117509167
573,538112.134175750
574,538112.150842333
575,538112.167508917
576,538112.184175500
577,538112.200842083
578,538112.217508667
579,538112.234175250
580,538112.250841833
581,538112.267508417
582,538112.284174958
583,538112.300841583
584,538112.317508125
585,538112.334174708
586,538112.350841292
587,538112.367507833
588,538112.384174417
589,538112.400841000
590,538112.417507667
591,538112.434174208
592,538112.450840792
593,538112.467507375
594,538112.484173958
595,538112.500840500
596,538112.517507125
597,538112.534173708
598,538112.550840250
599,538112.567506875
600,538112.584173500
601,538112.600839958
602,538112.617506667
603,538112.634173208
604,538112.650839750
605,538112.667506375
606,538112.684172958
607,538112.700839542
608,538112.717506083
609,538112.734172667
610,538112.750839167
611,538112.767505792
612,538112.784172417
613,538112.800838917
614,538112.817505542
615,538112.834172083
616,538112.850838708
617,538112.867505250
618,538112.884171833
619,538112.900838417
620,538112.917505083
621,538112.934171584
622,538112.950838208
623,538112.967504750
624,538112.984171375
625,538113.000837917
626,538113.017504500
627,538113.034171125
628,538113.050837750
629,538113.067504250
630,538113.084170792
631,538113.100837375
632,538113.117504000
633,538113.134170583
634,538113.150837125
635,538113.167503667
636,538113.184170333
637,538113.200836875
638,538113.217503458
639,538113.234170042
640,538113.250836625
641,538113.267503167
642,538113.284169750
643,538113.300836375
644,538113.317502917
645,538113.334169458
646,538113.350836083
647,538113.367502667
648,538113.384169208
649,538113.400835792
650,538113.417502417
651,538113.434169000
652,538113.450835500
653,538113.467502125
654,538113.484168708
655,538113.500835292
656,538113.517501875
657,538113.534168458
658,538113.550835000
659,538113.567501542
660,538113.584168167
661,538113.600834708
662,538113.617501292
663,538113.634167875
664,538113.650834458
665,538113.667501083
666,538113.684167583
667,538113.700834208
668,538113.717500792
669,538113.734167333
670,538113.750833959
671,538113.767500500
672,538113.784167125
673,538113.800833625
674,538113.817500250
675,538113.834166833
676,538113.850833417
677,538113.867500000
678,538113.884166583
679,538113.900833083
680,538113.917499750
681,538113.934166333
682,538113.950832792
683,538113.967499417
684,538113.984166084
685,538114.000832583
686,538114.017499167
687,538114.034165750
688,538114.050832334
689,538114.067498875
690,538114.084165500
691,538114.100832042
692,538114.117498625
693,538114.134165208
694,538114.150831750
695,538114.167498375
696,538114.184164875
697,538114.200831500
698,538114.217498083
699,538114.234164667
700,538114.250831250
701,538114.267497833
702,538114.284164417
703,538114.300831000
704,538114.317497500
705,538114.334164208
706,538114.350830708
707,538114.367497250
708,538114.384163792
709,538114.400830375
710,538114.417496958
711,538114.434163542
712,538114.450830125
713,538114.467496667
714,538114.484163250
715,538114.500829917
716,538114.517496458
717,538114.534163042
718,538114.550829583
719,538114.567496167
720,538114.584162750
721,538114.600829333
722,538114.617495917
723,538114.634162458
724,538114.650829042
725,538114.667495667
726,538114.684162167
727,538114.700828792
728,538114.717495417
729,538114.734162000
730,538114.750828542
731,538114.767495084
732,538114.784161708
733,538114.800828250
734,538114.817494833
735,538114.834161375
736,538114.850827958
737,538114.867494542
738,538114.884161083
739,538114.900827667
740,538114.917494292
741,538114.934160833
742,538114.950827375
743,538114.967494000
744,538114.984160583
745,538115.000827167
746,538115.017493792
747,538115.034160333
748,538115.050826875
749,538115.067493458
750,538115.084160083
751,538115.100826625
752,538115.117493208
753,538115.134159750
754,538115.150826333
755,538115.167492958
756,538115.184159500
757,538115.200826042
758,538115.217492708
759,538115.234159167
760,538115.250825833
761,538115.267492333
762,538115.284158958
763,538115.300825542
764,538115.317492083
765,538115.334158750
766,538115.350825250
767,538115.367491833
768,538115.384158417
769,538115.400824958
770,538115.417491584
771,538115.434158167
772,538115.450824708
773,538115.467491292
774,538115.484157875
775,538115.500824458
776,538115.517491042
777,538115.534157667
778,538115.550824167
779,538115.567490792
780,538115.584157375
781,538115.600823917
782,538115.617490583
783,538115.634157000
784,538115.650823667
785,538115.667490208
786,538115.684156750
787,538115.700823333
788,538115.717489917
789,538115.734156500
790,538115.750823042
791,538115.767489625
792,538115.784156250
793,538115.800822833
794,538115.817489375
795,538115.834156000
796,538115.850822583
797,538115.867489083
798,538115.884155708
799,538115.900822250
800,538115.917488833
801,538115.934155417
802,538115.950821958
803,538115.967488542
804,538115.984155125
805,538116.000821750
806,538116.017488292
807,538116.034154875
808,538116.050821458
809,538116.067487958
810,538116.084154625
811,538116.100821125
812,538116.117487708
813,538116.134154334
814,538116.150820917
815,538116.167487500
816,538116.184154000
817,538116.200820625
818,538116.217487208
819,538116.234153750
820,538116.250820333
821,538116.267486917
822,538116.284153542
823,538116.300820042
824,538116.317486667
825,538116.334153208
826,538116.350819875
827,538116.367486333
828,538116.384152958
829,538116.400819542
830,538116.417486125
831,538116.434152667
832,538116.450819250
833,538116.467485792
834,538116.484152375
835,538116.500818917
836,538116.517485542
837,538116.534152042
838,538116.550818708
839,538116.567485209
840,538116.584151792
841,538116.600818375
842,538116.617484958
843,538116.634151542
844,538116.650818042
845,538116.667484667
846,538116.684151250
847,538116.700817792
848,538116.717484417
849,538116.734151000
850,538116.750817542
851,538116.767484125
852,538116.784150708
853,538116.800817250
854,538116.817483833
855,538116.834150375
856,538116.850817000
857,538116.867483542
858,538116.884150167
859,538116.900816708
860,538116.917483208
861,538116.934149792
862,538116.950816417
863,538116.967482958
864,538116.984149542
865,538117.000816042
866,538117.017482625
867,538117.034149250
868,538117.050815833
869,538117.067482375
870,538117.084149000
871,538117.100815542
872,538117.117482125
873,538117.134148708
874,538117.150815250
875,538117.167481833
876,538117.184148417
877,538117.200814958
878,538117.217481542
879,538117.234148083
880,538117.250814625
881,538117.267481292
882,538117.284147792
883,538117.300814417
884,538117.317481000
885,538117.334147542
886,538117.350814083
887,538117.367480625
888,538117.384147250
889,538117.400813833
890,538117.417480375
891,538117.434146875
892,538117.450813500
893,538117.467480083
894,538117.484146667
895,538117.500813208
896,538117.517479833
897,538117.534146375
898,538117.550812917
899,538117.567479500
900,538117.584146125
901,538117.600812667
902,538117.617479250
903,538117.634145792
904,538117.650812375
905,538117.667478917
906,538117.684145500
907,538117.700812000
908,538117.717478625
909,538117.734145167
910,538117.750811750
911,538117.767478292
912,538117.784144875
913,538117.800811500
914,538117.817478000
915,538117.834144625
916,538117.850811167
917,538117.867477750
918,538117.884144333
919,538117.900810875
920,538117.917477458
921,538117.934143958
922,538117.950810583
923,538117.967477125
924,538117.984143708
925,538118.000810292
926,538118.017476875
927,538118.034143417
928,538118.050810042
929,538118.067476542
930,538118.084143208
931,538118.100809750
932,538118.117476292
933,538118.134142833
934,538118.150809417
935,538118.167475917
936,538118.184142542
937,538118.200809083
938,538118.217475667
939,538118.234142208
940,538118.250808792
941,538118.267475333
942,538118.284141958
943,538118.300808584
944,538118.317475125
945,538118.334141667
946,538118.350808250
947,538118.367474750
948,538118.384141417
949,538118.400807958
950,538118.417474542
951,538118.434141125
952,538118.450807667
953,538118.467474292
954,538118.484140833
955,538118.500807375
956,538118.517473958
957,538118.534140542
958,538118.550807042
959,538118.567473625
960,538118.584140167
961,538118.600806792
962,538118.617473375
963,538118.634139917
964,538118.650806458
965,538118.667473000
966,538118.684139667
967,538118.700806250
968,538118.717472792
969,538118.734139292
970,538118.750805875
971,538118.767472500
972,538118.784139083
973,538118.800805625
974,538118.817472208
975,538118.834138792
976,538118.850805333
977,538118.867471917
978,538118.884138542
979,538118.900805083
980,538118.917471583
981,538118.934138208
982,538118.950804750
983,538118.967471333
984,538118.984137958
985,538119.000804417
986,538119.017471000
987,538119.034137583
988,538119.050804167
989,538119.067470708
990,538119.084137375
991,538119.100803917
992,538119.117470417
993,538119.134137042
994,538119.150803667
995,538119.167470125
996,538119.184136792
997,538119.200803292
998,538119.217469875
999,538119.234136458
1000,538119.250803083
1001,538119.267469625
1002,538119.284136167
1003,538119.300802792
1004,538119.317469333
1005,538119.334135833
1006,538119.350802500
1007,538119.367469000
1008,538119.384135583
1009,538119.400802167
1010,538119.417468708
1011,538119.434135333
1012,538119.450801833
1013,538119.467468417
1014,538119.484135000
1015,538119.500801542
1016,538119.517468167
1017,538119.534134708
1018,538119.550801292
1019,538119.567467875
1020,538119.584134417
1021,538119.600801042
1022,538119.617467584
1023,538119.634134167
1024,538119.650800750
1025,538119.667467292
1026,538119.684133834
1027,538119.700800375
1028,538119.717467000
1029,538119.734133500
1030,538119.750800125
1031,538119.767466708
1032,538119.784133292
1033,538119.800799833
1034,538119.817466417
1035,538119.834132917
1036,538119.850799542
1037,538119.867466083
1038,538119.884132625
1039,538119.900799167
1040,538119.917465750
1041,538119.934132375
1042,538119.950798917
1043,538119.967465500
1044,538119.984132000
1045,538120.000798625
1046,538120.017465167
1047,538120.034131750
1048,538120.050798375
1049,538120.067464875
1050,538120.084131458
1051,538120.100798000
1052,538120.117464583
1053,538120.134131167
1054,538120.150797750
1055,538120.167464250
1056,538120.184130875
1057,538120.200797417
1058,538120.217463958
1059,538120.234130583
1060,538120.250797042
1061,538120.267463625
1062,538120.284130208
1063,538120.300796750
1064,538120.317463375
1065,538120.334129917
1066,538120.350796500
1067,538120.367463000
1068,538120.384129583
1069,538120.400796208
1070,538120.417462750
1071,538120.434129333
1072,538120.450795833
1073,538120.467462417
1074,538120.484128958
1075,538120.500795542
1076,538120.517462125
1077,538120.534128708
1078,538120.550795292
1079,538120.567461833
1080,538120.584128333
1081,538120.600794958
1082,538120.617461500
1083,538120.634128083
1084,538120.650794583
1085,538120.667461167
1086,538120.684127750
1087,538120.700794250
1088,538120.717460792
1089,538120.734127458
1090,538120.750793958
1091,538120.767460583
1092,538120.784127125
1093,538120.800793667
1094,538120.817460250
1095,538120.834126792
1096,538120.850793375
1097,538120.867459917
1098,538120.884126542
1099,538120.900793042
1100,538120.917459583
1101,538120.934126208
1102,538120.950792708
1103,538120.967459250
1104,538120.984125875
1105,538121.000792417
1106,538121.017459000
1107,538121.034125542
1108,538121.050792125
1109,538121.067458584
1110,538121.084125167
1111,538121.100791792
1112,538121.117458333
1113,538121.134124875
1114,538121.150791500
1115,538121.167458000
1116,538121.184124583
1117,538121.200791125
1118,538121.217457667
1119,538121.234124292
1120,538121.250790792
1121,538121.267457333
1122,538121.284123917
1123,538121.300790458
1124,538121.317457083
1125,538121.334123583
1126,538121.350790208
1127,538121.367456750
1128,538121.384123292
1129,538121.400789833
1130,538121.417456417
1131,538121.434123042
1132,538121.450789500
1133,538121.467456042
1134,538121.484122708
1135,538121.500789167
1136,538121.517455708
1137,538121.534122292
1138,538121.550788875
1139,538121.567455458
1140,538121.584121958
1141,538121.600788583
1142,538121.617455083
1143,538121.634121667
1144,538121.650788250
1145,538121.667454750
1146,538121.684121333
1147,538121.700787917
1148,538121.717454500
1149,538121.734121083
1150,538121.750787625
1151,538121.767454167
1152,538121.784120708
1153,538121.800787333
1154,538121.817453833
1155,538121.834120458
1156,538121.850787042
1157,538121.867453625
1158,538121.884120125
1159,538121.900786667
1160,538121.917453208
1161,538121.934119792
1162,538121.950786333
1163,538121.967452875
1164,538121.984119458
1165,538122.000786000
1166,538122.017452583
