frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,540382.173973417,540382.175405583,540382.175473208,0.000000000
1,540382.701287792,540382.701822667,540382.702049208,540382.723243542
2,540384.073641333,540384.073692667,540384.073953458,0.000000000
3,540384.168387708,540384.168429208,540384.168690125,540384.189890792
4,540384.196954667,540384.197010333,540384.197113500,540384.223223667
5,540384.211336750,540384.211388333,540384.211438250,540384.239890042
6,540384.224373792,540384.225187583,540384.225252500,540384.256556583
7,540384.239914375,540384.239958833,540384.240014708,540384.273223000
8,540384.252881875,540384.252936875,540384.252996542,540384.289889417
9,540384.264543833,540384.264582542,540384.264626542,540384.306555875
10,540384.276408000,540384.276444583,540384.276489917,540384.323222292
11,540384.287916542,540384.291542292,540384.291595958,540384.339888750
12,540384.302761792,540384.308186334,540384.308233583,540384.356555167
13,540384.319159083,540384.324843417,540384.324894333,540384.373221542
14,540384.335900625,540384.341484083,540384.341527042,540384.389888083
15,540384.352401375,540384.358159167,540384.358209708,540384.406554458
16,540384.368920958,540384.374785333,540384.374828834,540384.423220917
17,540384.385692542,540384.391184125,540384.391251292,540384.439887292
18,540384.403206500,540384.408217917,540384.408267917,540384.456553833
19,540384.418857042,540384.424583958,540384.424636167,540384.473220250
20,540384.435786583,540384.441599000,540384.441657458,540384.489886625
21,540384.452722208,540384.458213958,540384.458260250,540384.506553125
22,540384.469374334,540384.474780000,540384.474823375,540384.523219542
23,540384.485832000,540384.491557125,540384.491605792,540384.539885917
24,540384.502621792,540384.508097375,540384.508140458,540384.556552375
25,540384.519253792,540384.524880792,540384.524932583,540384.573218833
26,540384.535685917,540384.541159500,540384.541199583,540384.589885333
27,540384.553415625,540384.557872417,540384.557921083,540384.606551750
28,540384.569104458,540384.574417333,540384.574465500,540384.623218250
29,540384.585203208,540384.591315417,540384.591369167,540384.639884625
30,540384.602421708,540384.608305625,540384.608354500,540384.656551083
31,540384.619147708,540384.624861875,540384.624906625,540384.673217500
32,540384.635554875,540384.641600834,540384.641651583,540384.689883917
33,540384.652864250,540384.658361625,540384.658402417,540384.706550375
34,540384.669658000,540384.674864292,540384.674914417,540384.723216833
35,540384.685972167,540384.691444000,540384.691502667,540384.739883250
36,540384.703084167,540384.708268792,540384.708319500,540384.756549708
37,540384.718914750,540384.724852250,540384.724895833,540384.773216125
38,540384.735785083,540384.741535125,540384.741585458,540384.789882500
39,540384.752201375,540384.757844500,540384.757895042,540384.806548958
40,540384.768699167,540384.774806000,540384.774855292,540384.823215375
41,540384.785391875,540384.791532125,540384.791587208,540384.839881833
42,540384.802591417,540384.808138625,540384.808182000,540384.856548250
43,540384.819615875,540384.824924292,540384.824976458,540384.873214750
44,540384.837000750,540384.841583584,540384.841632625,540384.889881167
45,540384.853153083,540384.858161208,540384.858210917,540384.906547542
46,540384.869570625,540384.874854208,540384.874903708,540384.923214042
47,540384.886030167,540384.891707083,540384.891763042,540384.939880458
48,540384.902984208,540384.908234834,540384.908279917,540384.956546917
49,540384.918729208,540384.924839208,540384.924884750,540384.973213333
50,540384.935421667,540384.941488333,540384.941537083,540384.989879792
51,540384.952453333,540384.958160000,540384.958207000,540385.006546250
52,540384.968949792,540384.975045500,540384.975092750,540385.023212667
53,540384.985892958,540384.991688292,540384.991738417,540385.039879042
54,540385.003764917,540385.008262583,540385.008320833,540385.056545542
