frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.450958,0.022000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3238.271416,2981.210504,2251.310585,0.000000,871.811298,838.402127,33.401463,0.153709,0.042083,147.853918,124688,1463293890,101982020,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,16.881750,16.964158,6.237116,0.000000,10.588291,9.061374,1.526792,0.108667,0.041917,1.413583,630,8107103,89939,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.897167,1640.164532,1199.867122,0.000000,509.700469,508.855627,0.844425,0.059542,0.037083,71.343457,62923,802614631,50976788,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.949042,17.836842,8.378975,0.000000,10.137917,8.960582,1.177127,0.037791,0.015292,0.588207,648,8107240,177574,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.817000,19.703575,19.688964,0.000000,0.000418,0.000000,0.000000,0.038750,0.025708,0.580709,661,8102616,182134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,12.755750,12.643257,7.662532,0.000000,4.935959,4.567597,0.367903,0.037458,0.012167,0.291208,659,8107056,166487,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.880208,18.773249,18.762508,0.000000,0.000333,0.000000,0.000000,0.032750,0.014875,0.582167,661,8102611,185404,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,15.355917,15.245708,8.188456,0.000000,7.825668,6.550916,1.274626,0.035958,0.011417,0.446208,650,8107201,169784,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,19.351583,19.237583,19.232359,0.000000,0.000417,0.000000,0.000000,0.035125,0.015458,0.670166,668,8102462,175965,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,13.772750,13.662881,7.575786,0.000000,6.060833,5.056180,1.004278,0.036208,0.012709,0.292375,649,8107227,173792,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,19.240208,19.127332,19.105300,0.000000,0.000751,0.000000,0.000000,0.040417,0.018250,0.596291,669,8102641,179135,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,14.342500,14.232037,7.579454,0.000000,6.593085,5.411389,1.181361,0.032917,0.010667,0.582000,659,8107037,165960,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,19.361375,19.247791,19.238452,0.000000,0.000376,0.000000,0.000000,0.032334,0.016000,0.291042,659,8102635,183692,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,12.752125,12.642096,8.022240,0.000000,5.095125,5.094721,0.000112,0.034000,0.013584,0.928875,652,8107224,165872,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,19.651875,19.538161,19.293543,0.000000,0.000625,0.000000,0.000000,0.041542,0.011750,0.610458,671,8102426,178718,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,13.669917,13.561962,8.782340,0.000000,5.981458,5.970415,0.010918,0.037208,0.024375,0.737459,648,8107254,169236,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.891708,18.780236,18.709031,0.000000,0.000458,0.000000,0.000000,0.045917,0.013542,0.292750,660,8102639,175686,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,15.714667,15.602192,7.987820,0.000000,8.180667,6.994041,1.186501,0.032250,0.011375,0.616541,661,8107068,163338,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,18.749583,18.638296,18.631291,0.000000,0.000333,0.000000,0.000000,0.037750,0.038875,0.645916,661,8102621,179283,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,14.593292,14.488086,7.532541,0.000000,7.499335,6.219124,1.280043,0.026042,0.008708,0.349250,658,8107309,159664,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,17.760667,17.651816,17.632699,0.000000,0.000251,0.000000,0.000000,0.027416,0.007792,0.740583,658,8102372,175116,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,15.539708,15.433221,7.415707,0.000000,8.514084,7.292957,1.221002,0.031625,0.010500,0.401792,649,8107237,165320,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,17.959417,17.849223,17.833091,0.000000,0.000542,0.000000,0.000000,0.029125,0.009375,0.749458,665,8102444,166745,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,15.396083,15.288991,7.404508,0.000000,8.386168,7.162583,1.223459,0.030333,0.013042,0.302042,654,8107236,164003,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,17.899542,17.790707,17.775533,0.000000,0.000251,0.000000,0.000000,0.029583,0.018083,0.781667,662,8102672,175102,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,14.285000,14.178106,8.186807,0.000000,7.349668,7.349082,0.000502,0.026708,0.076583,0.308583,656,8107002,153422,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,17.822250,17.713070,17.701667,0.000000,0.000416,0.000000,0.000000,0.026833,0.009625,0.932917,661,8102596,173161,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,15.460458,15.354546,7.598651,0.000000,8.689707,8.684706,0.004918,0.021958,0.175459,0.447416,651,8107290,162578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,17.899458,17.787611,17.750672,0.000000,0.000250,0.000000,0.000000,0.030709,0.008625,0.753125,667,8102451,162460,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,16.661875,16.554186,6.776113,0.000000,9.771375,8.545999,1.225209,0.017209,0.005416,0.892374,653,8107251,160085,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,17.385042,17.278254,17.280033,0.000000,0.000207,0.000000,0.000000,0.018583,0.007125,0.446167,658,8102608,170834,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,15.212375,15.106051,6.963367,0.000000,8.395458,8.030874,0.364459,0.023167,0.008500,0.900167,658,8107047,149509,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,17.569333,17.459503,17.460873,0.000000,0.000209,0.000000,0.000000,0.029959,0.007708,0.466958,662,8102578,168884,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,16.597834,16.490006,6.714041,0.000000,9.775666,8.543790,1.231710,0.020166,0.016334,0.995125,650,8107278,157471,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,17.799083,17.689534,17.684157,0.000000,0.000376,0.000000,0.000000,0.032625,0.010292,1.307500,665,8102477,158200,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,15.566583,15.462116,7.242713,0.000000,8.690750,7.474041,1.216584,0.023500,0.015000,0.670333,651,8107201,156153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,18.371542,18.259830,18.230264,0.000000,0.000584,0.000000,0.000000,0.036083,0.013542,0.923416,660,8102623,166465,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,15.251542,15.144744,8.114643,0.000000,7.916791,6.668915,1.247751,0.030333,0.009208,0.737333,654,8107049,145595,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,18.064000,17.950728,17.897355,0.000000,0.000333,0.000000,0.000000,0.027083,0.010375,1.152167,662,8102603,164597,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,13.863958,13.757281,7.754498,0.000000,7.026875,7.018665,0.008126,0.027458,0.133667,0.654084,650,8107253,153542,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,18.347125,18.235515,18.142545,0.000000,0.000250,0.000000,0.000000,0.037625,0.010167,0.809125,667,8102486,157417,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
