frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633083,0.030042,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3210.174958,2982.531598,2258.397161,0.000000,817.601135,787.743704,29.850595,0.125833,0.040584,157.329290,124704,1463293690,101988532,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,17.092625,16.993552,5.914824,0.000000,10.928584,9.319041,1.609376,0.048625,0.033792,0.984333,629,8107281,89934,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.808208,1640.090285,1185.977334,0.000000,509.592156,508.776527,0.814754,0.055917,0.074500,84.684996,62910,802614614,50980568,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.763500,17.649661,7.577329,0.000000,10.080833,8.751040,1.329626,0.031000,0.008875,0.963792,649,8107223,177577,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,20.032709,19.916543,19.747919,0.000000,0.000292,0.000000,0.000000,0.038666,0.018875,0.976000,663,8102640,182118,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,12.739583,12.631737,7.417819,0.000000,5.230290,4.997055,0.233028,0.036208,0.009750,0.359375,655,8107057,166485,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.599958,18.490728,18.491111,0.000000,0.000375,0.000000,0.000000,0.030209,0.013000,0.795583,661,8102613,187836,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.344750,14.237681,7.970137,0.000000,7.349583,7.349123,0.000377,0.021292,0.034875,0.446041,652,8107193,169788,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.898459,18.785512,18.781976,0.000000,0.000291,0.000000,0.000000,0.019833,0.010583,0.891875,668,8102426,177176,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,15.664708,15.554726,7.593923,0.000000,8.537292,7.341291,1.195876,0.019333,0.007042,0.446500,651,8107259,173155,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,19.040958,18.926551,18.923022,0.000000,0.000333,0.000000,0.000000,0.021209,0.010000,0.739458,669,8102636,179133,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,14.465250,14.355039,7.523918,0.000000,7.243375,5.977166,1.266084,0.020084,0.006708,0.906583,659,8107045,166668,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,19.004292,18.889968,18.891541,0.000000,0.000290,0.000000,0.000000,0.029333,0.013459,0.445292,659,8102635,183556,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.336333,14.226612,7.337530,0.000000,7.153999,5.869124,1.284709,0.026875,0.008959,0.651417,652,8107244,165873,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,19.247584,19.128243,19.142636,0.000000,0.000251,0.000000,0.000000,0.029125,0.010541,0.297833,669,8102403,180023,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,14.116875,14.005534,7.275417,0.000000,6.796832,5.571332,1.225376,0.026333,0.020875,0.856291,649,8107261,169241,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,19.061875,18.941830,18.929921,0.000000,0.000292,0.000000,0.000000,0.036666,0.008417,1.254999,660,8102638,175667,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,14.286916,14.173833,7.379664,0.000000,7.075875,5.846000,1.229751,0.021875,0.008042,0.609000,661,8107084,163319,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,19.032167,18.920124,18.919546,0.000000,0.000332,0.000000,0.000000,0.026583,0.012709,1.303582,661,8102598,179608,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,14.347958,14.232120,7.334257,0.000000,7.168167,5.897916,1.270168,0.024084,0.014916,0.655625,657,8107327,159645,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,17.996959,17.889362,17.871047,0.000000,0.000209,0.000000,0.000000,0.026250,0.014500,1.307374,657,8102319,175114,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,15.189166,15.088149,7.591092,0.000000,8.185417,6.963124,1.222168,0.021334,0.015500,0.647833,647,8107271,165320,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,18.039042,17.924706,17.919341,0.000000,0.000209,0.000000,0.000000,0.024792,0.015125,1.260333,665,8102458,167213,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,15.338250,15.238161,7.508490,0.000000,8.328502,7.102375,1.225876,0.022667,0.006333,0.593500,653,8107215,164003,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,17.914375,17.803111,17.806298,0.000000,0.000291,0.000000,0.000000,0.031542,0.009083,0.917542,661,8102650,175103,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,15.612125,15.500289,7.575197,0.000000,8.519042,7.257374,1.261542,0.031167,0.008625,0.290792,657,8107067,153426,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,18.020042,17.906403,17.892456,0.000000,0.000375,0.000000,0.000000,0.024708,0.006917,0.950334,659,8102565,173167,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,15.202958,15.101854,7.486943,0.000000,8.293583,7.070873,1.222501,0.022833,0.009209,1.275208,651,8107264,161390,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
