frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.672041,0.019792,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3235.693791,2980.704900,2280.478371,0.000000,831.346085,803.255340,28.082829,0.090584,0.516333,83.023250,124702,1463293760,101982082,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,18.488542,18.393667,7.034042,0.000000,11.781459,10.583417,1.197917,0.062375,0.023542,0.618167,631,8107226,89926,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.483750,1639.988620,1202.445228,0.000000,502.668951,492.093160,10.574958,0.066875,0.020417,45.267037,62923,802614636,50974949,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.675667,17.559893,7.786055,0.000000,9.789543,8.558291,1.231084,0.023291,0.008625,0.590709,648,8107246,177574,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.284250,19.165145,19.175087,0.000000,0.000209,0.000000,0.000000,0.019708,0.010542,0.578500,661,8102629,182134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.374333,14.262262,7.484876,0.000000,6.927834,5.688291,1.239334,0.031875,0.010458,0.296917,659,8107027,166483,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,19.699208,19.579192,19.528361,0.000000,0.000292,0.000000,0.000000,0.042500,0.019459,0.596583,661,8102606,185401,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,13.322375,13.199755,7.527137,0.000000,5.607959,4.755388,0.852112,0.052625,0.014834,0.290083,649,8107239,169803,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,20.473292,20.349912,20.105325,0.000000,0.000917,0.000000,0.000000,0.042917,0.021666,0.587666,669,8102401,174546,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
