frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
3028,48123,18.187292,17.817007,11.908981,0.006634,0.000291,0.000000,0.000000,3.958000,0.019958,0.600208,2074,3426816,120274,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3029,48124,15.840208,15.460755,11.584275,0.007875,0.000251,0.000000,0.000000,4.966167,0.015708,0.292250,2108,3376482,117934,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3030,48125,17.944625,17.565770,12.687223,0.007952,0.000541,0.000000,0.000000,3.739458,0.014250,0.931750,2023,3392258,116090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3031,48126,16.820875,16.444808,12.851284,0.006951,0.000958,0.000000,0.000000,3.394667,0.015125,0.624084,2098,3418863,119765,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3032,48127,15.939208,15.559390,12.309242,0.008205,0.000667,0.000000,0.000000,4.035834,0.014166,0.940875,2095,3361171,117394,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3033,48128,16.871792,16.506962,12.590463,0.007245,0.000584,0.000000,0.000000,3.772500,0.017542,0.368500,2032,3410536,117264,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3034,48129,15.668958,15.304210,11.616401,0.007495,0.000335,0.000000,0.000000,4.821667,0.014375,0.585208,2049,3374450,117494,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3035,48130,16.557750,16.183144,11.426888,0.007036,0.000334,0.000000,0.000000,4.809584,0.013458,0.291708,2131,3390620,118508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3036,48131,16.611334,16.240977,11.528106,0.006663,0.000208,0.000000,0.000000,4.896041,0.013500,0.593500,2062,3414417,117492,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3037,48132,16.604416,16.208592,11.416145,0.007879,0.000333,0.000000,0.000000,5.103625,0.030250,1.252000,2061,3362454,117302,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3038,48133,16.523375,16.150381,11.125950,0.006877,0.000209,0.000000,0.000000,5.003042,0.011750,0.329375,2056,3351972,115283,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
3039,48134,17.086417,16.711521,11.780597,0.006662,0.000250,0.000000,0.000000,5.162958,0.010875,0.601500,2086,3463602,120626,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
3040,48135,16.945542,16.563037,11.462020,0.007083,0.000293,0.000000,0.000000,4.557875,0.033750,0.637667,2052,3363110,117392,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3041,48136,16.085333,15.718601,11.250986,0.006663,0.000374,0.000000,0.000000,5.100208,0.013459,0.943333,2062,3357518,115095,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3042,48137,17.056375,16.675810,11.659195,0.007383,0.000249,0.000000,0.000000,4.502667,0.041250,0.637417,2069,3417712,119046,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3043,48138,16.035875,15.672244,11.254873,0.007085,0.000167,0.000000,0.000000,5.374583,0.013959,0.786209,2062,3398899,118631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3044,48139,17.114583,16.742991,11.440749,0.006714,0.000333,0.000000,0.000000,4.784292,0.021000,0.777374,2036,3376159,115443,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3045,48140,16.598625,16.224949,11.514336,0.006545,0.000292,0.000000,0.000000,5.224750,0.028292,0.300500,2084,3418768,119707,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3046,48141,16.558084,16.201715,11.068058,0.007539,0.000166,0.000000,0.000000,5.086375,0.011041,1.290084,2013,3351292,116398,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3047,48142,16.763625,16.399268,11.383677,0.006541,0.000208,0.000000,0.000000,4.812250,0.021208,0.646500,2038,3386765,116366,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
3048,48143,16.476375,16.107253,11.380690,0.007083,0.000291,0.000000,0.000000,5.498875,0.023041,0.928292,2079,3405623,118817,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3049,48144,17.117208,16.741271,11.337461,0.007539,0.000292,0.000000,0.000000,4.790000,0.034625,0.301125,2059,3368108,117533,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
