frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.729959,0.043791,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3222.152375,2978.204594,2221.220396,0.462028,871.762048,857.447816,14.303519,0.296417,0.516000,123.789803,124737,1320187155,101372350,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.612125,18.512249,3.408041,0.012165,14.773291,14.240957,0.532126,0.054625,0.011834,0.651291,632,971304,61038,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.445625,1640.065411,1215.346987,0.009211,536.410076,535.944581,0.464828,0.062584,0.018208,68.583083,62911,796593152,50950689,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.237209,17.131718,4.937213,0.008121,12.404124,11.861957,0.542043,0.054083,0.013958,0.616916,651,2139719,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.670416,18.556792,18.411513,0.001832,0.000501,0.000000,0.000000,0.041375,0.016959,0.629083,662,6993967,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.204792,14.100574,5.546497,0.010576,9.778792,9.778249,0.000377,0.039333,0.011000,0.309333,657,2030306,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.851208,18.736214,18.584198,0.001496,0.000541,0.000000,0.000000,0.051584,0.021208,0.677083,661,7270222,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.988292,14.865854,5.134737,0.008714,10.644083,10.067248,0.576710,0.069125,0.018667,0.314709,652,2014232,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.319542,18.220494,18.226843,0.001543,0.000500,0.000000,0.000000,0.040125,0.017791,0.786166,669,7331863,170409,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.522583,14.413003,5.393484,0.009293,10.099876,10.097956,0.001836,0.038250,0.036625,0.310500,652,2054968,148578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,18.209583,18.099003,18.041294,0.001041,0.000624,0.000000,0.000000,0.040334,0.018791,0.842791,666,7432603,176916,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,15.747875,15.641487,4.474627,0.009628,11.541625,10.950873,0.590585,0.032292,0.008417,0.346625,659,2008501,140014,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.145959,18.039173,18.037043,0.001046,0.000417,0.000000,0.000000,0.034791,0.046084,0.605625,660,7569884,180474,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,15.134958,15.028959,4.396838,0.008836,11.087083,10.500373,0.586585,0.038792,0.011958,0.795376,651,1966436,140949,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,19.424208,19.299888,19.161340,0.001206,0.000708,0.000000,0.000000,0.056584,0.013958,0.327500,669,7551713,173814,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,14.089584,13.968205,5.241334,0.009789,9.439957,8.902289,0.537419,0.062916,0.017125,0.762791,649,2007228,144475,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.763541,18.647436,18.615681,0.001501,0.000792,0.000000,0.000000,0.072709,0.015500,0.310625,660,7479497,172046,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,14.608917,14.500491,5.380402,0.008955,9.848709,9.303624,0.544793,0.123208,0.030584,0.672375,659,2001984,139437,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,19.153542,19.034945,18.868986,0.001250,0.000749,0.000000,0.000000,0.058708,0.016167,0.589000,661,7532473,177016,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,13.699583,13.590886,5.689580,0.009343,8.996668,8.996124,0.000252,0.043708,0.015709,0.319041,659,1919566,134571,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,19.809333,19.693373,19.567765,0.001254,0.001083,0.000000,0.000000,0.041875,0.013834,0.695000,658,7503556,171761,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,13.944667,13.798915,5.163577,0.010780,9.275959,8.845081,0.430669,0.068542,0.016833,0.294125,649,1959991,140375,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,19.556292,19.474230,19.109132,0.001002,0.000582,0.000000,0.000000,0.063041,0.014625,0.584125,666,7437403,163449,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,14.043208,13.865670,5.451921,0.009207,9.097500,8.562290,0.534918,0.087292,0.020958,0.298375,654,1994938,143376,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,20.625458,20.543954,20.086404,0.001037,0.000917,0.000000,0.000000,0.085875,0.016417,0.600584,661,7472336,171353,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,12.167292,12.036375,5.620109,0.010044,7.063959,7.062013,0.000112,0.089958,0.025875,0.316083,658,1871124,128147,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,20.159125,20.037314,19.645358,0.001498,0.000584,0.000000,0.000000,0.054542,0.014916,0.622874,661,7463412,170055,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,13.063875,12.953964,5.031879,0.009591,8.628457,8.590206,0.038043,0.046792,0.014041,0.336375,651,1912542,136263,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,18.964042,18.845459,18.751188,0.001080,0.000833,0.000000,0.000000,0.073291,0.015875,0.621124,667,7387658,158795,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,14.501166,14.390048,5.662670,0.009418,9.801000,9.783291,0.017335,0.090334,0.033791,0.648917,654,1896229,134896,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,19.323584,19.201330,19.047069,0.001504,0.000833,0.000000,0.000000,0.085666,0.017334,0.401667,658,7433340,167823,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,14.611541,14.509690,4.853889,0.010087,9.985792,9.424706,0.560752,0.042709,0.027666,0.624749,658,1824053,124040,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,17.809959,17.701707,17.689167,0.001004,0.000249,0.000000,0.000000,0.044875,0.013958,0.368625,663,7409027,164987,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,14.793625,14.687247,5.295295,0.008953,10.917624,10.917164,0.000377,0.041000,0.077541,0.629834,651,1864628,132171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,19.284791,19.121013,18.833735,0.001461,0.000710,0.000000,0.000000,0.054500,0.013625,0.624209,665,7336360,154452,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,14.749000,14.672907,4.602821,0.034833,10.454417,9.906749,0.547501,0.058250,0.014250,0.290042,652,1848681,130794,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,18.516667,18.401177,18.332974,0.001247,0.000583,0.000000,0.000000,0.043292,0.018666,0.937250,661,7377181,162437,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,14.829500,14.721297,4.313168,0.009546,10.774375,10.195915,0.578335,0.042583,0.016375,0.290792,657,1779175,120201,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,17.994667,17.883369,17.853879,0.001250,0.000333,0.000000,0.000000,0.051458,0.014292,0.660209,662,7361135,160523,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,14.743250,14.638737,4.334003,0.009335,10.823541,10.822664,0.000794,0.055583,0.065375,0.350583,651,1816103,128040,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,17.926750,17.814295,17.791792,0.001586,0.000417,0.000000,0.000000,0.047875,0.010750,0.600584,667,7305250,153332,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,339,15.398583,15.291414,4.450995,0.009642,11.687167,11.684331,0.002752,0.034208,0.109375,0.357500,653,1800875,126684,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,340,17.974292,17.861799,17.819936,0.001087,0.000292,0.000000,0.000000,0.030166,0.008250,0.669584,660,7388451,165386,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,341,16.177291,16.046038,3.956857,0.008870,12.200959,11.640082,0.560585,0.045042,0.040667,0.359750,660,1728181,115830,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,342,18.018334,17.906939,17.844508,0.001460,0.000418,0.000000,0.000000,0.043541,0.011750,0.764875,663,7317537,158068,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,343,14.586000,14.479061,4.473300,0.008627,10.760167,10.758248,0.001836,0.042625,0.073666,0.679541,650,1790232,125771,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
