frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.781958,0.023750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3220.209292,2980.588324,2223.005729,0.425634,882.832753,861.779650,21.044939,0.315958,0.515583,114.941287,124748,1320207366,101380863,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,17.828458,17.743110,2.867919,0.011034,14.685416,13.775499,0.909584,0.075667,0.036125,0.921208,632,971295,61040,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.223375,1640.876070,1208.083717,0.009626,543.504086,542.836167,0.667335,0.058792,0.040416,65.829416,62918,796578151,50951402,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.795750,16.685913,4.700263,0.009301,12.004541,11.883206,0.121044,0.053167,0.014541,0.591792,652,2139725,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.373500,18.260556,18.172974,0.001996,0.001209,0.000000,0.000000,0.051208,0.035709,0.588625,662,6993975,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,15.673000,15.562077,4.943174,0.009160,11.017584,10.435166,0.582293,0.055833,0.015250,0.359375,657,2030310,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.537667,18.430567,18.337293,0.001418,0.001792,0.000000,0.000000,0.040083,0.019625,0.688084,660,7270240,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.569458,14.464367,4.575495,0.009378,10.432667,9.843540,0.588960,0.041042,0.013083,0.291542,652,2014250,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.054167,17.943024,17.911720,0.001249,0.000627,0.000000,0.000000,0.039791,0.016959,0.601416,669,7331883,170527,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,15.255000,15.149202,4.467652,0.008712,11.104666,10.549123,0.555377,0.031416,0.009584,0.293292,650,2055050,148580,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,17.934708,17.824139,17.799313,0.001040,0.000292,0.000000,0.000000,0.038250,0.016917,0.582708,667,7432591,176916,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,15.580083,15.474959,4.463298,0.008836,11.323833,10.740165,0.583418,0.039167,0.010333,0.293250,659,2008477,140014,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.280500,18.170081,18.127503,0.001460,0.000376,0.000000,0.000000,0.043625,0.016500,0.580333,659,7569802,180420,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.373875,14.268957,4.737555,0.008043,10.374335,10.373623,0.000587,0.037250,0.139292,0.659292,651,1966406,140949,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,18.200167,18.084998,18.067338,0.001123,0.000541,0.000000,0.000000,0.042583,0.016875,0.300875,670,7551701,173814,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,15.776292,15.666617,4.363689,0.009830,11.612084,11.054623,0.557293,0.029708,0.012250,0.769918,649,2007228,144475,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,17.922375,17.813245,17.782161,0.001333,0.000374,0.000000,0.000000,0.032083,0.010792,0.352833,661,7479485,172046,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,15.296625,15.195455,4.340538,0.009163,11.254667,10.774624,0.479918,0.032083,0.012792,0.581250,659,2001972,139437,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,17.996250,17.886582,17.878264,0.001377,0.000542,0.000000,0.000000,0.038541,0.012292,0.288209,662,7532467,177016,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,15.012333,14.906788,4.607253,0.009125,11.037584,11.014831,0.022669,0.034042,0.030250,0.764917,659,1919554,134571,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,17.620417,17.511690,17.477568,0.001043,0.000417,0.000000,0.000000,0.032500,0.009208,0.647875,658,7503538,171761,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,15.701250,15.591752,4.798201,0.009164,11.754249,11.748872,0.005294,0.032083,0.111792,0.351958,649,1959973,140375,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,17.916333,17.804758,17.764638,0.001166,0.000459,0.000000,0.000000,0.032083,0.018584,0.596251,666,7437409,163448,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,15.374042,15.269200,4.236080,0.008712,11.572791,11.572415,0.000293,0.028500,0.155375,0.352375,654,1994962,143377,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,18.352000,18.241841,18.151912,0.001332,0.000375,0.000000,0.000000,0.041875,0.038583,0.655167,661,7472324,171353,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,15.117541,15.013421,4.522992,0.008960,11.213958,11.210498,0.003335,0.029667,0.056042,0.291334,658,1871120,128147,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,17.907000,17.795665,17.736999,0.001541,0.000500,0.000000,0.000000,0.032834,0.008500,0.682708,661,7463401,170055,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,15.927000,15.821108,3.999363,0.008703,12.040959,11.488165,0.552627,0.032625,0.022667,0.314625,651,1912518,136263,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,19.376542,19.243521,19.013893,0.001495,0.000500,0.000000,0.000000,0.057250,0.015958,0.601292,667,7387625,158874,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
