frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
57144,15.830833,15.528170,15.556393,0.000000,0.000418,0.000000,0.000000,0.060125,0.043042,0.800417,1661,8107258,113841,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57145,16.240542,15.936403,15.945431,0.000000,0.000542,0.000000,0.000000,0.062958,0.020125,0.644125,1629,8107070,118826,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57146,16.013458,15.711250,15.729762,0.000000,0.000540,0.000000,0.000000,0.050292,0.013167,0.825041,1615,8107266,116318,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57147,16.028334,15.724206,15.737392,0.000000,0.000458,0.000000,0.000000,0.050791,0.014917,0.646292,1663,8107031,114733,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57148,15.441750,15.147535,15.172325,0.000000,0.000542,0.000000,0.000000,0.043958,0.017083,0.817458,1605,8107223,118140,0,2,0,2,0,0,0,0,0,0,5583,0,3510,2073,0
57149,20.913291,20.512858,20.526315,0.000000,0.000541,0.000000,0.000000,0.056292,0.017667,0.934041,2175,8107260,157809,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57150,19.496959,19.093478,19.125853,0.000000,0.000416,0.000000,0.000000,0.060875,0.015291,1.066666,2174,8107038,141862,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57151,19.428125,19.035931,19.052027,0.000000,0.000584,0.000000,0.000000,0.049416,0.021125,0.575000,2137,8107312,143793,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57152,19.562916,19.155498,19.177437,0.000000,0.000333,0.000000,0.000000,0.050167,0.015750,1.253042,2222,8107381,143327,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57153,19.223625,18.827067,18.850648,0.000000,0.000416,0.000000,0.000000,0.058042,0.012917,1.257083,2170,8106910,141582,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
