frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
21623,16.267208,16.141215,7.412270,0.000000,9.209666,9.209237,0.000346,0.047167,0.021958,1.007125,623,7967816,33008,0,32,0,32,0,0,0,0,0,0,5407,0,3510,1897,0
21624,16.482417,16.360833,16.338861,0.000000,0.000250,0.000000,0.000000,0.033667,0.012791,0.351125,643,8195720,41065,0,272,0,272,0,0,0,0,0,0,19806,14400,3510,1896,0
21625,16.847917,16.723979,6.726247,0.000000,10.101917,10.031405,0.070429,0.026833,0.034917,1.069208,633,7998440,33080,0,32,0,32,0,0,0,0,0,0,7208,0,4680,2528,0
21626,16.535750,16.440301,16.437129,0.000000,0.000167,0.000000,0.000000,0.034666,0.024125,0.653833,645,8211252,41169,0,272,0,272,0,0,0,0,0,0,19806,14400,3510,1896,0
21627,16.772625,16.624347,6.337961,0.000000,10.363208,10.248279,0.114846,0.029875,0.020291,0.938708,625,7998740,33039,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
21628,15.552958,15.887528,15.862710,0.000000,0.094208,0.093932,0.000110,0.026833,0.439500,0.983834,709,8998642,44240,0,272,0,272,0,0,0,0,0,0,21608,14400,4680,2528,0
21629,17.768500,17.248755,6.745789,0.000000,11.305999,11.191362,0.114554,0.038292,0.009916,0.664166,575,7229074,30271,0,32,0,32,0,0,0,0,0,0,6430,0,3510,2920,0
21630,15.448583,15.871924,15.818415,0.000000,0.154415,0.154056,0.000152,0.038042,0.569292,0.963876,717,8949583,44271,0,272,0,272,0,0,0,0,0,0,22632,14400,4680,3552,0
21631,17.996042,17.352550,5.982756,0.000000,11.347293,11.099530,0.247721,0.035333,0.008292,0.303750,569,7241852,30197,0,32,0,32,0,0,0,0,0,0,6619,0,3510,3109,0
21632,15.407375,15.803053,15.776916,0.000000,0.018833,0.004640,0.014027,0.036500,0.523542,0.955709,715,9153352,44858,0,272,0,272,0,0,0,0,0,0,19806,14400,3510,1896,0
21633,17.810000,17.184047,5.712575,0.000000,11.483791,11.215779,0.267971,0.021667,0.006500,0.608625,555,7056575,29368,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
21634,15.622125,15.962315,15.910390,0.000000,0.285125,0.283877,0.001165,0.027833,0.469584,0.771041,712,9029512,44385,0,272,0,272,0,0,0,0,0,0,21608,14400,4680,2528,0
21635,17.772667,17.212215,6.316010,0.000000,11.438291,11.344195,0.094055,0.029750,0.018166,1.305583,561,7180170,29858,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
21636,15.532375,15.952963,15.886601,0.000000,0.173625,0.173431,0.000069,0.028333,0.553833,0.475292,710,8998896,44273,0,272,0,272,0,0,0,0,0,0,21608,14400,4680,2528,0
21637,17.973791,17.347040,5.855375,0.000000,11.486834,11.218279,0.268471,0.024167,0.018500,1.136999,567,7226299,29990,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
21638,15.451209,15.818678,15.802870,0.000000,0.000209,0.000000,0.000000,0.034000,0.491500,0.660750,710,9076199,44511,0,272,0,272,0,0,0,0,0,0,19806,14400,3510,1896,0
21639,17.845666,17.225469,5.852468,0.000000,11.380458,11.135029,0.245387,0.027000,0.007167,0.935166,560,7118374,29698,0,32,0,32,0,0,0,0,0,0,6602,0,3510,3092,0
21640,15.480500,15.899647,15.888762,0.000000,0.000208,0.000000,0.000000,0.027125,0.519750,0.569083,725,9126290,44853,0,272,0,272,0,0,0,0,0,0,22795,14400,4680,3715,0
21641,17.861292,17.242571,5.863499,0.000000,11.386583,11.135987,0.250388,0.031458,0.009459,0.799459,558,7083240,29588,0,32,0,32,0,0,0,0,0,0,6569,0,3510,3059,0
21642,15.552500,15.928570,15.923925,0.000000,0.000167,0.000000,0.000000,0.031667,0.490500,0.446917,706,8859873,43950,0,272,0,272,0,0,0,0,0,0,23765,14400,4680,4685,0
21643,17.811458,17.228447,5.860417,0.000000,11.382166,11.131071,0.251012,0.024750,0.024375,0.733750,581,7365343,30650,0,32,0,32,0,0,0,0,0,0,6540,0,3510,3030,0
21644,15.456792,15.829043,15.815923,0.000000,0.097374,0.097098,0.000110,0.029208,0.558667,1.055500,713,9091322,44722,0,272,0,272,0,0,0,0,0,0,22651,14400,4536,3715,0
21645,17.909958,17.307369,5.808953,0.000000,11.512417,11.217779,0.294555,0.025459,0.006250,0.671542,561,7103092,29644,0,32,0,32,0,0,0,0,0,0,5073,0,2484,2589,0
21646,15.490292,15.924202,15.879868,0.000000,0.069333,0.057723,0.011527,0.032375,0.549750,1.142333,727,9168419,45044,0,272,0,272,0,0,0,0,0,0,22752,14400,4680,3672,0
21647,17.848875,17.200992,6.546417,0.000000,11.353875,11.153987,0.199805,0.034583,0.014625,0.658541,557,7041244,29422,0,32,0,32,0,0,0,0,0,0,6595,0,3510,3085,0
21648,15.536292,15.925748,15.892957,0.000000,0.217666,0.217389,0.000152,0.028625,0.519916,0.955083,710,8906029,44144,0,272,0,272,0,0,0,0,0,0,24051,14400,4680,4971,0
21649,17.973333,17.371537,6.510323,0.000000,11.074168,10.900280,0.173804,0.045917,0.021250,0.664583,574,7303627,30399,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
21650,15.835583,15.834667,15.740337,0.000000,0.000417,0.000000,0.000000,0.040750,0.116125,0.765709,664,8411816,42075,0,272,0,272,0,0,0,0,0,0,20937,14400,3510,3027,0
21651,17.409959,17.174581,6.132318,0.000000,11.038959,10.862446,0.176471,0.031958,0.017000,1.183458,623,7798147,32244,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
