frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
12864,17.217708,16.999038,15.458662,0.000000,2.133501,2.132986,0.000097,0.070167,0.022666,0.913166,640,8091599,120926,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12865,16.793125,16.810664,15.315904,0.000000,2.097209,2.091277,0.005764,0.066833,0.029417,0.934250,632,8122699,120918,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12866,16.734333,16.646226,14.650828,0.000000,2.513418,2.512945,0.000139,0.074334,0.045250,0.643167,634,8122711,117859,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12867,16.534667,16.419605,14.366617,0.000000,2.574083,2.573861,0.000056,0.091583,0.032334,0.693667,639,8091594,112625,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12868,16.796542,16.602297,15.068876,0.000000,2.158124,2.157777,0.000139,0.063000,0.015375,0.477709,633,8107341,118338,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12869,16.644583,16.533841,14.597126,0.000000,2.440875,2.417320,0.023305,0.077167,0.033208,0.931625,629,8107192,115810,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12870,16.614958,16.489276,14.748759,0.000000,2.596958,2.596611,0.000181,0.071250,0.019042,0.498959,640,8107068,113771,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12871,17.011542,16.896956,15.206713,0.000000,2.322209,2.321694,0.000098,0.072833,0.037042,0.965250,632,8107276,117692,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12872,16.604583,16.497187,15.304039,0.000000,1.558167,1.557778,0.000180,0.079709,0.014958,0.628375,638,8122714,115397,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12873,17.006125,16.849091,16.240538,0.000000,0.000375,0.000000,0.000000,0.075875,0.018792,0.643792,639,8091679,114689,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12874,16.522709,16.353997,16.018158,0.000000,1.200458,1.199944,0.000098,0.073708,0.018292,0.964542,632,8107232,118063,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12875,16.428125,16.293653,15.329963,0.000000,1.669291,1.668778,0.000222,0.061875,0.037000,0.292375,630,8107227,116214,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12876,16.710083,16.589279,14.820954,0.000000,2.362083,2.361611,0.000097,0.069333,0.039667,0.602708,637,8107109,116141,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12877,16.832792,16.694590,16.328085,0.000000,0.996667,0.996111,0.000139,0.067500,0.015333,0.289083,653,8106880,116424,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
12878,16.501916,16.385736,15.123296,0.000000,1.967124,1.966653,0.000139,0.062375,0.027667,0.940333,630,8107354,117706,0,2,0,2,0,0,0,0,0,0,6665,0,4257,2408,0
12879,16.580917,16.452589,14.367218,0.000000,2.628209,2.621528,0.006431,0.066250,0.014083,0.644250,640,8107046,113651,0,2,0,2,0,0,0,0,0,0,5949,0,3933,2016,0
12880,16.757875,16.639813,14.439910,0.000000,2.740708,2.740277,0.000223,0.060875,0.035917,1.034959,633,8107242,115346,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12881,16.593667,16.500673,14.322749,0.000000,2.658750,2.658195,0.000305,0.065458,0.023750,1.255834,641,8122539,113253,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12882,16.889791,16.741533,14.891705,0.000000,2.401292,2.400819,0.000222,0.077750,0.023167,0.300083,631,8091871,116628,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12883,16.528792,16.467724,14.261331,0.000000,2.701708,2.701027,0.000056,0.076083,0.046834,0.958208,633,8122604,114905,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12884,16.578500,16.381290,14.109179,0.000000,2.748875,2.748611,0.000097,0.068708,0.019125,0.504916,635,8091591,112829,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12885,16.804000,16.686879,14.202250,0.000000,2.906042,2.904861,0.000681,0.079333,0.015209,0.652292,632,8107311,115284,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12886,16.703083,16.589858,14.964071,0.000000,2.219833,2.211277,0.008264,0.064250,0.017834,0.615584,632,8107292,118069,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12887,16.669875,16.542863,14.419799,0.000000,2.614667,2.614278,0.000139,0.075417,0.033750,0.924793,640,8107000,113676,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12888,16.706000,16.618793,14.381003,0.000000,2.730916,2.723236,0.007556,0.073625,0.013542,0.922375,632,8114640,116740,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12889,16.676167,16.505036,15.367704,0.000000,1.854334,1.853652,0.000223,0.069333,0.020417,1.320084,632,8099951,115533,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12890,16.782125,16.682665,14.785116,0.000000,2.508708,2.508028,0.000180,0.083708,0.019292,0.943874,640,8107018,113724,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12891,16.889208,16.742433,15.242094,0.000000,2.463833,2.463194,0.000139,0.087000,0.018959,0.290500,630,8107332,115511,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12892,16.219625,16.062089,15.435050,0.000000,1.542292,1.541819,0.000181,0.062750,0.014875,0.908543,632,8107244,113290,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12893,16.612250,16.526377,15.397335,0.000000,1.917167,1.916820,0.000097,0.073084,0.016750,0.416208,638,8107031,110921,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12894,16.664750,16.481371,14.745120,0.000000,2.407458,2.407111,0.000139,0.047875,0.050167,0.932250,631,8107278,114974,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12895,16.776334,16.632349,14.791736,0.000000,2.502167,2.501861,0.000139,0.046833,0.044458,0.612375,632,8107256,112933,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12896,16.934833,16.838116,13.837734,0.000000,3.432709,3.432278,0.000139,0.087333,0.020625,0.987000,639,8107099,110841,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12897,16.527250,16.354029,15.025183,0.000000,2.096583,2.095944,0.000181,0.052583,0.012875,1.053208,631,8107247,112344,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12898,16.553750,16.437992,13.224963,0.000000,3.582125,3.581569,0.000223,0.043000,0.025417,0.447583,631,8107261,111666,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12899,16.607708,16.491573,13.110221,0.000000,3.732750,3.732361,0.000222,0.051750,0.016459,0.932374,640,8107038,108920,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12900,16.852625,16.727075,13.408305,0.000000,3.678375,3.678111,0.000056,0.053584,0.013375,0.449959,631,8107298,111453,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12901,16.812084,16.693957,13.464365,0.000000,3.605084,3.604861,0.000098,0.053041,0.029875,1.068792,633,8107301,109906,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
