frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.735292,0.029250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,45.020167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540500,0.325875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,39.588666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.395500,0.030209,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,36.607542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173125,0.033917,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,33.988708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232542,0.292583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,44.733792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165375,0.033625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,36.209667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166833,0.033708,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,41.377291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166000,0.038625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,38.887375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.394084,0.032166,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,35.070042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186458,0.034417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,43.305417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178625,0.037833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,36.489416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195000,0.040584,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,41.787209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.161416,0.036459,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,42.901458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359750,0.024958,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,34.097792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.199208,0.043458,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,33.503916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.194042,0.042583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
