frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.935625,0.020125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3220.702125,2966.733830,2390.569743,0.000000,713.276870,708.810701,4.454044,0.108458,0.023542,151.069540,124658,1463293695,101931118,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,11.450500,11.360170,5.960245,0.000000,5.314334,5.305639,0.008403,0.044333,0.041333,0.561583,630,8107294,89931,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.565208,1640.948228,1284.421779,0.000000,477.301320,476.713217,0.584852,0.062333,0.019667,81.770170,62931,802614649,50976349,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.628583,16.522795,8.262168,0.000000,9.219957,9.215623,0.004251,0.029792,0.085625,0.907584,650,8107206,177574,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.259125,18.143341,18.073646,0.000000,0.000333,0.000000,0.000000,0.039500,0.015375,0.740125,662,8102635,182132,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,15.503459,15.389678,8.390663,0.000000,7.738125,7.620791,0.117209,0.053208,0.013458,0.367000,658,8107060,170752,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,19.574916,19.447581,19.449761,0.000000,0.000417,0.000000,0.000000,0.089167,0.087542,0.663500,660,8102599,186586,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,13.629417,13.522539,7.868885,0.000000,5.553416,5.455221,0.097654,0.044042,0.013500,0.300917,652,8107211,169786,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,19.371875,19.245379,19.255203,0.000000,0.000791,0.000000,0.000000,0.046375,0.018958,0.831834,668,8102429,174566,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,13.986042,13.877330,8.282134,0.000000,6.181709,6.095124,0.086501,0.043500,0.013458,0.371416,650,8107251,173148,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,19.410750,19.282126,19.227076,0.000000,0.000500,0.000000,0.000000,0.052166,0.021875,0.600125,669,8102644,179134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,17.273916,17.158284,9.083565,0.000000,5.890458,5.889708,0.000417,0.077042,0.015292,0.742917,659,8107041,165959,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,24.234709,24.104123,20.844492,0.000000,0.000791,0.000000,0.000000,0.045833,0.017958,0.581292,659,8102639,183691,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,7.889708,7.778535,7.662630,0.000000,0.000793,0.000000,0.000000,0.055792,0.014083,0.292750,652,8107220,165871,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,19.091083,18.974636,18.906383,0.000000,0.000750,0.000000,0.000000,0.047750,0.013167,0.583126,669,8102451,178686,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,12.135500,12.028029,7.624667,0.000000,4.498917,4.485597,0.012445,0.040500,0.023792,0.289709,648,8107231,170067,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.811375,18.694181,18.642003,0.000000,0.000583,0.000000,0.000000,0.046584,0.012250,0.296125,659,8102651,175685,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,14.662709,14.553788,8.287150,0.000000,7.117999,7.021457,0.096376,0.031416,0.011375,0.752583,659,8107034,163336,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,18.954166,18.835527,18.799950,0.000000,0.000625,0.000000,0.000000,0.050834,0.013333,0.896333,661,8102659,179286,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,14.388042,14.281173,8.170306,0.000000,6.906834,6.782333,0.124334,0.030708,0.010542,0.471667,656,8107301,159644,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,18.349083,18.233947,18.231990,0.000000,0.000541,0.000000,0.000000,0.040459,0.011708,0.946750,658,8102338,175113,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,14.925375,14.820810,7.789726,0.000000,7.655541,7.556082,0.099251,0.032584,0.008625,0.303541,648,8107293,165321,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,17.959334,17.841046,17.818339,0.000000,0.000332,0.000000,0.000000,0.027000,0.007500,1.275958,664,8102685,171078,0,302,0,302,0,0,0,0,0,0,22644,14400,4536,3708,0
24,321,15.351541,15.249908,7.489085,0.000000,8.248917,8.147499,0.101293,0.026542,0.007792,0.391000,654,8106950,161869,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
25,322,17.844750,17.729077,17.727383,0.000000,0.000333,0.000000,0.000000,0.026917,0.020042,1.131750,662,8102685,175100,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,15.660084,15.558087,7.731136,0.000000,8.352709,8.224708,0.127834,0.042791,0.014709,0.309584,656,8106997,153424,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,17.915083,17.794973,17.806540,0.000000,0.000333,0.000000,0.000000,0.027000,0.010625,0.765084,659,8102613,173163,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,15.343625,15.239724,7.450625,0.000000,8.300000,8.195665,0.104210,0.024292,0.009541,0.589750,650,8107253,161389,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,17.820333,17.703587,17.703285,0.000000,0.000291,0.000000,0.000000,0.026875,0.016084,0.936417,667,8102464,162463,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,15.543792,15.441927,7.526262,0.000000,8.515540,8.387124,0.128250,0.030042,0.009750,1.283375,654,8107213,160066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,17.813833,17.696376,17.705842,0.000000,0.000249,0.000000,0.000000,0.027709,0.008125,0.633500,659,8102671,170733,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,15.717250,15.613451,7.454664,0.000000,8.634001,8.503332,0.130418,0.032375,0.012000,1.452542,658,8107046,149596,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,18.364125,18.244669,18.231996,0.000000,0.000335,0.000000,0.000000,0.036667,0.009042,0.653959,662,8102584,169677,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
