frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.172834,0.039541,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,753.229167,478.959672,183.566372,0.470309,240.978880,202.140936,38.828650,0.298083,0.018250,26.679834,27725,98296559,6485763,0,44,14,30,0,0,0,0,0,0,70742,512,42685,27460,85
2,48063,170.879708,134.762047,26.921573,0.007335,0.000625,0.000000,0.000000,0.349209,0.021333,9.836747,589,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3,48064,35.807584,35.425258,25.704807,0.006545,0.000333,0.000000,0.000000,0.111541,0.028625,2.158834,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4,48065,18.870250,18.476680,18.422441,0.010830,0.000499,0.000000,0.000000,0.095583,0.022708,0.923375,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48066,17.592916,17.199685,17.190054,0.006582,0.000625,0.000000,0.000000,0.117292,0.031208,0.668375,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
6,48067,17.865625,17.454805,16.854828,0.007838,0.000376,0.000000,0.000000,0.104334,0.047500,1.018958,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
7,48068,17.467500,17.057913,17.065357,0.008210,0.000668,0.000000,0.000000,0.109834,0.039541,0.984834,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
8,48069,17.294417,16.856745,16.790141,0.007243,0.000541,0.000000,0.000000,0.113667,0.018458,0.700375,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
9,48070,17.199917,16.801995,16.811474,0.007005,0.000459,0.000000,0.000000,0.108375,0.021791,1.068332,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48071,16.382875,15.989911,16.018424,0.007252,0.000415,0.000000,0.000000,0.087041,0.028042,0.634708,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,48072,15.995333,15.627442,15.652437,0.007498,0.000249,0.000000,0.000000,0.113625,0.017417,1.267708,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12,48073,16.147125,15.753870,15.793670,0.006828,0.000542,0.000000,0.000000,0.103208,0.013709,0.633292,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48074,16.528333,16.122567,16.148104,0.007920,0.000459,0.000000,0.000000,0.105709,0.014458,1.272626,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
14,48075,15.949125,15.571505,15.601059,0.006455,0.000457,0.000000,0.000000,0.089667,0.015000,0.634583,2050,3401655,117006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
15,48076,16.116709,15.726884,15.757290,0.008134,0.000541,0.000000,0.000000,0.090833,0.022833,1.271334,2052,3356776,117212,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,48077,15.850041,15.467997,15.511912,0.007590,0.000375,0.000000,0.000000,0.078667,0.013417,0.642625,2074,3363465,116705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,48078,16.418959,16.024584,16.053325,0.007163,0.000291,0.000000,0.000000,0.090833,0.018917,1.232459,2086,3459648,118966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
18,48079,16.224916,15.846267,15.872594,0.006701,0.000542,0.000000,0.000000,0.082667,0.019833,0.932333,2069,3384556,118111,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,48080,15.937250,15.554277,15.562053,0.006379,0.000291,0.000000,0.000000,0.079875,0.043667,0.609250,2092,3356472,116371,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
20,48081,16.306209,15.926950,15.928917,0.006795,0.000375,0.000000,0.000000,0.077958,0.022208,1.279208,2061,3422518,118120,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
21,48082,16.250500,15.861007,15.884801,0.007369,0.000375,0.000000,0.000000,0.099500,0.018625,0.628125,2072,3384548,118276,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22,48083,15.722125,15.336282,15.344210,0.006873,0.000542,0.000000,0.000000,0.079041,0.013209,1.279501,2069,3349228,114507,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
23,48084,16.297833,15.903959,15.933028,0.006586,0.000583,0.000000,0.000000,0.086083,0.014459,0.632792,2101,3427441,120171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24,48085,15.477542,15.108142,15.143844,0.006788,0.000626,0.000000,0.000000,0.084791,0.014125,0.910792,2033,3354553,116631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,48086,15.665666,15.296658,15.317829,0.007083,0.000500,0.000000,0.000000,0.082209,0.053791,0.448583,2039,3385168,115833,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
26,48087,17.088917,16.640957,16.662984,0.007830,0.000584,0.000000,0.000000,0.086167,0.012875,0.968833,2074,3409483,119135,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
27,48088,17.995458,17.595201,17.436242,0.007691,0.000374,0.000000,0.000000,0.115584,0.029958,0.305458,2047,3359456,117370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
28,48089,18.419542,18.018848,17.702315,0.007984,0.000500,0.000000,0.000000,0.102625,0.022708,0.603583,2012,3345621,114090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
29,48090,17.572583,17.174771,17.187388,0.007664,0.000457,0.000000,0.000000,0.108625,0.037792,1.289625,2093,3433465,120644,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,48091,17.830959,17.428830,17.253747,0.007211,0.003375,0.000000,0.000000,0.094416,0.043625,0.300625,2038,3347395,116849,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,48092,16.431166,16.037353,16.022030,0.009661,0.000375,0.000000,0.000000,0.124209,0.018958,1.266707,2011,3346515,114908,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
32,48093,16.907084,16.525316,16.505710,0.007831,0.000292,0.000000,0.000000,0.093333,0.049000,0.311875,2057,3400915,118554,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33,48094,17.235666,16.829587,16.747257,0.007416,0.000626,0.000000,0.000000,0.102625,0.023167,1.317124,2063,3379517,118254,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
34,48095,16.225042,15.844355,15.692039,0.007214,0.000292,0.000000,0.000000,0.089833,0.015917,0.581458,2019,3345053,114704,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
35,48096,16.792125,16.396084,16.438135,0.006245,0.000334,0.000000,0.000000,0.112667,0.016500,0.612666,2096,3408438,119450,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
36,48097,16.571875,16.171460,16.168693,0.007290,0.000501,0.000000,0.000000,0.108917,0.019208,0.972709,2018,3344467,116391,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,48098,16.786083,16.393908,16.368433,0.007952,0.000375,0.000000,0.000000,0.100167,0.021042,0.605458,2048,3398885,117009,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38,48099,16.896667,16.504629,16.513781,0.007627,0.000459,0.000000,0.000000,0.100917,0.040666,1.030959,2075,3396210,118807,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
39,48100,16.495125,16.097474,16.082112,0.006744,0.000373,0.000000,0.000000,0.108542,0.029958,0.792833,2074,3370346,117631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
40,48101,16.454875,16.063665,16.051474,0.007214,0.000500,0.000000,0.000000,0.107417,0.027375,1.306625,2011,3351053,114388,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
41,48102,16.835250,16.450964,16.459722,0.008550,0.000416,0.000000,0.000000,0.084750,0.036625,0.963500,2079,3430789,120508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
