frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,542413.038586833,542413.039585500,542413.039694458,0.000000000
1,542413.535602000,542413.536217000,542413.536597625,542413.555351292
2,542414.288654792,542414.288693875,542414.288955333,542414.322019125
3,542414.459536292,542414.459577000,542414.459882792,542414.488685958
4,542414.495343750,542414.495384209,542414.495452417,542414.522019375
5,542414.514212042,542414.514257208,542414.514306542,542414.538686042
6,542414.531811750,542414.531858042,542414.531921250,542414.555352667
7,542414.549672042,542414.549718125,542414.549774042,542414.572019375
8,542414.567142417,542414.567189417,542414.567248667,542414.588686125
9,542414.584436250,542414.584482458,542414.584545458,542414.605352708
10,542414.601632875,542414.601678375,542414.601739875,542414.622019458
11,542414.618015083,542414.618055458,542414.618101167,542414.638686167
12,542414.634010417,542414.634065333,542414.634123375,542414.655352833
13,542414.650157959,542414.650198000,542414.650259958,542414.672019458
14,542414.666686750,542414.666736208,542414.666790750,542414.688686167
15,542414.682635167,542414.682675333,542414.682724125,542414.705352833
16,542414.698752250,542414.698797667,542414.698841667,542414.722019583
17,542414.714601625,542414.714637625,542414.714679458,542414.738686250
18,542414.731020708,542414.731067875,542414.731110750,542414.755352917
19,542414.747249209,542414.747282167,542414.747327542,542414.772019625
20,542414.763182833,542414.763220000,542414.763261833,542414.788686333
21,542414.779489083,542414.779524458,542414.779566167,542414.805352959
22,542414.795743167,542414.795788583,542414.795838208,542414.822019667
23,542414.811461917,542414.811494917,542414.811539792,542414.838686250
24,542414.827759542,542414.827796292,542414.827844792,542414.855352958
25,542414.843238417,542414.843274333,542414.843321083,542414.872019625
26,542414.858903625,542414.858937833,542414.858984208,542414.888686333
27,542414.875992167,542414.876031000,542414.876077000,542414.905353042
28,542414.893988125,542414.894034542,542414.894102042,542414.922019750
29,542414.912407417,542414.912455875,542414.912508458,542414.938686417
30,542414.929979417,542414.930027708,542414.930087083,542414.955353042
31,542414.947810417,542414.947852500,542414.947903667,542414.972019750
32,542414.964242167,542414.964287792,542414.964364958,542414.988686375
33,542414.981148625,542414.981196917,542414.981240833,542415.005353083
34,542414.998388250,542414.998432958,542414.998485958,542415.022019750
35,542415.014609958,542415.014648083,542415.014698167,542415.038686417
36,542415.031404458,542415.031463583,542415.031513042,542415.055353167
37,542415.047974000,542415.048016167,542415.048081333,542415.072019833
38,542415.064760375,542415.064803958,542415.064858708,542415.088686500
39,542415.081656167,542415.081708750,542415.081756042,542415.105353208
40,542415.098151917,542415.098203917,542415.098258750,542415.122019833
41,542415.114606750,542415.114645667,542415.114712750,542415.138686583
42,542415.131441333,542415.131477708,542415.131525083,542415.155353208
43,542415.148408333,542415.148449458,542415.148493417,542415.172019917
44,542415.165245125,542415.165282292,542415.165328792,542415.188686583
