frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
0,542797.343027625,542797.344029250,542797.344099042,0.000000000
1,542798.785045667,542798.785896667,542798.786455458,0.000000000
2,542798.829610875,542798.829665542,542798.830385250,542798.853869125
3,542798.864872208,542798.864955458,542798.865082167,542798.887202458
4,542798.900530292,542798.900571750,542798.900751833,542798.920535792
5,542798.943854083,542798.943925000,542798.944276625,542798.970535792
6,542798.980620542,542798.980688833,542798.980801458,542799.003869083
7,542799.022028917,542799.022107750,542799.022222250,542799.053869042
8,542799.062161125,542799.062206167,542799.062378542,542799.087202333
9,542799.100523333,542799.100577375,542799.100651625,542799.120535625
10,542799.143743125,542799.143825792,542799.143982208,542799.170535667
11,542799.182051750,542799.182111042,542799.182225208,542799.203868958
12,542799.220528792,542799.220600333,542799.220932375,542799.253868958
13,542799.256938875,542799.256994333,542799.257110250,542799.287202250
14,542799.299934708,542799.300011875,542799.300129667,542799.320535583
15,542799.340718458,542799.340797958,542799.340923083,542799.370535542
16,542799.375423250,542799.375497000,542799.375614333,542799.403868833
17,542799.412533208,542799.412575792,542799.412640875,542799.437202083
18,542799.455716042,542799.455779458,542799.455893209,542799.487202042
19,542799.495506458,542799.495586125,542799.495698125,542799.520535375
20,542799.538834458,542799.538910458,542799.539227083,542799.570535250
21,542799.580953417,542799.581035000,542799.581154625,542799.603868583
22,542799.622310250,542799.622352834,542799.622419250,542799.653868500
23,542799.660122417,542799.660209208,542799.660334375,542799.687201833
24,542799.698219833,542799.698300042,542799.698433083,542799.720535125
25,542799.732861667,542799.732909750,542799.733089958,542799.753868417
26,542799.771931917,542799.771972458,542799.772041917,542799.803868292
27,542799.813607375,542799.813685750,542799.813806667,542799.837201625
28,542799.848335458,542799.848421875,542799.848557292,542799.870534833
29,542799.890883500,542799.890948417,542799.891066917,542799.920534792
30,542799.932891625,542799.932966042,542799.933093667,542799.953868083
31,542799.976182708,542799.976255417,542799.976373792,542800.003868000
32,542800.012200208,542800.012239167,542800.012298708,542800.037201208
33,542800.055385167,542800.055431583,542800.055496292,542800.087201083
34,542800.091924083,542800.091994417,542800.092126917,542800.120534375
35,542800.125773500,542800.125841542,542800.125955750,542800.153867625
36,542800.159360833,542800.159398208,542800.159466042,542800.187200917
37,542800.197187833,542800.197231625,542800.197326292,542800.220534167
38,542800.240386125,542800.240432750,542800.240501708,542800.270534000
39,542800.280926167,542800.281001375,542800.281144833,542800.303867250
40,542800.321773792,542800.321849708,542800.321967458,542800.353867167
41,542800.363711542,542800.363793167,542800.363911125,542800.387200375
42,542800.408307792,542800.408347250,542800.408396667,542800.437200250
43,542800.447726292,542800.447777583,542800.447858333,542800.470533542
44,542800.487234375,542800.487306458,542800.487420792,542800.520533417
45,542800.524927500,542800.524969125,542800.525046833,542800.553866584
46,542800.566516042,542800.566587875,542800.566704750,542800.587199917
47,542800.604980625,542800.605027125,542800.605107375,542800.637199750
48,542800.646966708,542800.647046709,542800.647170625,542800.670533000
49,542800.682958333,542800.683037958,542800.683161500,542800.703866125
50,542800.726306958,542800.726358542,542800.726426833,542800.753866000
51,542800.764297833,542800.764342250,542800.764411208,542800.787199167
52,542800.806671542,542800.806737958,542800.806889208,542800.837199042
53,542800.847377417,542800.847425042,542800.847493667,542800.870532250
54,542800.890596292,542800.890641125,542800.890706750,542800.920532125
55,542800.926947417,542800.927021042,542800.927137417,542800.953865375
56,542800.968448917,542800.968488292,542800.968555208,542800.987198458
57,542801.006737750,542801.006792417,542801.006860208,542801.037198333
58,542801.047154000,542801.047228917,542801.047370667,542801.070531584
59,542801.082763750,542801.082808917,542801.082878875,542801.103864750
60,542801.124460292,542801.124508042,542801.124578875,542801.153864542
61,542801.162709000,542801.162802542,542801.162934000,542801.187197750
62,542801.199907167,542801.199957875,542801.200031375,542801.220531000
63,542801.236453208,542801.236496083,542801.236560708,542801.270530708
64,542801.277677500,542801.277724917,542801.277799250,542801.303863917
65,542801.320883375,542801.320947625,542801.321064958,542801.353863750
66,542801.364181917,542801.364249083,542801.364369250,542801.387196958
67,542801.398804083,542801.398879583,542801.399016125,542801.420530167
68,542801.433623042,542801.433674458,542801.433744542,542801.453863333
69,542801.474000083,542801.474045625,542801.474110792,542801.503863083
70,542801.514252750,542801.514331250,542801.514403083,542801.537196250
71,542801.556501083,542801.556547667,542801.556614292,542801.587196042
