frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.781666,0.022834,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3245.822375,2982.877412,2393.689990,0.000000,721.835863,718.171674,3.651731,0.112500,0.028583,122.155081,124723,1463293654,101939311,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,14.164916,14.080075,6.988756,0.000000,7.691791,7.687707,0.003959,0.049042,0.038083,0.623167,628,8107339,89937,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.345417,1640.718483,1270.992491,0.000000,460.488828,458.686321,1.799423,0.058833,0.018750,64.202250,62927,802614633,50975178,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.842083,16.728468,8.191653,0.000000,8.742124,8.740790,0.001126,0.054209,0.027375,0.618332,648,8107245,177576,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.997792,19.858289,19.583671,0.000000,0.000751,0.000000,0.000000,0.096542,0.046958,0.686875,661,8102617,182134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,19.946417,19.838410,11.017845,0.000000,0.002333,0.000000,0.000000,0.441083,0.015250,0.648750,659,8107036,166486,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,22.239416,22.123038,19.844645,0.000000,0.000334,0.000000,0.000000,0.055334,0.019208,0.775542,663,8102625,185405,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,12.997167,12.878798,8.508599,0.000000,0.000999,0.000000,0.000000,0.047542,0.037791,0.291208,650,8107209,169785,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,20.993708,20.881924,18.928215,0.000000,0.000376,0.000000,0.000000,0.039334,0.015666,0.604542,668,8102465,174569,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,7.659500,7.552958,7.508865,0.000000,0.000457,0.000000,0.000000,0.040667,0.011250,0.291166,650,8107211,173153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,23.333209,23.217244,19.335750,0.000000,0.000708,0.000000,0.000000,0.042791,0.015959,0.583541,667,8102633,179260,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,7.572291,7.468047,7.446225,0.000000,0.000542,0.000000,0.000000,0.027084,0.006458,0.608750,659,8107050,166669,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,22.645084,22.515239,20.434699,0.000000,0.000584,0.000000,0.000000,0.056208,0.061125,0.581125,659,8102646,183693,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,12.767791,12.659069,8.511763,0.000000,3.821834,1.366346,2.454945,0.073875,0.492125,0.296625,652,8107230,165871,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,23.114542,22.995406,19.850744,0.000000,0.000667,0.000000,0.000000,0.042917,0.014125,0.582376,669,8102410,180019,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,13.506333,13.381831,8.627776,0.000000,0.001083,0.000000,0.000000,0.050750,0.014000,0.314000,649,8107260,171301,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,21.752459,21.635509,19.273406,0.000000,0.000667,0.000000,0.000000,0.048916,0.014125,0.614417,661,8102630,177244,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,10.767791,10.654477,8.405620,0.000000,0.000458,0.000000,0.000000,0.035792,0.012792,0.482875,660,8107052,164213,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,20.444792,20.328209,19.155379,0.000000,0.000834,0.000000,0.000000,0.036625,0.012875,0.609792,661,8102660,179609,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,7.791833,7.686378,7.587092,0.000000,0.000543,0.000000,0.000000,0.033834,0.010500,0.306041,656,8107295,159644,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,21.118417,20.996826,19.139651,0.000000,0.002834,0.000000,0.000000,0.037292,0.012666,0.746667,658,8102332,175113,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,11.475042,11.372915,7.737920,0.000000,3.951665,3.951096,0.000278,0.029708,0.045167,0.292083,648,8107282,165321,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,21.080791,20.963004,19.072582,0.000000,0.000458,0.000000,0.000000,0.050917,0.013708,0.743292,665,8102523,168971,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,14.350709,14.219647,8.287299,0.000000,5.274500,4.698305,0.575695,0.066666,0.014584,0.291334,652,8107131,166295,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,21.313500,21.206748,19.448250,0.000000,0.000501,0.000000,0.000000,0.042333,0.012833,0.594458,661,8102638,175216,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,11.200416,11.083919,8.025585,0.000000,2.553125,2.551096,0.001070,0.061542,0.011375,0.412334,655,8107052,153696,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,20.698500,20.563448,19.062759,0.000000,0.000376,0.000000,0.000000,0.042875,0.011042,0.747958,660,8102590,173164,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,12.700000,12.592996,8.005541,0.000000,4.093040,4.016930,0.075528,0.057417,0.026917,0.765250,650,8107280,161391,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,20.784750,20.674909,18.851550,0.000000,0.000334,0.000000,0.000000,0.045834,0.051000,0.582626,667,8102452,162463,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,12.533209,12.427004,7.851750,0.000000,3.697417,3.678847,0.018028,0.065500,0.014583,0.294166,654,8107213,160066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,20.395833,20.270660,19.570923,0.000000,0.000501,0.000000,0.000000,0.047583,0.015042,0.582541,659,8102665,170733,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,12.616667,12.505679,8.094374,0.000000,4.201916,4.200971,0.000362,0.061750,0.013291,0.298458,658,8107035,149596,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,20.882875,20.773866,18.788703,0.000000,0.000666,0.000000,0.000000,0.044041,0.013167,0.585667,663,8102581,168889,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,14.336125,14.220247,8.407964,0.000000,4.144375,4.142763,0.001237,0.067333,0.044583,0.294375,648,8107274,157455,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,21.478333,21.350994,20.514282,0.000000,0.000709,0.000000,0.000000,0.059458,0.015292,0.621416,665,8102472,159057,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,9.175167,9.066458,8.240189,0.000000,1.749665,1.743972,0.005194,0.033208,0.070708,0.292125,650,8107235,156172,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,21.779000,21.649924,19.370583,0.000000,0.000832,0.000000,0.000000,0.095666,0.030417,0.646833,660,8102600,166470,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,13.637458,13.528568,8.337982,0.000000,4.315958,4.097596,0.217862,0.058292,0.013833,0.289791,654,8107058,145845,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,21.703625,21.581793,19.171063,0.000000,0.000502,0.000000,0.000000,0.051083,0.014875,0.605333,662,8102629,164598,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,12.556083,12.447334,8.613080,0.000000,2.270917,2.269680,0.000112,0.068459,0.016833,0.295375,651,8107249,153558,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,21.802959,21.672649,19.361353,0.000000,0.000250,0.000000,0.000000,0.049916,0.016167,1.041458,668,8102437,156417,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,339,11.075916,10.967240,7.631300,0.000000,3.330459,1.446222,1.883028,0.047792,0.016083,0.291917,653,8107216,152241,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,340,21.040250,20.910412,19.127417,0.000000,0.000585,0.000000,0.000000,0.049000,0.041500,0.649999,660,8102662,164302,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,341,11.239125,11.129607,7.512305,0.000000,3.178457,2.826346,0.351404,0.052625,0.015459,0.295375,659,8107021,143342,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
