frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.552792,0.021208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3203.710875,2984.938828,2399.533879,0.000000,746.022581,741.403838,4.608072,0.079542,0.060583,154.856004,124679,1463293721,101905388,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,13.802667,13.702731,6.590382,0.000000,7.419959,7.317707,0.102168,0.044500,0.012875,0.287667,630,8107270,89928,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.211333,1640.769033,1266.269383,0.000000,491.130536,490.406249,0.723869,0.056375,0.018792,81.633337,62915,802614635,50974828,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.685625,16.578791,7.989366,0.000000,9.332208,9.250664,0.081461,0.025042,0.038333,0.594958,651,8107217,177115,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.866792,18.752483,18.748277,0.000000,0.000334,0.000000,0.000000,0.025000,0.012833,0.894166,663,8102675,182114,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.718875,14.608590,8.093491,0.000000,7.370124,7.242040,0.127959,0.022458,0.008167,0.456125,657,8107015,167006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.838417,18.724661,18.731127,0.000000,0.000208,0.000000,0.000000,0.024291,0.012375,0.960041,661,8102605,185404,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.491083,14.386733,7.976329,0.000000,7.292626,7.153790,0.138669,0.024125,0.007417,0.356666,650,8107239,169785,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.930375,18.816900,18.813049,0.000000,0.000209,0.000000,0.000000,0.021917,0.014125,0.697916,668,8102430,175964,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.427500,14.321567,7.978424,0.000000,7.208416,7.099206,0.109043,0.024375,0.009875,0.350916,649,8107239,173792,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,18.882125,18.766855,18.773695,0.000000,0.000252,0.000000,0.000000,0.018667,0.011083,0.969624,669,8102621,179134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,14.551208,14.446511,7.999921,0.000000,7.321541,7.193832,0.127543,0.020459,0.007250,0.350542,659,8107048,165960,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.990584,18.875333,18.886039,0.000000,0.000250,0.000000,0.000000,0.022583,0.011167,0.638501,660,8102640,185047,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.325875,14.211117,7.895922,0.000000,7.226167,7.085623,0.140377,0.018708,0.007167,0.750000,652,8107235,166643,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,18.677083,18.569418,18.576216,0.000000,0.000251,0.000000,0.000000,0.017208,0.007709,0.446333,670,8102416,177096,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,14.544833,14.436337,7.702290,0.000000,7.527542,7.428540,0.098877,0.016292,0.006250,0.775334,650,8107269,169238,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.661875,18.538524,18.545052,0.000000,0.000251,0.000000,0.000000,0.032584,0.017875,0.352500,660,8102628,175885,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,14.953500,14.851467,8.200340,0.000000,7.375208,7.283748,0.091334,0.037125,0.013834,0.744374,661,8107066,163317,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,19.203084,19.095417,19.085029,0.000000,0.000583,0.000000,0.000000,0.047583,0.042500,1.171375,661,8102629,179598,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,14.039666,13.931802,7.943759,0.000000,6.553249,6.435415,0.117710,0.022750,0.010417,0.498500,658,8107097,160745,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,18.436959,18.320388,18.329060,0.000000,0.000292,0.000000,0.000000,0.026583,0.007417,0.927209,661,8102531,174453,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,14.847041,14.738103,7.676571,0.000000,7.690915,7.580331,0.110460,0.018709,0.006333,0.352083,649,8107254,166335,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,17.947042,17.837796,17.820743,0.000000,0.000291,0.000000,0.000000,0.031333,0.009917,1.057917,665,8102466,167210,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,15.343250,15.237626,7.440222,0.000000,8.361750,8.219956,0.141710,0.020542,0.074291,0.635459,653,8107219,164002,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,18.028667,17.919836,17.861707,0.000000,0.000332,0.000000,0.000000,0.031875,0.009708,1.262333,662,8102657,175102,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,15.478625,15.369868,7.544006,0.000000,8.351708,8.223248,0.128335,0.020916,0.015709,0.297583,656,8107039,154567,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,17.984083,17.870823,17.864734,0.000000,0.000290,0.000000,0.000000,0.026208,0.008750,0.778708,659,8102588,173162,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,15.340042,15.230991,7.446997,0.000000,8.289958,8.165498,0.124294,0.018541,0.016167,0.468750,649,8107262,161390,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,17.711125,17.603189,17.595931,0.000000,0.000251,0.000000,0.000000,0.022208,0.010750,0.890459,667,8102462,162462,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,15.470625,15.368052,8.109172,0.000000,8.604542,8.603956,0.000502,0.020500,0.127041,1.242334,654,8107219,160066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,18.152333,18.042753,18.008825,0.000000,0.000376,0.000000,0.000000,0.026917,0.008666,0.630583,659,8102677,170733,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,15.298292,15.188828,7.576866,0.000000,8.287542,8.287248,0.000211,0.029416,0.026750,1.255084,658,8107008,149595,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,17.745208,17.636714,17.642712,0.000000,0.000333,0.000000,0.000000,0.021083,0.007959,0.638625,663,8102634,169678,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,15.750333,15.611149,7.409515,0.000000,8.598251,8.511748,0.086377,0.060875,0.040000,0.604208,651,8107221,157471,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,17.911375,17.833896,17.819063,0.000000,0.000335,0.000000,0.000000,0.024000,0.008125,0.649417,665,8102486,158193,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,15.290959,15.181552,7.494791,0.000000,8.329667,8.327332,0.002293,0.019583,0.070375,1.080042,651,8107229,156172,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,17.830208,17.721758,17.721946,0.000000,0.000333,0.000000,0.000000,0.029000,0.011917,1.297374,661,8102620,166471,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,15.718750,15.611831,7.416485,0.000000,8.635458,8.504748,0.130585,0.019250,0.005917,0.462166,653,8107039,145845,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,17.650042,17.540120,17.538565,0.000000,0.000207,0.000000,0.000000,0.020500,0.016708,1.286750,662,8102621,164597,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,15.623833,15.515971,7.252330,0.000000,8.624460,8.522915,0.101377,0.030333,0.009459,0.290458,651,8107266,153558,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,18.621417,18.502307,18.484051,0.000000,0.000334,0.000000,0.000000,0.038125,0.054958,1.381459,668,8102447,156435,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,339,14.851208,14.746091,7.864307,0.000000,7.453833,7.376748,0.076960,0.036125,0.012125,0.609583,653,8107202,152242,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,340,18.812042,18.699051,18.678949,0.000000,0.000541,0.000000,0.000000,0.033500,0.011833,0.813584,659,8102654,166793,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,341,14.556416,14.449414,7.594912,0.000000,7.439084,7.319957,0.119002,0.028334,0.014083,0.727250,659,8107030,141661,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,342,17.999959,17.889642,17.888355,0.000000,0.000291,0.000000,0.000000,0.042750,0.012708,0.785792,663,8102623,162340,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,343,15.313666,15.205280,7.757077,0.000000,8.070626,7.937165,0.133336,0.024167,0.006208,0.820083,651,8107275,150124,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,344,18.193209,18.073669,18.053240,0.000000,0.000250,0.000000,0.000000,0.023625,0.015541,0.488125,668,8102425,151619,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,345,15.124833,15.025215,7.413353,0.000000,8.141541,8.021165,0.120210,0.028583,0.020959,0.862001,651,8107222,148324,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,346,17.808458,17.700324,17.688106,0.000000,0.000332,0.000000,0.000000,0.031834,0.011208,0.458583,661,8102638,161186,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,347,15.673292,15.567921,7.241254,0.000000,8.784291,8.654957,0.129210,0.025750,0.008625,1.301458,660,8107054,139615,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,348,17.895333,17.787127,17.782794,0.000000,0.000375,0.000000,0.000000,0.026625,0.009709,0.632625,661,8102611,157923,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,349,15.258875,15.151956,7.854830,0.000000,8.435792,8.433164,0.002586,0.020917,0.075583,1.295042,651,8107287,145713,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,350,17.696875,17.586294,17.575462,0.000000,0.000250,0.000000,0.000000,0.022834,0.015291,1.275667,666,8102414,147314,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,351,15.763667,15.657835,7.105282,0.000000,8.925874,8.819832,0.105918,0.019375,0.014000,0.361292,650,8107233,146388,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,352,17.528708,17.423601,17.414245,0.000000,0.000208,0.000000,0.000000,0.028500,0.023500,1.280250,657,8102650,155055,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
56,353,15.920875,15.804331,7.114203,0.000000,9.017293,8.898207,0.118960,0.034875,0.017709,0.645125,660,8107037,133813,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57,354,17.646125,17.532708,17.527361,0.000000,0.000290,0.000000,0.000000,0.023500,0.008459,0.934750,660,8102586,153399,0,302,0,302,0,0,0,0,0,0,21451,14400,3510,3541,0
58,355,15.633084,15.519377,6.959428,0.000000,8.912999,8.779457,0.133460,0.019875,0.018458,0.292334,652,8107271,141778,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,356,17.531083,17.426709,17.411746,0.000000,0.000249,0.000000,0.000000,0.022417,0.014625,0.926459,665,8102453,142274,0,302,0,302,0,0,0,0,0,0,23191,14400,4680,4111,0
60,357,15.967125,15.854628,7.123885,0.000000,9.094625,8.988540,0.106001,0.037000,0.008708,0.639167,649,8107257,141414,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,358,18.103667,17.994038,17.995302,0.000000,0.000250,0.000000,0.000000,0.038958,0.012125,0.942958,662,8102637,150637,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,359,15.248000,15.141741,7.525132,0.000000,8.128375,7.987499,0.140710,0.030791,0.016209,1.078709,657,8107038,129529,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
63,360,17.756125,17.643541,17.639755,0.000000,0.000209,0.000000,0.000000,0.031333,0.009583,0.456541,660,8102627,148687,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,361,15.496875,15.389416,7.027125,0.000000,8.803958,8.674790,0.129043,0.019750,0.019791,1.076583,655,8107285,137867,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
65,362,17.655541,17.551168,17.533093,0.000000,0.000207,0.000000,0.000000,0.021500,0.007709,0.289416,669,8102416,143458,0,302,0,302,0,0,0,0,0,0,23098,14400,4680,4018,0
66,363,15.740209,15.631119,7.017279,0.000000,8.971667,8.865790,0.105710,0.022541,0.016375,0.927209,651,8107223,137659,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,364,17.462000,17.350498,17.341037,0.000000,0.000291,0.000000,0.000000,0.022625,0.014458,0.609125,660,8102654,146070,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
68,365,15.879583,15.765686,7.193161,0.000000,9.051958,9.050998,0.000835,0.025750,0.011083,1.179791,656,8107058,130651,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
69,366,17.577500,17.473036,17.454237,0.000000,0.000209,0.000000,0.000000,0.035208,0.013834,1.258834,663,8102618,144769,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,367,15.808125,15.703869,7.044702,0.000000,9.050292,8.921623,0.128502,0.023000,0.006875,0.618792,648,8107247,135183,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
71,368,17.550542,17.437190,17.437943,0.000000,0.000290,0.000000,0.000000,0.023833,0.015750,1.265917,669,8102425,139508,0,302,0,302,0,0,0,0,0,0,23125,14400,4680,4045,0
72,369,15.793541,15.692626,6.818543,0.000000,9.150958,9.030623,0.120210,0.019125,0.006042,0.305375,650,8107276,132685,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
73,370,17.411459,17.302607,17.291106,0.000000,0.000292,0.000000,0.000000,0.022375,0.007666,1.294500,666,8102517,140949,0,302,0,302,0,0,0,0,0,0,22924,14400,4536,3988,0
74,371,16.008750,15.900711,6.930721,0.000000,9.251543,9.120207,0.131210,0.023791,0.012959,0.367625,655,8107153,129283,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
75,372,17.543500,17.436910,17.435975,0.000000,0.000207,0.000000,0.000000,0.025750,0.008458,0.938000,658,8102639,140843,0,302,0,302,0,0,0,0,0,0,21374,14400,3510,3464,0
76,373,15.843000,15.738218,6.897665,0.000000,9.187002,9.054123,0.132711,0.019750,0.017291,0.634709,655,8107151,125438,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
77,374,17.312291,17.203522,17.190564,0.000000,0.000249,0.000000,0.000000,0.020917,0.007000,1.208292,661,8102528,139519,0,302,0,302,0,0,0,0,0,0,20602,14400,3510,2692,0
78,375,15.893917,15.788153,7.004125,0.000000,9.352125,9.344040,0.008002,0.025208,0.087417,0.972166,652,8107263,128708,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
79,376,17.447625,17.335172,17.326052,0.000000,0.000249,0.000000,0.000000,0.021792,0.007083,0.650209,667,8102478,133652,0,302,0,302,0,0,0,0,0,0,22262,14400,4680,3182,0
80,377,15.880042,15.776325,7.715784,0.000000,9.477249,9.471247,0.005919,0.019541,0.122875,0.967583,649,8107240,127697,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
81,378,17.508166,17.395104,17.368423,0.000000,0.000291,0.000000,0.000000,0.033209,0.007958,0.649000,657,8102649,136924,0,302,0,302,0,0,0,0,0,0,20422,14400,3510,2512,0
82,379,16.076875,15.968632,6.877156,0.000000,9.385584,9.261123,0.124336,0.022542,0.015958,1.273709,658,8107035,121503,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
83,380,17.316709,17.211145,17.192548,0.000000,0.000207,0.000000,0.000000,0.022000,0.007583,0.657791,659,8102606,136619,0,302,0,302,0,0,0,0,0,0,20251,14400,3510,2341,0
84,381,15.956541,15.851738,6.701478,0.000000,9.406708,9.302040,0.104543,0.027375,0.006834,1.259250,651,8107302,124792,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
85,382,17.192792,17.084922,17.084760,0.000000,0.000209,0.000000,0.000000,0.021958,0.006250,1.217416,664,8102417,129725,0,302,0,302,0,0,0,0,0,0,22707,14400,4680,3627,0
86,383,16.168500,16.060296,6.630510,0.000000,9.658500,9.556374,0.101960,0.020458,0.007667,0.581292,651,8107218,123952,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
87,384,17.484375,17.378724,17.376433,0.000000,0.000373,0.000000,0.000000,0.029583,0.007542,1.287209,658,8102637,137877,0,302,0,302,0,0,0,0,0,0,21090,14400,3510,3180,0
88,385,15.991792,15.885874,6.826221,0.000000,9.359291,9.222623,0.136543,0.032000,0.006291,0.607625,656,8107085,117573,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
89,386,17.259291,17.146956,17.138373,0.000000,0.000249,0.000000,0.000000,0.024125,0.008250,0.940750,660,8102638,131685,0,302,0,302,0,0,0,0,0,0,21093,14400,3510,3183,0
90,387,15.979334,15.874088,7.043415,0.000000,9.439041,9.340998,0.097918,0.019208,0.005417,0.320291,650,8107247,120859,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
91,388,17.218666,17.113153,17.117265,0.000000,0.000209,0.000000,0.000000,0.026500,0.007500,0.938292,667,8102462,128286,0,302,0,302,0,0,0,0,0,0,22857,14400,4680,3777,0
92,389,16.064417,15.952945,6.803210,0.000000,9.617459,9.610039,0.007337,0.022792,0.086666,0.964541,652,8107234,120663,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
93,390,18.678375,18.565882,18.563384,0.000000,0.000584,0.000000,0.000000,0.056292,0.014750,0.292334,659,8102617,129100,0,302,0,302,0,0,0,0,0,0,21081,14400,3510,3171,0
94,391,14.944458,14.834711,8.241871,0.000000,7.767459,7.766707,0.000585,0.050209,0.038750,0.926375,659,8107067,113652,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
95,392,18.193167,18.071168,18.031439,0.000000,0.000250,0.000000,0.000000,0.047375,0.013917,0.649166,660,8102600,127776,0,302,0,302,0,0,0,0,0,0,21280,14400,3510,3370,0
