frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.730875,0.040291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3207.665625,2985.481258,2396.226553,0.000000,736.447457,734.962309,1.474573,0.078833,0.028125,150.090747,124708,1463293789,101928561,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,12.475333,12.374417,6.721336,0.000000,6.333334,6.332875,0.000334,0.040250,0.045458,1.003125,632,8107197,89941,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.662750,1641.091226,1276.825723,0.000000,483.740579,483.222490,0.517339,0.071792,0.026375,84.627995,62918,802614671,50977189,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.778542,16.671036,8.051788,0.000000,8.914251,8.823041,0.091084,0.040208,0.011000,0.778499,652,8107202,177108,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.633083,18.521322,18.489252,0.000000,0.000291,0.000000,0.000000,0.035542,0.015625,0.800125,663,8102648,184818,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.743042,14.634426,8.749207,0.000000,6.982708,6.976875,0.005625,0.042041,0.017000,0.327084,657,8107018,166501,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.676291,18.569336,18.575873,0.000000,0.003958,0.000000,0.000000,0.027125,0.021292,0.656458,660,8102599,185400,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.590542,14.477538,7.831164,0.000000,7.381585,7.225917,0.155542,0.023917,0.008333,0.302292,652,8107224,169783,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.582125,18.463775,18.446453,0.000000,0.000333,0.000000,0.000000,0.030833,0.040084,0.988667,668,8102466,175017,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.639417,14.532296,8.443123,0.000000,7.336582,7.329332,0.007167,0.036916,0.038959,0.300292,651,8107218,173148,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,18.445208,18.339032,18.324421,0.000000,0.000292,0.000000,0.000000,0.037375,0.015542,0.807125,667,8102638,179231,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,15.081833,14.975955,7.867995,0.000000,7.696917,7.577750,0.119042,0.029042,0.015958,0.411792,659,8107042,165952,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.342500,18.228095,18.217372,0.000000,0.000209,0.000000,0.000000,0.030459,0.013500,0.741291,659,8102642,183556,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.872625,14.762743,7.967336,0.000000,7.501250,7.432208,0.068959,0.024625,0.033459,0.959791,651,8107221,165866,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,18.142042,18.032546,18.007917,0.000000,0.000251,0.000000,0.000000,0.024917,0.007208,0.454917,670,8102426,177093,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,15.311125,15.196811,7.665152,0.000000,8.051416,7.955999,0.095292,0.025125,0.006875,0.943333,650,8107257,169235,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.006167,17.901273,17.904931,0.000000,0.000251,0.000000,0.000000,0.028458,0.016958,0.449167,660,8102640,175883,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,15.690708,15.568711,7.891178,0.000000,8.133417,8.011750,0.121417,0.067250,0.038083,0.914875,661,8107075,163331,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,18.848917,18.753316,18.678493,0.000000,0.000416,0.000000,0.000000,0.042833,0.038792,1.107250,661,8102645,179283,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,14.411708,14.291669,8.411194,0.000000,6.742916,6.614666,0.128042,0.030958,0.009167,0.445292,657,8107077,160737,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,17.991167,17.879087,17.854329,0.000000,0.000251,0.000000,0.000000,0.028875,0.010291,1.281916,661,8102532,174440,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,15.083958,14.980012,7.986645,0.000000,7.843750,7.831916,0.011709,0.024292,0.020375,0.639666,649,8107255,165294,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,18.239458,18.122361,18.127598,0.000000,0.000290,0.000000,0.000000,0.035375,0.011417,1.124249,665,8102504,171305,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,15.204584,15.071683,7.693550,0.000000,7.939501,7.850084,0.089333,0.022625,0.014625,0.439333,652,8107220,163984,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,17.953458,17.839177,17.832088,0.000000,0.000332,0.000000,0.000000,0.028583,0.007667,1.084083,660,8102599,175214,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,15.465833,15.359751,7.473041,0.000000,8.385335,8.261333,0.123834,0.026042,0.008458,0.302416,657,8107045,153694,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,17.903792,17.788917,17.769415,0.000000,0.000333,0.000000,0.000000,0.032750,0.012167,1.278291,660,8102605,175250,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
