frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.643334,0.021625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3221.720375,2981.640763,2277.359875,0.000000,752.579582,726.499267,26.067969,0.112667,0.490000,85.235700,124715,1463293696,101929839,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,18.197375,18.106714,6.625284,0.000000,11.138083,9.451208,1.686792,0.071584,0.034625,0.631666,630,8107290,89945,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.661209,1640.181815,1208.960930,0.000000,490.016460,489.053318,0.962559,0.062958,0.019292,47.010710,62917,802614639,50974981,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.781833,17.669201,7.729038,0.000000,9.953583,8.668833,1.284542,0.028625,0.009083,0.603500,652,8107220,180068,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.854167,19.734412,19.711654,0.000000,0.000417,0.000000,0.000000,0.035041,0.028917,0.646416,663,8102634,184487,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,12.550666,12.437706,8.571083,0.000000,4.582751,4.582139,0.000236,0.033000,0.010500,0.325584,658,8107055,169500,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.942209,18.825627,18.765360,0.000000,0.000333,0.000000,0.000000,0.030000,0.045666,0.631375,662,8102597,185401,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,15.614833,15.502552,8.285240,0.000000,7.768708,6.538791,1.229750,0.036625,0.018375,0.317750,650,8107224,172860,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,19.029708,18.914931,18.890991,0.000000,0.000417,0.000000,0.000000,0.037459,0.020958,0.611376,669,8102450,174735,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.081917,13.978958,7.456542,0.000000,6.483500,5.335847,1.147236,0.025625,0.016458,0.292000,650,8107225,173791,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,18.322958,18.210714,18.170994,0.000000,0.000458,0.000000,0.000000,0.033084,0.014833,0.623542,670,8102654,179129,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,15.248709,15.140758,8.045250,0.000000,7.603668,6.350334,1.253208,0.029750,0.009291,0.583584,659,8107052,166665,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.431666,18.321820,18.286791,0.000000,0.000459,0.000000,0.000000,0.033292,0.012958,0.289791,660,8102618,183684,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.863209,14.757313,7.742719,0.000000,7.403544,6.129792,1.273626,0.030583,0.009708,0.583917,652,8107217,166641,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
