frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.787833,0.028875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3206.957417,2981.241315,2381.860570,0.000000,759.654545,755.449886,4.197783,0.096958,0.531917,146.905550,124704,1463293722,101949902,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,18.656000,18.555511,6.962677,0.000000,10.429042,10.374540,0.054335,0.067791,0.029792,0.669459,630,8107234,89938,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.377125,1639.892325,1266.239270,0.000000,486.928175,486.301223,0.625949,0.075083,0.022583,78.827251,62933,802614627,50974263,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.618375,16.502944,8.144532,0.000000,8.771126,8.770040,0.000919,0.032791,0.047042,1.035792,649,8107232,177573,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.405708,19.288511,19.186925,0.000000,0.000416,0.000000,0.000000,0.035250,0.014542,1.457084,661,8102632,182134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,13.928000,13.817690,8.839166,0.000000,6.143583,6.140040,0.003418,0.028250,0.009000,0.662084,659,8107043,166484,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.716625,18.596216,18.567123,0.000000,0.000376,0.000000,0.000000,0.032583,0.019834,1.312374,662,8102598,185404,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.685208,14.580088,8.155846,0.000000,7.078958,6.950248,0.128543,0.026792,0.020458,0.309167,652,8107237,172864,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.748667,18.634587,18.595156,0.000000,0.000335,0.000000,0.000000,0.030250,0.025208,1.312000,668,8102407,177171,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.693000,14.585006,8.426838,0.000000,6.805000,6.729540,0.075294,0.053500,0.020792,0.304333,650,8107261,173795,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,19.164833,19.046936,18.998404,0.000000,0.000460,0.000000,0.000000,0.039417,0.061875,0.948333,669,8102655,179134,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,14.234334,14.127635,8.238039,0.000000,6.494834,6.369332,0.125377,0.030416,0.009584,0.307166,660,8107072,167832,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.623250,18.514145,18.500926,0.000000,0.000291,0.000000,0.000000,0.028291,0.021959,0.618125,659,8102595,183555,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.611083,14.506871,7.718455,0.000000,7.448750,7.321540,0.126960,0.019667,0.018166,0.294333,652,8107220,165871,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,18.377958,18.268064,18.254861,0.000000,0.000333,0.000000,0.000000,0.022792,0.015000,0.614457,670,8102444,178686,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,14.864959,14.760074,7.695094,0.000000,7.797084,7.791373,0.005627,0.023625,0.099250,0.623667,648,8107243,170070,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.444791,18.323244,18.275034,0.000000,0.000332,0.000000,0.000000,0.025584,0.009291,0.374334,660,8102635,175776,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,15.133875,15.007270,8.057632,0.000000,7.427875,7.395457,0.032251,0.035709,0.007250,0.659417,661,8107068,163338,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,18.543792,18.433802,18.431752,0.000000,0.000375,0.000000,0.000000,0.030250,0.010083,0.345833,661,8102647,179284,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,14.727500,14.623141,7.748388,0.000000,7.523041,7.515248,0.005918,0.020583,0.028834,0.682126,657,8107280,159663,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,18.402167,18.288063,18.255303,0.000000,0.000250,0.000000,0.000000,0.021750,0.014041,0.737333,658,8102372,175116,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,14.948916,14.840338,7.685423,0.000000,7.747208,7.729207,0.017877,0.024250,0.007334,0.485708,649,8107243,165320,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,18.108834,17.999182,17.990462,0.000000,0.000250,0.000000,0.000000,0.025208,0.014833,0.752541,665,8102442,166747,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,15.247333,15.137168,7.703006,0.000000,8.002876,7.998999,0.003751,0.032750,0.008625,0.448708,653,8107224,164001,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,18.091417,17.978752,17.958946,0.000000,0.000333,0.000000,0.000000,0.027125,0.018500,0.764917,661,8102633,175216,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,15.385500,15.275145,7.429491,0.000000,8.327709,8.201874,0.125669,0.019333,0.015500,0.313083,658,8107064,153424,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,17.942375,17.836800,17.819513,0.000000,0.000334,0.000000,0.000000,0.021625,0.008666,0.779375,661,8102583,173750,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,15.339250,15.232210,7.430819,0.000000,8.258125,8.165998,0.092044,0.024208,0.015583,0.290375,650,8107274,162594,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,17.996750,17.890666,17.872472,0.000000,0.000291,0.000000,0.000000,0.028541,0.007625,0.919625,667,8102445,162485,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,15.415833,15.307160,7.455531,0.000000,8.275500,8.174207,0.101168,0.028792,0.016500,0.453667,652,8107228,160089,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,18.026583,17.914875,17.905126,0.000000,0.000250,0.000000,0.000000,0.021375,0.014792,1.256834,659,8102632,171640,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,15.276209,15.169537,7.676294,0.000000,8.275250,8.274790,0.000335,0.018125,0.019750,0.925625,657,8107049,149512,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,17.778291,17.670400,17.652216,0.000000,0.000334,0.000000,0.000000,0.019167,0.014333,0.654625,663,8102607,168890,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,15.566792,15.463873,7.247975,0.000000,8.658624,8.528789,0.129752,0.021375,0.069167,0.938457,652,8107257,158848,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,19.074000,18.943714,18.826277,0.000000,0.000417,0.000000,0.000000,0.037625,0.023875,1.031876,665,8102459,158200,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,14.319417,14.208998,7.704256,0.000000,7.026625,6.947123,0.079418,0.024250,0.008125,0.706791,651,8107215,156344,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,18.182583,18.070125,18.051177,0.000000,0.000584,0.000000,0.000000,0.027750,0.008750,1.134459,661,8102685,167010,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,15.413042,15.305378,7.604035,0.000000,8.106833,7.986415,0.120251,0.029750,0.010708,0.520750,656,8107000,145598,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,18.615416,18.501940,18.455656,0.000000,0.000375,0.000000,0.000000,0.034125,0.009500,1.228917,662,8102651,165610,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,14.536459,14.428412,7.440674,0.000000,7.477584,7.390248,0.087169,0.018625,0.006833,0.332875,651,8107243,153558,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,17.766708,17.653983,17.621400,0.000000,0.000376,0.000000,0.000000,0.021833,0.007000,1.275584,668,8102427,157884,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,339,15.623750,15.520212,7.299189,0.000000,8.721834,8.617415,0.104293,0.024625,0.013000,0.643041,652,8107226,152242,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,340,17.888917,17.777717,17.775167,0.000000,0.000333,0.000000,0.000000,0.022208,0.010083,0.962000,660,8102662,165434,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,341,15.531000,15.419864,7.182787,0.000000,8.666334,8.530790,0.135419,0.018416,0.016000,0.494875,660,8107048,141663,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,342,17.761083,17.647836,17.620001,0.000000,0.000293,0.000000,0.000000,0.020750,0.015417,0.973708,663,8102573,162337,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,343,15.463917,15.357734,7.139729,0.000000,8.668083,8.563747,0.104294,0.017541,0.046625,1.329750,651,8107281,151375,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,344,17.543791,17.427481,17.389072,0.000000,0.000293,0.000000,0.000000,0.019542,0.018125,0.667417,668,8102442,151960,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,345,15.883959,15.782256,7.140951,0.000000,8.973500,8.874665,0.098709,0.021958,0.012958,1.340542,650,8107238,148308,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,346,17.786916,17.671287,17.667578,0.000000,0.000291,0.000000,0.000000,0.020084,0.007500,0.667958,661,8102640,159850,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,347,15.601250,15.495710,6.966086,0.000000,8.912207,8.776581,0.135502,0.018584,0.005208,1.324708,660,8107030,137746,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,348,17.490000,17.381770,17.377784,0.000000,0.000292,0.000000,0.000000,0.019750,0.016334,0.658333,662,8102605,157927,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,349,15.936625,15.826591,7.058381,0.000000,9.067457,8.943081,0.124210,0.025959,0.017041,0.974209,652,8107244,145697,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,350,17.796709,17.691518,17.675942,0.000000,0.000374,0.000000,0.000000,0.025583,0.006875,0.996834,667,8102468,147235,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,351,15.508125,15.403062,7.100284,0.000000,8.681751,8.584165,0.097502,0.029875,0.008416,0.608708,647,8107220,144389,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,352,17.649875,17.533080,17.515769,0.000000,0.000251,0.000000,0.000000,0.019958,0.017333,1.261750,658,8102636,156550,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
56,353,15.651833,15.547905,7.457760,0.000000,8.871041,8.862164,0.008794,0.018167,0.029875,0.641250,657,8107049,133840,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57,354,17.974792,17.859701,17.853698,0.000000,0.000416,0.000000,0.000000,0.033958,0.019792,1.060376,659,8102644,153178,0,302,0,302,0,0,0,0,0,0,21451,14400,3510,3541,0
58,355,15.461333,15.357698,7.179607,0.000000,8.620374,8.488164,0.132044,0.018792,0.015541,0.309666,649,8107207,141782,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,356,18.031167,17.919772,17.895432,0.000000,0.000457,0.000000,0.000000,0.048041,0.013084,0.955666,668,8102502,142569,0,302,0,302,0,0,0,0,0,0,23191,14400,4680,4111,0
60,357,15.353166,15.242724,7.573764,0.000000,8.265083,8.174582,0.090376,0.040167,0.011583,0.299875,649,8107231,141413,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,358,17.781334,17.671244,17.677174,0.000000,0.000542,0.000000,0.000000,0.032541,0.010250,0.917084,660,8102591,153336,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,359,15.676916,15.566625,7.300252,0.000000,8.773791,8.654998,0.118543,0.019042,0.007208,1.246541,660,8107048,129549,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
63,360,18.457084,18.343207,18.349995,0.000000,0.000293,0.000000,0.000000,0.017250,0.006333,0.631333,661,8102638,150319,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,361,14.848708,14.735979,7.395203,0.000000,8.035167,7.915623,0.119419,0.016500,0.006583,0.922042,655,8107264,140155,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
65,362,18.178792,18.065774,18.072338,0.000000,0.000250,0.000000,0.000000,0.015625,0.006375,0.515167,667,8102423,142150,0,302,0,302,0,0,0,0,0,0,23098,14400,4680,4018,0
66,363,15.163375,15.052383,7.197576,0.000000,8.418083,8.325999,0.091918,0.016375,0.006083,0.764043,651,8107269,136557,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,364,18.194791,18.081161,18.088367,0.000000,0.000292,0.000000,0.000000,0.018834,0.007208,1.216334,660,8102623,146089,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
68,365,15.183750,15.074570,7.287749,0.000000,8.364209,8.270915,0.093127,0.016292,0.006208,0.632417,658,8107064,133069,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
69,366,18.112625,17.999420,18.005250,0.000000,0.000207,0.000000,0.000000,0.014792,0.006125,1.213291,661,8102620,145344,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,367,15.369542,15.257989,7.284786,0.000000,8.527626,8.415665,0.111794,0.030375,0.010125,0.623708,650,8107255,133932,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
71,368,18.437125,18.324407,18.330962,0.000000,0.000209,0.000000,0.000000,0.020375,0.007208,1.219167,669,8102461,138861,0,302,0,302,0,0,0,0,0,0,23125,14400,4680,4045,0
72,369,14.826625,14.716326,7.286064,0.000000,8.076458,7.984873,0.091459,0.017875,0.006667,0.618542,651,8107276,132688,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
73,370,18.356833,18.244056,18.250116,0.000000,0.000292,0.000000,0.000000,0.021792,0.007125,1.256916,667,8102611,139744,0,302,0,302,0,0,0,0,0,0,22924,14400,4536,3988,0
74,371,15.015875,14.905221,7.300397,0.000000,8.210960,8.123707,0.087169,0.021667,0.008792,0.616083,654,8107021,129139,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
75,372,18.222584,18.109804,18.116072,0.000000,0.000291,0.000000,0.000000,0.018625,0.007291,0.903458,660,8102638,140848,0,302,0,302,0,0,0,0,0,0,21374,14400,3510,3464,0
76,373,15.206166,15.095706,7.202164,0.000000,8.476333,8.356665,0.119544,0.017750,0.007209,0.613750,654,8107121,125436,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
77,374,18.140500,18.027750,18.034973,0.000000,0.000334,0.000000,0.000000,0.016292,0.006375,1.012208,659,8102610,139524,0,302,0,302,0,0,0,0,0,0,20602,14400,3510,2692,0
78,375,15.232542,15.120032,7.270907,0.000000,8.314083,8.249123,0.064751,0.031958,0.009584,0.904375,651,8107223,128708,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
79,376,18.769333,18.655707,18.657452,0.000000,0.000334,0.000000,0.000000,0.040042,0.012292,0.613833,665,8102536,133650,0,302,0,302,0,0,0,0,0,0,22262,14400,4680,3182,0
80,377,14.505667,14.395874,7.398915,0.000000,7.730417,7.639082,0.091127,0.019458,0.007792,1.232583,651,8107141,127387,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
81,378,18.056083,17.943531,17.941043,0.000000,0.000292,0.000000,0.000000,0.019084,0.007375,0.612625,657,8102638,136911,0,302,0,302,0,0,0,0,0,0,20422,14400,3510,2512,0
82,379,15.384334,15.273237,7.111910,0.000000,8.689251,8.569998,0.119086,0.017166,0.006542,0.740875,660,8107085,121484,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
83,380,18.070458,17.956411,17.963705,0.000000,0.000210,0.000000,0.000000,0.016917,0.006208,1.218875,659,8102603,135620,0,302,0,302,0,0,0,0,0,0,20251,14400,3510,2341,0
84,381,15.191083,15.077647,7.140722,0.000000,8.448583,8.388916,0.059543,0.016209,0.006041,0.504583,651,8107252,124791,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
85,382,18.055542,17.942289,17.944445,0.000000,0.000208,0.000000,0.000000,0.022125,0.008000,1.215792,667,8102464,130787,0,302,0,302,0,0,0,0,0,0,22707,14400,4680,3627,0
86,383,15.339375,15.228711,7.024922,0.000000,8.696998,8.604998,0.091918,0.017458,0.007292,0.625917,650,8107222,123491,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
