frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
5322,48123,24.040125,23.540293,23.585997,0.000000,0.000833,0.000000,0.000000,0.075625,0.017292,1.023208,2070,8107271,137520,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5323,48124,23.674542,23.188558,23.233013,0.000000,0.000460,0.000000,0.000000,0.072583,0.026333,1.244209,2112,8107254,136201,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5324,48125,24.106250,23.636970,23.573493,0.000000,0.000626,0.000000,0.000000,0.077375,0.028916,1.211918,2030,8107101,135010,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5325,48126,23.661208,23.180562,23.211632,0.000000,0.000542,0.000000,0.000000,0.062875,0.027833,0.936500,2086,8107225,137206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5326,48127,23.373708,22.893908,22.924274,0.000000,0.004541,0.000000,0.000000,0.080500,0.014209,1.268500,2084,8107254,135374,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5327,48128,23.403500,22.937388,22.980504,0.000000,0.000624,0.000000,0.000000,0.069542,0.014000,1.242876,2039,8107184,135898,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5328,48129,23.427042,22.950951,22.991437,0.000000,0.000374,0.000000,0.000000,0.080625,0.014542,1.247792,2042,8107173,135813,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5329,48130,24.101667,23.610962,23.641990,0.000000,0.000417,0.000000,0.000000,0.075458,0.014375,1.552500,2123,8107341,136691,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5330,48131,23.950541,23.472815,23.521966,0.000000,0.000542,0.000000,0.000000,0.095209,0.014666,1.062625,2061,8106992,135666,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5331,48132,23.495375,23.021251,23.065172,0.000000,0.000501,0.000000,0.000000,0.068167,0.014375,1.244166,2065,8107279,135421,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5332,48133,23.564584,23.085118,23.126256,0.000000,0.001208,0.000000,0.000000,0.109916,0.018625,0.752083,2055,8107263,134264,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
5333,48134,26.579125,26.063124,26.118149,0.000000,0.000875,0.000000,0.000000,0.103333,0.016333,1.560084,2094,8106978,138276,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
5334,48135,27.272125,26.737560,26.792134,0.000000,0.000710,0.000000,0.000000,0.103541,0.015584,0.989999,2054,8107295,135752,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5335,48136,27.248125,26.729855,26.664305,0.000000,0.003458,0.000000,0.000000,0.105958,0.026708,1.250917,2054,8107006,133593,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5336,48137,26.202666,25.681214,25.714414,0.000000,0.000667,0.000000,0.000000,0.081334,0.024500,1.063501,2067,8107293,137003,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5337,48138,26.109667,25.574160,25.605046,0.000000,0.000916,0.000000,0.000000,0.077792,0.019791,1.276458,2070,8107275,137004,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5338,48139,25.098833,24.588411,24.625646,0.000000,0.000709,0.000000,0.000000,0.080584,0.015541,1.248833,2031,8107011,133968,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5339,48140,25.961500,25.424279,25.475135,0.000000,0.000458,0.000000,0.000000,0.069917,0.016167,1.868584,2093,8107272,137565,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5340,48141,25.098250,24.584273,24.637630,0.000000,0.000375,0.000000,0.000000,0.077625,0.014917,1.251667,2011,8107250,134864,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5341,48142,26.083334,25.553709,25.577165,0.000000,0.000416,0.000000,0.000000,0.094500,0.030958,0.901833,2037,8107044,134638,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5342,48143,27.299125,26.761628,26.713164,0.000000,0.000501,0.000000,0.000000,0.086333,0.017250,1.233208,2080,8107237,137013,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5343,48144,26.054541,25.523512,25.530210,0.000000,0.000709,0.000000,0.000000,0.080334,0.015916,0.992667,2053,8107275,135826,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5344,48145,25.144500,24.628567,24.656007,0.000000,0.000542,0.000000,0.000000,0.069834,0.015791,1.636291,2015,8107073,132638,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5345,48146,26.448417,25.913029,25.961009,0.000000,0.000500,0.000000,0.000000,0.070333,0.017042,1.284041,2113,8107245,139142,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5346,48147,23.977458,23.500012,23.501816,0.000000,0.000500,0.000000,0.000000,0.079542,0.016833,0.947042,2057,8107239,135434,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5347,48148,23.817375,23.326241,23.362584,0.000000,0.000499,0.000000,0.000000,0.099334,0.019291,1.605250,1993,8107047,132978,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5348,48149,24.843334,24.362886,24.360453,0.000000,0.000751,0.000000,0.000000,0.076833,0.017250,1.259125,2093,8107287,138124,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5349,48150,26.342583,25.818967,25.801257,0.000000,0.000501,0.000000,0.000000,0.084208,0.017500,0.597417,2070,8107232,136351,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5350,48151,25.307750,24.797985,24.853999,0.000000,0.000624,0.000000,0.000000,0.060125,0.014083,1.672667,2018,8107027,133364,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5351,48152,23.853833,23.369419,23.409318,0.000000,0.000293,0.000000,0.000000,0.054750,0.015250,1.225709,2088,8107295,137680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5352,48153,23.542709,23.073527,23.093729,0.000000,0.000625,0.000000,0.000000,0.066416,0.015000,1.307458,2040,8107221,135126,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5353,48154,23.393666,22.924934,22.970886,0.000000,0.000500,0.000000,0.000000,0.061792,0.015750,1.293750,2029,8107058,134495,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5354,48155,23.731625,23.247580,23.288180,0.000000,0.000541,0.000000,0.000000,0.067542,0.022000,1.889750,2095,8107265,137120,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5355,48156,23.575334,23.092869,23.133810,0.000000,0.000666,0.000000,0.000000,0.069291,0.020125,1.314291,2077,8107249,135522,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5356,48157,23.931666,23.456931,23.501614,0.000000,0.000501,0.000000,0.000000,0.053750,0.015792,1.274792,1996,8107071,132626,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5357,48158,24.505292,24.013812,24.054717,0.000000,0.000417,0.000000,0.000000,0.059167,0.015041,1.284584,2113,8107238,139132,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5358,48159,23.517000,23.034902,23.066550,0.000000,0.000500,0.000000,0.000000,0.055292,0.014583,1.664958,2106,8107266,135830,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5359,48160,23.225000,22.758022,22.806571,0.000000,0.000333,0.000000,0.000000,0.058417,0.014083,1.265375,2019,8107049,133711,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5360,48161,23.409250,22.931579,22.976098,0.000000,0.000458,0.000000,0.000000,0.049500,0.013333,1.238999,2066,8107237,136693,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5361,48162,23.947542,23.459320,23.488820,0.000000,0.000415,0.000000,0.000000,0.072458,0.034417,1.252374,2137,8107268,136847,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5362,48163,23.122791,22.665091,22.698414,0.000000,0.000542,0.000000,0.000000,0.068750,0.026542,1.238083,2000,8107053,133202,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5363,48164,25.518625,25.005913,25.050427,0.000000,0.000499,0.000000,0.000000,0.057334,0.015000,1.585625,2098,8107267,137799,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5364,48165,23.120750,22.631365,22.687890,0.000000,0.000416,0.000000,0.000000,0.054000,0.022125,1.257834,2085,8107236,135287,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5365,48166,24.066167,23.582652,23.520458,0.000000,0.000457,0.000000,0.000000,0.056042,0.014916,1.117499,2044,8107065,134770,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5366,48167,23.883292,23.399271,23.447306,0.000000,0.000418,0.000000,0.000000,0.057125,0.015041,0.919042,2081,8107230,136903,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5367,48168,23.223000,22.729717,22.781282,0.000000,0.000460,0.000000,0.000000,0.053000,0.016666,1.849208,2089,8107286,135541,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5368,48169,22.975500,22.516826,22.559365,0.000000,0.000625,0.000000,0.000000,0.063250,0.020083,1.221792,2007,8107097,132725,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5369,48170,24.505458,23.996074,24.039459,0.000000,0.000625,0.000000,0.000000,0.074542,0.015541,1.233417,2115,8107185,139176,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5370,48171,24.353667,23.853943,23.891778,0.000000,0.000417,0.000000,0.000000,0.058916,0.015125,1.275251,2088,8107298,135341,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5371,48172,23.101333,22.629898,22.685143,0.000000,0.000419,0.000000,0.000000,0.061292,0.015208,1.645958,2025,8107036,133692,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5372,48173,23.147917,22.673418,22.718065,0.000000,0.000460,0.000000,0.000000,0.065208,0.018750,1.319042,2062,8107235,136741,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5373,48174,23.997166,23.488191,23.528515,0.000000,0.000541,0.000000,0.000000,0.066042,0.020375,1.345709,2141,8107001,137294,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
5374,48175,22.485584,22.033777,22.058211,0.000000,0.000415,0.000000,0.000000,0.051250,0.021208,1.237333,2019,8106924,134053,0,2,0,2,0,0,0,0,0,0,7465,0,4680,2785,0
5375,48176,25.842250,25.350383,25.352464,0.000000,0.000416,0.000000,0.000000,0.058666,0.023584,1.807500,2091,8107193,145703,0,2,0,2,0,0,0,0,0,0,5565,0,3510,2055,0
5376,48177,28.430125,27.873883,27.891109,0.000000,0.000752,0.000000,0.000000,0.053583,0.022708,1.257833,2183,8107235,143914,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5377,48178,24.569625,24.063859,24.052641,0.000000,0.000625,0.000000,0.000000,0.060166,0.023834,0.918291,2147,8107084,133495,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5378,48179,23.383916,22.890486,22.933998,0.000000,0.000375,0.000000,0.000000,0.047959,0.017958,1.839001,2124,8107220,132535,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5379,48180,23.042625,22.572195,22.616227,0.000000,0.001292,0.000000,0.000000,0.062042,0.020958,1.239251,2034,8107264,130211,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5380,48181,24.040417,23.540028,23.585640,0.000000,0.000374,0.000000,0.000000,0.057667,0.013666,1.284291,2123,8107061,137298,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5381,48182,24.208917,23.713720,23.739452,0.000000,0.000667,0.000000,0.000000,0.058166,0.017917,1.290000,2136,8107247,137516,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5382,48183,24.190166,23.697910,23.723260,0.000000,0.000541,0.000000,0.000000,0.082084,0.016000,1.617958,2133,8107256,135994,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5383,48184,25.144959,24.625697,24.552702,0.000000,0.000793,0.000000,0.000000,0.110333,0.017208,1.321166,2091,8107036,135830,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5384,48185,23.941708,23.493211,23.511619,0.000000,0.000499,0.000000,0.000000,0.070708,0.019417,1.287542,2046,8107261,134226,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5385,48186,23.539458,23.051027,23.099044,0.000000,0.000376,0.000000,0.000000,0.053959,0.016458,1.294249,2096,8107357,133843,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
5386,48187,23.500250,23.023166,23.061635,0.000000,0.000501,0.000000,0.000000,0.053125,0.012750,1.735126,2052,8106986,134325,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
5387,48188,23.457000,22.984492,23.007111,0.000000,0.000415,0.000000,0.000000,0.070000,0.016500,1.112208,2052,8107235,134093,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5388,48189,23.195834,22.731668,22.766011,0.000000,0.000417,0.000000,0.000000,0.066291,0.014542,0.957167,2006,8107129,130922,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5389,48190,25.011041,24.525940,24.513749,0.000000,0.000625,0.000000,0.000000,0.068584,0.014083,1.299917,2081,8107158,137169,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5390,48191,23.686959,23.218070,23.220503,0.000000,0.000335,0.000000,0.000000,0.051583,0.020792,1.220667,2034,8107274,133358,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5391,48192,23.383125,22.918672,22.951830,0.000000,0.000543,0.000000,0.000000,0.055000,0.014708,1.134958,2015,8107050,131498,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
5392,48193,24.383083,23.900155,23.930254,0.000000,0.000666,0.000000,0.000000,0.055667,0.018583,1.171791,2062,8107256,135768,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
