frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
796,48123,23.866708,23.424256,22.695176,0.000000,0.001042,0.000000,0.000000,0.099542,0.015500,0.764792,2076,8107267,137520,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
797,48124,21.634083,21.180374,21.219047,0.000000,0.000499,0.000000,0.000000,0.090542,0.015875,0.665834,2109,8107250,136206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
798,48125,21.492334,21.055255,21.094762,0.000000,0.000458,0.000000,0.000000,0.085875,0.019125,0.973459,2035,8107105,135012,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
799,48126,22.891208,22.419915,22.456625,0.000000,0.000376,0.000000,0.000000,0.099458,0.015417,1.166375,2093,8107324,137207,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
800,48127,22.669250,22.197979,22.231914,0.000000,0.000499,0.000000,0.000000,0.066542,0.013416,1.031000,2090,8107185,135366,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
801,48128,22.431458,21.972815,22.012119,0.000000,0.000416,0.000000,0.000000,0.075750,0.016417,1.664709,2041,8107268,135900,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
802,48129,21.546667,21.103486,21.146917,0.000000,0.000458,0.000000,0.000000,0.065417,0.014750,1.288667,2042,8107072,135808,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
803,48130,22.196167,21.734271,21.777436,0.000000,0.000417,0.000000,0.000000,0.078875,0.016083,1.335875,2121,8107262,136698,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
804,48131,22.995625,22.522769,22.569095,0.000000,0.000542,0.000000,0.000000,0.066375,0.013750,1.297958,2058,8107034,135663,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
805,48132,22.899750,22.420695,22.459061,0.000000,0.000334,0.000000,0.000000,0.066208,0.015625,1.297917,2067,8107262,135420,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
806,48133,22.328916,21.874101,21.911619,0.000000,0.000500,0.000000,0.000000,0.081417,0.014917,1.304042,2058,8107322,134270,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
807,48134,23.079917,22.603569,22.656608,0.000000,0.000540,0.000000,0.000000,0.079375,0.015042,1.301834,2089,8106992,138269,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
808,48135,22.022958,21.578168,21.608108,0.000000,0.000707,0.000000,0.000000,0.073709,0.015250,1.269416,2054,8107260,135758,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
809,48136,22.983209,22.510972,22.548091,0.000000,0.000374,0.000000,0.000000,0.081208,0.013750,0.934041,2056,8107086,133600,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
810,48137,23.165208,22.692113,22.740113,0.000000,0.000542,0.000000,0.000000,0.064458,0.013209,1.562542,2065,8107201,136998,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
811,48138,23.025000,22.550669,22.587935,0.000000,0.000665,0.000000,0.000000,0.072875,0.018708,1.224959,2069,8107254,136992,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
812,48139,22.874542,22.425093,21.730532,0.000000,0.000458,0.000000,0.000000,0.068291,0.014292,1.225916,2027,8107074,133969,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
