frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
4377,48123,23.601125,23.125175,23.159566,0.000000,0.000292,0.000000,0.000000,0.064208,0.013417,0.917126,2070,8107271,137520,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4378,48124,22.884833,22.388108,22.441488,0.000000,0.000250,0.000000,0.000000,0.071625,0.015417,1.903166,2112,8107254,136201,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4379,48125,21.401709,20.971469,21.001984,0.000000,0.000333,0.000000,0.000000,0.063875,0.022958,1.317458,2030,8107101,135010,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
4380,48126,22.991500,22.527454,22.555618,0.000000,0.000585,0.000000,0.000000,0.070125,0.017916,1.250499,2086,8107225,137206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4381,48127,23.459583,22.982162,23.017500,0.000000,0.000625,0.000000,0.000000,0.071292,0.014416,1.254875,2084,8107254,135374,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4382,48128,23.093708,22.622635,22.669027,0.000000,0.000334,0.000000,0.000000,0.070459,0.015166,1.261208,2039,8107184,135898,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
4383,48129,23.516334,23.041576,23.077778,0.000000,0.000790,0.000000,0.000000,0.088916,0.026750,0.900833,2042,8107173,135813,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4384,48130,26.192083,25.675309,25.485621,0.000000,0.001168,0.000000,0.000000,0.122667,0.026333,1.227208,2123,8107341,136691,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4385,48131,25.578417,25.060987,24.859972,0.000000,0.000499,0.000000,0.000000,0.138625,0.020083,0.633334,2061,8106992,135666,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
4386,48132,24.777541,24.225210,24.132884,0.000000,0.000626,0.000000,0.000000,0.093417,0.070958,1.222084,2065,8107279,135421,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4387,48133,29.217875,28.668534,27.679840,0.000000,0.000999,0.000000,0.000000,0.141209,0.021750,0.638542,2055,8107263,134264,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
4388,48134,27.850042,27.322909,27.356501,0.000000,0.000874,0.000000,0.000000,0.102167,0.017708,1.332792,2094,8106978,138276,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
4389,48135,26.746208,26.228145,26.241707,0.000000,0.001459,0.000000,0.000000,0.085834,0.019416,1.296750,2054,8107295,135752,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4390,48136,25.461792,24.947250,24.916186,0.000000,0.000709,0.000000,0.000000,0.087458,0.018167,1.572875,2054,8107006,133593,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
4391,48137,25.817542,25.293488,25.338465,0.000000,0.000459,0.000000,0.000000,0.089666,0.021834,1.236584,2067,8107293,137003,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4392,48138,26.392541,25.860785,25.852332,0.000000,0.000625,0.000000,0.000000,0.082584,0.016666,1.898459,2070,8107275,137004,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4393,48139,25.414459,24.862563,24.900865,0.000000,0.000501,0.000000,0.000000,0.078708,0.016125,1.275916,2031,8107011,133968,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
4394,48140,24.864458,24.344621,24.389579,0.000000,0.000334,0.000000,0.000000,0.068542,0.016333,1.263874,2093,8107272,137565,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4395,48141,23.019875,22.545199,22.584732,0.000000,0.000501,0.000000,0.000000,0.076208,0.014209,1.554125,2011,8107250,134864,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4396,48142,23.099292,22.623864,22.657688,0.000000,0.000543,0.000000,0.000000,0.073375,0.014833,1.284542,2037,8107044,134638,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
