frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
1055,48123,22.842583,22.386123,22.282383,0.000000,0.000250,0.000000,0.000000,0.081625,0.020625,1.279792,2076,8107240,137519,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1056,48124,23.415959,22.929720,22.933320,0.000000,0.000584,0.000000,0.000000,0.075958,0.026292,1.285875,2108,8107292,136201,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1057,48125,23.555750,23.084797,23.106884,0.000000,0.000458,0.000000,0.000000,0.067125,0.016208,0.916917,2030,8107051,135017,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1058,48126,22.854458,22.381365,22.418503,0.000000,0.000627,0.000000,0.000000,0.077875,0.016458,1.867540,2092,8107324,137207,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1059,48127,21.732750,21.293709,21.329900,0.000000,0.000584,0.000000,0.000000,0.080042,0.015791,1.298917,2092,8107188,135367,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1060,48128,22.157167,21.718024,21.747924,0.000000,0.000417,0.000000,0.000000,0.082000,0.029250,1.251750,2039,8107265,135899,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1061,48129,22.568500,22.126009,22.161871,0.000000,0.000499,0.000000,0.000000,0.076166,0.015542,1.259791,2039,8107091,135809,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1062,48130,21.931916,21.481279,21.520725,0.000000,0.000375,0.000000,0.000000,0.078000,0.015000,1.273459,2126,8107249,136698,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1063,48131,21.717875,21.276412,21.324623,0.000000,0.000457,0.000000,0.000000,0.066959,0.015833,1.228000,2059,8107162,135663,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1064,48132,22.015667,21.572224,21.594187,0.000000,0.000625,0.000000,0.000000,0.074292,0.020708,1.260833,2066,8107137,135419,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1065,48133,21.386750,20.952367,20.991001,0.000000,0.000375,0.000000,0.000000,0.078125,0.015083,1.253833,2058,8107376,134272,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
1066,48134,23.154958,22.695447,22.728339,0.000000,0.000501,0.000000,0.000000,0.070750,0.021167,1.280624,2088,8106946,138267,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
1067,48135,22.041125,21.593337,21.636045,0.000000,0.000500,0.000000,0.000000,0.069417,0.014583,1.253417,2054,8107260,135758,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1068,48136,21.531667,21.090559,21.135822,0.000000,0.000293,0.000000,0.000000,0.070750,0.016000,0.968917,2056,8107086,133600,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1069,48137,21.886750,21.449379,21.487891,0.000000,0.000332,0.000000,0.000000,0.068042,0.020875,0.940334,2065,8107201,136998,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1070,48138,21.831500,21.380408,21.414922,0.000000,0.000376,0.000000,0.000000,0.068917,0.018750,0.941708,2069,8107285,136993,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1071,48139,22.561292,22.128813,21.629615,0.000000,0.000500,0.000000,0.000000,0.082583,0.016708,0.943874,2027,8107043,133968,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1072,48140,23.232416,22.764782,22.809467,0.000000,0.000416,0.000000,0.000000,0.068084,0.019916,1.929209,2091,8107233,137567,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1073,48141,24.923417,24.424932,24.353259,0.000000,0.000583,0.000000,0.000000,0.131792,0.024250,0.981959,2016,8107298,134872,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1074,48142,22.115125,21.696229,21.714479,0.000000,0.000500,0.000000,0.000000,0.083667,0.019416,1.331333,2034,8107027,134640,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1075,48143,22.244500,21.803696,21.829844,0.000000,0.000375,0.000000,0.000000,0.069292,0.017416,0.957667,2087,8107484,137009,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1076,48144,22.046417,21.588342,21.607120,0.000000,0.000626,0.000000,0.000000,0.079250,0.017291,0.960750,2059,8107020,135827,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1077,48145,23.072750,22.611793,22.620174,0.000000,0.000707,0.000000,0.000000,0.090000,0.015333,0.958458,2012,8107093,132623,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1078,48146,23.504958,23.035842,23.081354,0.000000,0.000458,0.000000,0.000000,0.079333,0.026542,1.591459,2110,8107219,139150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1079,48147,21.810583,21.374413,21.400520,0.000000,0.000542,0.000000,0.000000,0.069250,0.017459,1.232750,2053,8107247,135442,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1080,48148,21.270042,20.848727,20.888096,0.000000,0.000334,0.000000,0.000000,0.074417,0.029958,0.746125,1993,8107052,132981,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1081,48149,24.315500,23.850987,23.890675,0.000000,0.001000,0.000000,0.000000,0.088958,0.017625,1.242084,2088,8107330,138115,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1082,48150,25.408458,24.918490,24.958687,0.000000,0.001082,0.000000,0.000000,0.117125,0.023584,1.287000,2072,8107179,136347,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1083,48151,24.095584,23.632155,23.676117,0.000000,0.001041,0.000000,0.000000,0.065541,0.018042,1.751542,2019,8107042,133363,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1084,48152,23.832541,23.353715,23.396306,0.000000,0.000500,0.000000,0.000000,0.061250,0.016125,1.084459,2092,8107266,137692,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1085,48153,23.503084,23.035695,23.068838,0.000000,0.000500,0.000000,0.000000,0.055500,0.014875,0.962416,2037,8107253,135127,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1086,48154,23.273458,22.806208,22.852768,0.000000,0.000500,0.000000,0.000000,0.069750,0.017250,1.320292,2028,8107057,134474,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1087,48155,23.471208,22.990777,23.027354,0.000000,0.000500,0.000000,0.000000,0.060542,0.017583,1.309958,2096,8107247,137139,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1088,48156,22.956625,22.480092,22.521120,0.000000,0.000333,0.000000,0.000000,0.051459,0.014750,0.962458,2078,8107274,135521,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1089,48157,22.795417,22.333812,22.375683,0.000000,0.000333,0.000000,0.000000,0.073583,0.023375,1.796916,1996,8107108,132621,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1090,48158,23.903500,23.424241,23.470866,0.000000,0.000375,0.000000,0.000000,0.050125,0.014750,1.291042,2112,8107191,139127,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1091,48159,23.160500,22.677946,22.722171,0.000000,0.000667,0.000000,0.000000,0.061292,0.015458,1.288083,2111,8107258,135841,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
1092,48160,22.899667,22.436552,22.478990,0.000000,0.000418,0.000000,0.000000,0.061166,0.014959,1.280792,2018,8107171,133709,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
1093,48161,23.097291,22.629419,22.637586,0.000000,0.000541,0.000000,0.000000,0.068584,0.014916,1.259375,2067,8107121,136699,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
