frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
2137,48123,22.176375,21.739182,21.765429,0.000000,0.000248,0.000000,0.000000,0.075209,0.016375,1.602334,2070,8107271,137520,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2138,48124,22.165417,21.717395,21.753458,0.000000,0.000499,0.000000,0.000000,0.062167,0.015375,1.322208,2112,8107254,136201,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2139,48125,21.549375,21.118415,21.168346,0.000000,0.000375,0.000000,0.000000,0.061750,0.014625,1.279333,2030,8107101,135010,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2140,48126,20.763750,20.343708,20.363427,0.000000,0.000417,0.000000,0.000000,0.059000,0.021917,1.272541,2086,8107225,137206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2141,48127,20.697500,20.285144,20.305587,0.000000,0.000917,0.000000,0.000000,0.081333,0.019375,0.975167,2084,8107254,135374,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2142,48128,22.037292,21.604455,21.637694,0.000000,0.000626,0.000000,0.000000,0.079083,0.016542,0.588625,2039,8107184,135898,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2143,48129,21.816375,21.375158,21.422679,0.000000,0.000375,0.000000,0.000000,0.078291,0.020750,1.240541,2042,8107173,135813,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2144,48130,21.890041,21.445236,21.484311,0.000000,0.000291,0.000000,0.000000,0.072334,0.019125,1.220042,2123,8107341,136691,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2145,48131,21.299459,20.868802,20.905069,0.000000,0.000460,0.000000,0.000000,0.067458,0.016583,1.223541,2061,8106992,135666,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2146,48132,20.958333,20.516847,20.553284,0.000000,0.000416,0.000000,0.000000,0.057333,0.018292,1.251500,2065,8107279,135421,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2147,48133,20.393958,19.972077,20.010711,0.000000,0.000208,0.000000,0.000000,0.058875,0.015750,1.222376,2055,8107263,134264,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
2148,48134,20.435292,20.007999,20.047246,0.000000,0.000875,0.000000,0.000000,0.055333,0.014000,0.612334,2094,8106978,138276,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
2149,48135,19.877500,19.467076,19.509678,0.000000,0.000333,0.000000,0.000000,0.070708,0.015500,1.261750,2054,8107295,135752,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2150,48136,19.904875,19.506520,19.541100,0.000000,0.000417,0.000000,0.000000,0.065333,0.015417,0.931958,2054,8107006,133593,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2151,48137,21.015708,20.604104,20.600483,0.000000,0.000292,0.000000,0.000000,0.067167,0.015125,1.223042,2067,8107293,137003,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2152,48138,20.177959,19.765948,19.793227,0.000000,0.000251,0.000000,0.000000,0.060916,0.015417,1.221250,2070,8107275,137004,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2153,48139,19.826708,19.430005,19.455417,0.000000,0.000250,0.000000,0.000000,0.060125,0.013917,1.224084,2031,8107011,133968,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2154,48140,20.024667,19.613005,19.652047,0.000000,0.000292,0.000000,0.000000,0.053583,0.014708,1.056709,2093,8107272,137565,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2155,48141,19.426208,19.030770,18.968652,0.000000,0.000459,0.000000,0.000000,0.073042,0.019333,1.057208,2011,8107250,134864,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2156,48142,20.536417,20.133145,20.169991,0.000000,0.000668,0.000000,0.000000,0.083041,0.016542,1.066500,2037,8107044,134638,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2157,48143,19.902916,19.493657,19.521298,0.000000,0.000417,0.000000,0.000000,0.064334,0.016250,0.639000,2080,8107237,137013,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2158,48144,18.646834,18.269457,18.306404,0.000000,0.000333,0.000000,0.000000,0.069291,0.016292,0.926041,2053,8107275,135826,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2159,48145,18.107791,17.735357,17.772115,0.000000,0.000166,0.000000,0.000000,0.057292,0.012958,0.924251,2015,8107073,132638,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2160,48146,19.052375,18.666788,18.702831,0.000000,0.000166,0.000000,0.000000,0.056459,0.014375,1.258208,2113,8107245,139142,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2161,48147,18.410792,18.033592,18.070515,0.000000,0.000248,0.000000,0.000000,0.052542,0.015833,0.626500,2057,8107239,135434,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2162,48148,18.715083,18.349146,18.380799,0.000000,0.001083,0.000000,0.000000,0.066042,0.013792,0.899208,1993,8107047,132978,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2163,48149,19.194042,18.806148,18.847676,0.000000,0.000624,0.000000,0.000000,0.059792,0.016166,1.304251,2093,8107287,138124,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2164,48150,18.907417,18.529761,18.538529,0.000000,0.000293,0.000000,0.000000,0.050250,0.012541,1.217375,2070,8107232,136351,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2165,48151,18.140500,17.761461,17.798352,0.000000,0.000291,0.000000,0.000000,0.053291,0.012209,0.608083,2018,8107027,133364,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2166,48152,18.633166,18.250518,18.287867,0.000000,0.000334,0.000000,0.000000,0.053000,0.011667,0.901125,2088,8107295,137680,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2167,48153,18.229375,17.853298,17.888593,0.000000,0.000294,0.000000,0.000000,0.059209,0.012958,1.222375,2040,8107221,135126,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2168,48154,18.322167,17.952436,17.988313,0.000000,0.000207,0.000000,0.000000,0.063458,0.013375,1.225667,2029,8107058,134495,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2169,48155,19.042750,18.660242,18.696931,0.000000,0.000293,0.000000,0.000000,0.066292,0.028083,0.607542,2095,8107265,137120,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2170,48156,19.268583,18.890807,18.914474,0.000000,0.000375,0.000000,0.000000,0.066750,0.021334,0.596541,2077,8107249,135522,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2171,48157,18.773167,18.407815,18.428593,0.000000,0.000709,0.000000,0.000000,0.050792,0.014708,0.954666,1996,8107071,132626,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2172,48158,19.891000,19.501397,19.525377,0.000000,0.000417,0.000000,0.000000,0.046833,0.013417,1.290583,2113,8107238,139132,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2173,48159,19.107583,18.706634,18.738772,0.000000,0.000501,0.000000,0.000000,0.052625,0.019959,1.276458,2106,8107266,135830,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2174,48160,18.883042,18.515431,18.538561,0.000000,0.000249,0.000000,0.000000,0.060667,0.022458,0.671084,2019,8107049,133711,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2175,48161,19.442417,19.058855,19.028900,0.000000,0.000500,0.000000,0.000000,0.052125,0.014041,1.001333,2066,8107237,136693,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2176,48162,20.499291,20.071929,20.079460,0.000000,0.000708,0.000000,0.000000,0.053167,0.017375,1.170416,2137,8107268,136847,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2177,48163,19.896209,19.495135,19.529430,0.000000,0.000209,0.000000,0.000000,0.059083,0.016458,1.123124,2000,8107053,133202,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
2178,48164,22.085375,21.650001,21.438495,0.000000,0.000625,0.000000,0.000000,0.066041,0.020292,0.958500,2098,8107267,137799,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2179,48165,20.502416,20.080248,20.114692,0.000000,0.000584,0.000000,0.000000,0.066417,0.018375,1.272751,2085,8107236,135287,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
2180,48166,21.063917,20.650810,20.686450,0.000000,0.000624,0.000000,0.000000,0.053917,0.016000,0.955417,2044,8107065,134770,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
