frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.751292,0.024333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3232.995417,2980.949965,2054.407806,0.000000,1035.100367,1005.829671,29.267528,0.135875,0.472542,124.173496,124707,1463293660,101941009,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,17.071917,16.990464,6.956548,0.000000,11.005876,9.882835,1.123041,0.059083,0.149792,0.299541,628,8107333,89928,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1652.991875,1642.660286,1032.209089,0.000000,643.367827,629.553862,13.813590,0.060500,0.022041,71.284834,62926,802614628,50973187,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,15.383208,15.273130,7.790462,0.000000,8.261375,8.252374,0.008918,0.042875,0.124583,0.607792,649,8107230,177113,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,16.729875,16.619260,16.411829,0.000000,0.991626,0.990875,0.000668,0.042958,0.123500,0.652500,663,8102634,182114,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,16.724792,16.618496,7.066395,0.000000,9.588999,9.076084,0.512707,0.039125,0.034791,0.667208,657,8107045,166483,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,16.552125,16.436177,16.261301,0.000000,1.076334,1.075750,0.000501,0.041458,0.201625,0.620917,663,8102599,185401,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,16.738750,16.627325,7.479914,0.000000,9.177917,8.977458,0.200376,0.032000,0.129666,0.459042,650,8107221,169785,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,16.708791,16.599136,16.349665,0.000000,0.822040,0.821541,0.000416,0.037375,0.102417,1.035208,669,8102423,175961,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,16.635167,16.526615,7.455412,0.000000,9.293667,8.990083,0.303459,0.033875,0.147417,0.306166,650,8107257,173795,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,16.728667,16.619578,16.440202,0.000000,0.442750,0.435666,0.006959,0.047000,0.101708,1.296709,670,8102642,179129,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,16.715250,16.607882,7.939154,0.000000,9.207709,8.888709,0.318916,0.041250,0.098625,0.676292,659,8107053,166665,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,16.641916,16.527930,16.350679,0.000000,0.739501,0.733874,0.005543,0.040084,0.122916,0.607666,660,8102626,183685,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,17.812959,17.704607,7.269134,0.000000,10.390250,8.943500,1.446584,0.041000,0.011083,0.610208,652,8107221,166640,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,15.600541,15.491320,15.422885,0.000000,0.042208,0.041667,0.000083,0.036542,0.073208,0.304125,671,8102426,177155,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,17.611584,17.501687,6.730398,0.000000,10.745292,9.189875,1.555292,0.039166,0.011125,0.601374,650,8107277,169236,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,15.711750,15.606387,15.481135,0.000000,0.650582,0.650096,0.000278,0.039583,0.092583,0.312125,660,8102626,175884,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,16.672875,16.565623,7.678536,0.000000,9.762582,9.211917,0.550624,0.054666,0.094209,0.606083,661,8107051,163329,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,16.655708,16.542910,16.307240,0.000000,1.480332,1.479999,0.000250,0.032167,0.175791,0.288375,661,8102627,179280,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,17.753333,17.652873,6.850831,0.000000,10.745541,9.192708,1.552667,0.032667,0.009833,0.606707,658,8107117,160737,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,15.607125,15.498863,15.402497,0.000000,0.648169,0.645015,0.003028,0.032625,0.179292,0.370125,660,8102559,174117,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,17.623000,17.515344,6.731626,0.000000,10.747668,9.189833,1.557709,0.028250,0.006959,0.687709,647,8107239,165310,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,15.762417,15.657209,15.587991,0.000000,0.820583,0.819929,0.000279,0.037625,0.121500,0.653375,665,8102452,167211,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,17.592125,17.486078,6.687161,0.000000,10.773833,9.208584,1.565125,0.035667,0.013333,0.306792,653,8107221,164005,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,15.810250,15.697198,15.568040,0.000000,0.876917,0.862597,0.014153,0.029667,0.113666,0.811333,660,8102639,175106,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,323,17.044792,16.943373,6.725297,0.000000,10.181623,9.242541,0.939000,0.026541,0.009292,0.457208,657,8107058,153423,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,324,16.260916,16.151816,15.887958,0.000000,1.388583,1.387917,0.000583,0.035334,0.151750,0.924708,659,8102593,173167,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,325,17.614459,17.509259,6.629094,0.000000,10.847876,9.261416,1.586376,0.027708,0.008917,0.629666,651,8107252,161390,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,326,15.810000,15.693837,15.502953,0.000000,0.990999,0.985624,0.005292,0.032458,0.098667,0.307292,667,8102461,163140,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,327,17.791208,17.687721,6.630683,0.000000,11.062542,9.681417,1.380958,0.026750,0.007958,0.761125,652,8107221,160091,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,328,15.542208,15.432334,15.365879,0.000000,0.605625,0.605180,0.000278,0.032375,0.127750,0.447042,659,8102641,171529,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,329,17.638459,17.533382,6.556992,0.000000,10.933875,9.321416,1.612334,0.043041,0.010917,0.916543,658,8107049,149575,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,330,15.731375,15.621927,15.448002,0.000000,0.969542,0.968556,0.000653,0.029583,0.146375,0.300834,662,8102594,168886,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,331,17.604125,17.494588,6.808456,0.000000,10.661500,9.137916,1.523417,0.030541,0.009667,0.634001,650,8107257,157478,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,332,15.756916,15.649305,15.477154,0.000000,1.162624,1.162179,0.000237,0.028209,0.131500,0.331166,665,8102470,158217,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,333,17.615875,17.507033,6.568608,0.000000,10.918543,9.308334,1.610042,0.033292,0.009375,0.912625,649,8107217,156174,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,334,15.788667,15.678250,15.437985,0.000000,0.798792,0.784264,0.014153,0.045375,0.096042,0.902250,660,8102638,166469,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,335,17.659042,17.554779,6.574879,0.000000,10.917709,9.308458,1.609126,0.026541,0.008542,0.446625,656,8107076,145847,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,336,15.719666,15.603392,15.439220,0.000000,0.434457,0.412347,0.021944,0.040834,0.096833,0.585792,662,8102611,164598,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,337,17.513250,17.408923,6.564466,0.000000,10.798708,9.230249,1.568334,0.028667,0.025208,0.624583,651,8107237,153558,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,338,15.872584,15.761368,15.630164,0.000000,1.019625,1.019249,0.000334,0.028833,0.065292,0.731833,668,8102467,157550,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,339,16.697791,16.596207,6.535910,0.000000,10.074332,9.329791,0.744458,0.031334,0.046833,0.527250,653,8107213,156358,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,340,16.635000,16.524993,16.331062,0.000000,1.670083,1.669291,0.000667,0.041417,0.105917,0.603625,662,8102622,166801,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,341,16.645084,16.536158,6.538077,0.000000,10.122583,9.981916,0.140584,0.030875,0.142708,0.609833,659,8107044,141658,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,342,16.657541,16.549609,16.304509,0.000000,1.657542,1.657209,0.000250,0.032709,0.160250,0.760666,663,8102615,162338,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,343,17.604917,17.496962,6.514503,0.000000,10.928625,9.315583,1.612876,0.024958,0.017167,1.082709,650,8107254,149626,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,344,15.822708,15.714256,15.485982,0.000000,1.150291,1.140638,0.009445,0.038084,0.098166,0.364375,668,8102467,151711,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,345,17.877334,17.771784,6.936910,0.000000,11.177959,9.916167,1.261667,0.027291,0.014584,0.954083,649,8107208,148306,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,346,15.454708,15.346753,15.255379,0.000000,0.560458,0.559680,0.000236,0.036083,0.162584,0.290042,662,8102682,159870,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,347,17.686000,17.578920,6.469915,0.000000,11.072167,9.410292,1.661750,0.021667,0.013958,1.088875,658,8107002,137727,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,348,15.685500,15.576257,15.327076,0.000000,1.176708,1.168931,0.007652,0.026250,0.133833,0.304334,661,8102598,157945,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,349,17.608167,17.502734,6.443497,0.000000,11.046333,9.375666,1.670501,0.024250,0.008666,0.615375,651,8107264,147631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,350,15.778416,15.661161,15.252838,0.000000,1.285209,1.272388,0.012654,0.028125,0.124959,0.608417,665,8102457,147228,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,351,16.575167,16.473823,6.420831,0.000000,10.290125,10.208501,0.081541,0.028750,0.234625,0.661208,649,8107270,146390,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,352,16.820333,16.707847,16.206328,0.000000,1.770541,1.769874,0.000584,0.038792,0.111958,0.941833,657,8102601,155057,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
