frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.226833,0.026417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,41.283625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.901542,0.188500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,37.515542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.411250,0.030458,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,43.563541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105709,0.021291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,41.283625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110209,0.018291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,36.812042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.419792,0.028458,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,35.243708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185375,0.025625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,41.677250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.387125,0.032417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,43.539417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288000,0.018833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,33.503917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116708,0.039375,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,38.657458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.377625,0.033333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,34.816375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092708,0.017167,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,41.053750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.167417,0.033125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,33.360792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113625,0.136208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,41.706708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.189167,0.037500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,39.018250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173542,0.032750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
