frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.306375,0.118917,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,35.851875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.079542,0.100791,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,38.006458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398000,0.028959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,37.577250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398459,0.031666,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,43.474959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210125,0.037291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,42.985166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109167,0.047750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,43.263917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113083,0.043959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,34.758542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.406625,0.033666,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,38.424416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203959,0.044333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,42.893000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344459,0.029333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,36.808292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364458,0.026625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,35.395792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.221833,0.059333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,35.052416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169959,0.034833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,36.982917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232292,0.034625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,36.365167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103250,0.039708,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,42.256500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216125,0.027875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,41.618333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.286375,0.036750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,34.152125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176292,0.036208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,42.077458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164209,0.034750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,43.302417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169542,0.035416,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
