frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.756125,0.756333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,37.430833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.465917,0.653625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,50.225625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289583,0.018334,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,43.309792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252666,0.016000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,40.563208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.194000,0.042042,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,37.322583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218834,0.060166,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,33.464875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.220125,0.044250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,36.465792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191458,0.038500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,34.753708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092792,0.020583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,37.733500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218959,0.036208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
